#separator:tab		
<b>同日</b> <br> 同日に会議があります。	[sound:s-0001_同日に会議があります。.mp3] <br> どうじつにかいぎがあります。 <br>There is a meeting on the same day.
<b>貴族</b> <br> 彼は貴族の家系に生まれました。	[sound:s-3098_彼は貴族の家系に生まれました。.mp3] <br> かれはきぞくのかけいにうまれました。 <br>He was born into a noble family.
<b>対象</b> <br> このプログラムは子供たちを対象としています。	[sound:s-3099_このプログラムは子供たちを対象としています。.mp3] <br> このプログラムはこどもたちをたいしょうとしています。 <br>This program targets children.
<b>印象</b> <br> 彼の笑顔は私に良い印象を与えました。	[sound:s-3100_彼の笑顔は私に良い印象を与えました。.mp3] <br> かれのえがおはわたしにいいいんしょうをあたえました。 <br>His smile left a good impression on me.
<b>現象</b> <br> その現象は自然の摂理に基づいています。	[sound:s-3101_その現象は自然の摂理に基づいています。.mp3] <br> そのげんしょうはしぜんのせつりにもとづいています。 <br>The phenomenon is based on the laws of nature.
<b>象</b> <br> アフリカで象の群れを見たことがありますか？	[sound:s-3102_アフリカで象の群れを見たことがありますか？.mp3] <br> アフリカでぞうのむれをみたことがありますか？ <br>Have you ever seen a herd of elephants in Africa?
<b>気象庁</b> <br> 台風の情報は気象庁から提供されます。	[sound:s-3103_台風の情報は気象庁から提供されます。.mp3] <br> たいふうのじょうほうはきしょうちょうからていきゅうされます。 <br>Typhoon information is provided by the Meteorological Agency.
<b>気象</b> <br> 彼は気象学者として働いています。	[sound:s-3104_彼は気象学者として働いています。.mp3] <br> かれはきしょうがくしゃとしてはたらいています。 <br>He works as a meteorologist.
<b>象徴</b> <br> その建物は国の繁栄を象徴しています。	[sound:s-3105_その建物は国の繁栄を象徴しています。.mp3] <br> そのたてものはくにのはんえいをしょうちょうしています。 <br>The building symbolizes the prosperity of the country.
<b>印象的</b> <br> 彼女の演技は私たちに印象的なものを残しました。	[sound:s-3106_彼女の演技は私たちに印象的なものを残しました。.mp3] <br> かのじょのえんぎはわたしたちにいんしょうてきなものをのこしました。 <br>Her performance left an impressive impression on us.
<b>象徴的</b> <br> その象徴的な場所は多くの人々に親しまれています。	[sound:s-3107_その象徴的な場所は多くの人々に親しまれています。.mp3] <br> そのしょうちょうてきなばしょはおおくのひとびとにしたしまれています。 <br>That symbolic place is cherished by many people.
<b>抽象</b> <br> 彼女の作品は抽象的な美しさを表しています。	[sound:s-3108_彼女の作品は抽象的な美しさを表しています。.mp3] <br> かのじょのさくひんはちゅうしょうてきなうつくしさをあらわしています。 <br>Her work expresses abstract beauty.
<b>銀</b> <br> 彼は古銀貨をコレクションしています。	[sound:s-3109_彼は古銀貨をコレクションしています。.mp3] <br> かれはこぎんかをコレクションしています。 <br>He collects old silver coins.
<b>銀行</b> <br> 私たちは銀行で口座を開設しました。	[sound:s-3110_私たちは銀行で口座を開設しました。.mp3] <br> わたしたちはぎんこうでこうざをかいせつしました。 <br>We opened an account at the bank.
<b>銀座</b> <br> 銀座は東京の有名なショッピングエリアです。	[sound:s-3111_銀座は東京の有名なショッピングエリアです。.mp3] <br> ぎんざはとうきょうのゆうめいなショッピングエリアです。 <br>Ginza is a famous shopping area in Tokyo.
<b>住友銀行</b> <br> 住友銀行は日本の有力な銀行の一つです。	[sound:s-3112_住友銀行は日本の有力な銀行の一つです。.mp3] <br> すみともぎんこうはにほんのゆうりょくなぎんこうのひとつです。 <br>Sumitomo Bank is one of Japan's leading banks.
<b>日本銀行</b> <br> 日本銀行は日本の中央銀行です。	[sound:s-3113_日本銀行は日本の中央銀行です。.mp3] <br> にほんぎんこうはにほんのちゅうおうぎんこうです。 <br>The Bank of Japan is the central bank of Japan.
<b>世界銀行</b> <br> 世界銀行は途上国の開発を支援しています。	[sound:s-3114_世界銀行は途上国の開発を支援しています。.mp3] <br> せかいぎんこうはとじょうこくのかいはつをしえんしています。 <br>The World Bank supports the development of developing countries.
<b>水銀</b> <br> 水銀は有毒な物質です。	[sound:s-3115_水銀は有毒な物質です。.mp3] <br> すいぎんはゆうどくなぶっしつです。 <br>Mercury is a toxic substance.
<b>世銀</b> <br> 世銀は国際開発銀行の略称です。	[sound:s-3116_世銀は国際開発銀行の略称です。.mp3] <br> せぎんはこくさいかいはつぎんこうのりゃくしょうです。 <br>The IDB is an abbreviation for the International Development Bank.
<b>銀河</b> <br> 銀河系には多くの星があります。	[sound:s-3117_銀河系には多くの星があります。.mp3] <br> ぎんがけいにはおおくのほしがあります。 <br>There are many stars in the Milky Way.
<b>輸銀</b> <br> 輸銀は国際的な銀行業務を担当しています。	[sound:s-3118_輸銀は国際的な銀行業務を担当しています。.mp3] <br> ゆぎんはこくさいてきなぎんこうぎょうむをたんとうしています。 <br>Yugin is responsible for international banking operations.
<b>地域</b> <br> この地域は豊かな自然景観で知られています。	[sound:s-3119_この地域は豊かな自然景観で知られています。.mp3] <br> このちいきはゆたかなしぜんけいかんでしられています。 <br>This area is known for its rich natural landscapes.
<b>区域</b> <br> 犬の散歩は指定された区域内で行われます。	[sound:s-3120_犬の散歩は指定された区域内で行われます。.mp3] <br> いぬのさんぽはしていされたくいきないでおこなわれます。 <br>Dog walking is conducted within designated areas.
<b>域内</b> <br> 公園は市域内に位置しています。	[sound:s-3121_公園は市域内に位置しています。.mp3] <br> こうえんはしきいないにいちしています。 <br>The park is located within the city limits.
<b>海域</b> <br> この海域は多くの漁業に利用されています。	[sound:s-3122_この海域は多くの漁業に利用されています。.mp3] <br> このかいいきはおおくのぎょぎょうにりようされています。 <br>This maritime area is utilized by many fisheries.
<b>全域</b> <br> この地図は市の全域をカバーしています。	[sound:s-3123_この地図は市の全域をカバーしています。.mp3] <br> このちずはしのぜんいきをカバーしています。 <br>This map covers the entire city area.
<b>領域</b> <br> その研究は新しい科学の領域に進んでいます。	[sound:s-3124_その研究は新しい科学の領域に進んでいます。.mp3] <br> そのけんきゅうはあたらしいかがくのりょういきにすすんでいます。 <br>The research is advancing into the realm of new science.
<b>域外</b> <br> このプランは地域外の顧客にも適用されます。	[sound:s-3125_このプランは地域外の顧客にも適用されます。.mp3] <br> このプランはちいきがいのこきゃくにもてきようされます。 <br>This plan also applies to customers outside the region.
<b>流域</b> <br> この川の流域には多くの農村があります。	[sound:s-3126_この川の流域には多くの農村があります。.mp3] <br> このかわのりゅういきにはおおくののうそんがあります。 <br>There are many villages in the basin of this river.
<b>広域</b> <br> このプロジェクトは広域にわたって実施されます。	[sound:s-3127_このプロジェクトは広域にわたって実施されます。.mp3] <br> このプロジェクトはこういきにわたってじっしされます。 <br>This project will be implemented over a wide area.
<b>地域社会</b> <br> 地域社会でのボランティア活動に参加します。	[sound:s-3128_地域社会でのボランティア活動に参加します。.mp3] <br> ちいきしゃかいでのボランティアかつどうにさんかします。 <br>I participate in volunteer activities in the local community.
<b>援助</b> <br> 困っている人々に援助を提供することが大切です。	[sound:s-3129_困っている人々に援助を提供することが大切です。.mp3] <br> こまっているひとびとにえんじょをていきゅうすることがたいせつです。 <br>It is important to provide assistance to those in need.
<b>補助</b> <br> 政府は地方のプロジェクトに補助金を提供します。	[sound:s-3130_政府は地方のプロジェクトに補助金を提供します。.mp3] <br> せいふはちほうのプロジェクトにほじょきんをていきゅうします。 <br>The government provides subsidies to local projects.
<b>助教授</b> <br> 彼女は大学で助教授として働いています。	[sound:s-3131_彼女は大学で助教授として働いています。.mp3] <br> かのじょはだいがくでじょきょうじゅとしてはたらいています。 <br>She works as an associate professor at the university.
<b>助成</b> <br> 文化プロジェクトへの助成金が与えられました。	[sound:s-3132_文化プロジェクトへの助成金が与えられました。.mp3] <br> ぶんかプロジェクトへのじょせいきんがあたえられました。 <br>Grants were provided for the cultural project.
<b>助手</b> <br> 私の助手が手伝ってくれました。	[sound:s-3133_私の助手が手伝ってくれました。.mp3] <br> わたしのじょしゅがてつだってくれました。 <br>My assistant helped me.
<b>助け</b> <br> 彼女は彼を助けました。	[sound:s-3134_彼女は彼を助けました。.mp3] <br> かのじょはかれをたすけました。 <br>She helped him.
<b>救助</b> <br> 沈んでいる船の救助に向かいます。	[sound:s-3135_沈んでいる船の救助に向かいます。.mp3] <br> しずんでいるふねのきゅうじょにむかいます。 <br>We're heading for the rescue of the sinking ship.
<b>助役</b> <br> 彼は村の助役を務めています。	[sound:s-3136_彼は村の助役を務めています。.mp3] <br> かれはむらのじょやくをつとめています。 <br>He serves as the deputy mayor of the village.
<b>助言</b> <br> 彼からの助言はいつも役に立ちます。	[sound:s-3137_彼からの助言はいつも役に立ちます。.mp3] <br> かれからのじょげんはいつもやくにたちます。 <br>His advice is always helpful.
<b>自助</b> <br> 困難に直面したら自助が大切です。	[sound:s-3138_困難に直面したら自助が大切です。.mp3] <br> こんなんにちょくめんしたらじじょがたいせつです。 <br>Self-help is important when facing difficulties.
<b>労働</b> <br> 労働は社会の基盤です。	[sound:s-3139_労働は社会の基盤です。.mp3] <br> ろうどうはしゃかいのきばんです。 <br>Labor is the foundation of society.
<b>労働者</b> <br> 労働者は労働条件の改善を要求しています。	[sound:s-3140_労働者は労働条件の改善を要求しています。.mp3] <br> ろうどうしゃはろうどうじょうけんのかいぜんをようきゅうしています。 <br>Workers are demanding improvements in labor conditions.
<b>労組</b> <br> 労組は労働者の権利を守る役割を果たしています。	[sound:s-3141_労組は労働者の権利を守る役割を果たしています。.mp3] <br> ろうそはろうどうしゃのけんりをまもるやくわりをはたしています。 <br>Labor unions play a role in protecting the rights of workers.
<b>労働省</b> <br> 労働省は労働に関する政策を策定しています。	[sound:s-3142_労働省は労働に関する政策を策定しています。.mp3] <br> ろうどうしょうはろうどうにかんするせいさくをさくていしています。 <br>The Ministry of Labor formulates policies related to labor.
<b>労働党</b> <br> 労働党は労働者の利益を代表しています。	[sound:s-3143_労働党は労働者の利益を代表しています。.mp3] <br> ろうどうとうはろうどうしゃのりえきをだいひょうしています。 <br>The Labor Party represents the interests of workers.
<b>苦労</b> <br> 彼は苦労して成功を手に入れました。	[sound:s-3144_彼は苦労して成功を手に入れました。.mp3] <br> かれはくろうしてせいこうをてにいれました。 <br>He struggled and achieved success.
<b>労使</b> <br> 労使間の対立が解消されました。	[sound:s-3145_労使間の対立が解消されました。.mp3] <br> ろうしまんのたいりつがかいしょうされました。 <br>The conflict between labor and management has been resolved.
<b>労働組合</b> <br> 労働組合は労働者の権利を守るために存在します。	[sound:s-3146_労働組合は労働者の権利を守るために存在します。.mp3] <br> ろうどうくみあいはろうどうしゃのけんりをまもるためにそんざいします。 <br>Labor unions exist to protect the rights of workers.
<b>疲労</b> <br> 長時間の仕事で彼は疲労困憊している。	[sound:s-3147_長時間の仕事で彼は疲労困憊している。.mp3] <br> ちょうじかんのしごとでかれはひろうこんぱいしています。 <br>He is exhausted from long hours of work.
<b>労連</b> <br> 労働組合連合会は労働者の利益を代表しています。	[sound:s-3148_労働組合連合会は労働者の利益を代表しています。.mp3] <br> ろうどうくみあいれんごうかいはろうどうしゃのりえきをだいひょうしています。 <br>The Federation of Labor Unions represents the interests of workers.
<b>例</b> <br> 彼は良い例を示しました。	[sound:s-3149_彼は良い例を示しました。.mp3] <br> かれはよいれいをしめしました。 <br>He set a good example.
<b>例えば</b> <br> 例えば、彼はとても親切です。	[sound:s-3150_例えば、彼はとても親切です。.mp3] <br> たとえば、かれはとてもしんせつです。 <br>"For example, he is very kind."
<b>比例</b> <br> 努力と成功は比例します。	[sound:s-3151_努力と成功は比例します。.mp3] <br> どりょくとせいこうはひれいします。 <br>Effort and success are proportional.
<b>異例</b> <br> 今年の天候は異例の暑さです。	[sound:s-3152_今年の天候は異例の暑さです。.mp3] <br> ことしのてんこうはいれいのあつさです。 <br>This year's weather is unusually hot.
<b>特例</b> <br> 特例が適用されました。	[sound:s-3153_特例が適用されました。.mp3] <br> とくれいがてきようされました。 <br>An exception was applied.
<b>例外</b> <br> この規則にはいくつかの例外があります。	[sound:s-3154_この規則にはいくつかの例外があります。.mp3] <br> このきそくにはいくつかのれいがあります。 <br>There are some exceptions to this rule.
<b>例年</b> <br> 例年、その地域では雨季が始まります。	[sound:s-3155_例年、その地域では雨季が始まります。.mp3] <br> れいねん、そのちいきではうきがはじまります。 <br>"Usually, the rainy season begins in that region."
<b>条例</b> <br> この条例は市民の安全を保障します。	[sound:s-3156_この条例は市民の安全を保障します。.mp3] <br> このじょうれいはしみんのあんぜんをほしょうします。 <br>This ordinance ensures the safety of citizens.
<b>定例</b> <br> 定例会議は毎月第一金曜日に開催されます。	[sound:s-3157_定例会議は毎月第一金曜日に開催されます。.mp3] <br> ていれいかいぎはまいつきだいいちきんようびにかいさいされます。 <br>Regular meetings are held on the first Friday of every month.
<b>事例</b> <br> その事例は問題解決のヒントを与えてくれるかもしれません。	[sound:s-3158_その事例は問題解決のヒントを与えてくれるかもしれません。.mp3] <br> そのじれいはもんだいかいけつのヒントをあたえてくれるかもしれません。 <br>That case might provide clues for problem-solving.
<b>自衛隊</b> <br> 自衛隊は国の安全を守る役割を果たしています。	[sound:s-3159_自衛隊は国の安全を守る役割を果たしています。.mp3] <br> じえいたいはくにのあんぜんをまもるやくわりをはたしています。 <br>The Self-Defense Forces play a role in protecting the country's security.
<b>防衛</b> <br> 防衛のために新しい施設が建設されました。	[sound:s-3160_防衛のために新しい施設が建設されました。.mp3] <br> ぼうえいのためにあたらしいしせつがけんせつされました。 <br>New facilities have been built for defense purposes.
<b>衛星</b> <br> 衛星は地球の周りを回っています。	[sound:s-3161_衛星は地球の周りを回っています。.mp3] <br> えいせいはちきゅうのまわりをまわっています。 <br>Satellites orbit the Earth.
<b>防衛庁</b> <br> 防衛庁は国の安全保障に関する政策を策定しています。	[sound:s-3162_防衛庁は国の安全保障に関する政策を策定しています。.mp3] <br> ぼうえいちょうはくにのあんぜんほしょうにかんするせいさくをさくていしています。 <br>The Defense Agency formulates policies related to national security.
<b>衛生</b> <br> 衛生には十分な注意が必要です。	[sound:s-3163_衛生には十分な注意が必要です。.mp3] <br> えいせいにはじゅうぶんなちゅういがひつようです。 <br>Proper hygiene requires careful attention.
<b>自衛</b> <br> 彼らは自衛のために武器を持っています。	[sound:s-3164_彼らは自衛のために武器を持っています。.mp3] <br> かれらはじえいのためにぶきをもっています。 <br>They have weapons for self-defense.
<b>自衛官</b> <br> 自衛官は日々国の安全を守っています。	[sound:s-3165_自衛官は日々国の安全を守っています。.mp3] <br> じえいかんはひびくにのあんぜんをまもっています。 <br>Self-Defense Forces personnel protect the country's security every day.
<b>陸上自衛隊</b> <br> 陸上自衛隊は陸上での国防を担当しています。	[sound:s-3166_陸上自衛隊は陸上での国防を担当しています。.mp3] <br> りくじょうじえいたいはりくじょうでのこくぼうをたんとうしています。 <br>The Ground Self-Defense Forces are responsible for defense on land.
<b>通信衛星</b> <br> 通信衛星は地球上の通信網を支えています。	[sound:s-3167_通信衛星は地球上の通信網を支えています。.mp3] <br> つうしんえいせいはちきゅうじょうのつうしんもうをささえています。 <br>Communication satellites support the communication network on Earth.
<b>海上自衛隊</b> <br> 海上自衛隊は海洋での安全を守る任務を担っています。	[sound:s-3168_海上自衛隊は海洋での安全を守る任務を担っています。.mp3] <br> かいじょうじえいたいはかいようでのあんぜんをまもるにんむをたんっています。 <br>The Maritime Self-Defense Force is tasked with ensuring safety at sea.
<b>地検</b> <br> 地検は犯罪捜査を行います。	[sound:s-3169_地検は犯罪捜査を行います。.mp3] <br> ちけんははんざいそうさをおこないます。 <br>The district prosecutor's office conducts criminal investigations.
<b>合</b> <br> 彼らは手を合わせて祈りました。	[sound:s-3170_彼らは手を合わせて祈りました。.mp3] <br> かれらはてをあわせていのりました。 <br>They clasped their hands together and prayed.
<b>合意</b> <br> 交渉の結果、両者は合意に達した。	[sound:s-3171_交渉の結果、両者は合意に達した。.mp3] <br> こうしょうのけっか、りょうしゃはごういにたっした。 <br>"As a result of negotiations, both parties reached an agreement."
<b>試合</b> <br> 明日、サッカーの試合があります。	[sound:s-3172_明日、サッカーの試合があります。.mp3] <br> あした、さっかーのしあいがあります。 <br>There's a soccer match tomorrow.
<b>連合</b> <br> 労働組合は連合して行動します。	[sound:s-3173_労働組合は連合して行動します。.mp3] <br> ろうどうくみあいはれんごうしてこうどうします。 <br>Labor unions collaborate and take action together.
<b>総合</b> <br> この報告書は総合的な分析を提供しています。	[sound:s-3174_この報告書は総合的な分析を提供しています。.mp3] <br> このほうこくしょはそうごうてきなぶんせきをていきょうしています。 <br>This report provides a comprehensive analysis.
<b>問い合わせ</b> <br> 質問や疑問があれば、お問い合わせください。	[sound:s-3175_質問や疑問があれば、お問い合わせください。.mp3] <br> しつもんやぎもんがあれば、おといあわせください。 <br>"If you have any questions or concerns, please inquire."
<b>会合</b> <br> 今夜は友人との会合があります。	[sound:s-3176_今夜は友人との会合があります。.mp3] <br> こんやはゆうじんとのかいごうがあります。 <br>There's a gathering with friends tonight.
<b>組合</b> <br> 労働組合は労働者の権利を守ります。	[sound:s-3177_労働組合は労働者の権利を守ります。.mp3] <br> ろうどうくみあいはろうどうしゃのけんりをまもります。 <br>Labor unions protect the rights of workers.
<b>統合</b> <br> 両社は統合して一つの会社となった。	[sound:s-3178_両社は統合して一つの会社となった。.mp3] <br> りょうしゃはとうごうしてひとつのかいしゃとなった。 <br>The two companies merged and became one corporation.
<b>合う</b> <br> この服は彼に合っています。	[sound:s-3179_この服は彼に合っています。.mp3] <br> このふくはかれにあっています。 <br>This clothes suits him.
<b>市場</b> <br> 町の中心には市場があります。	[sound:s-3180_町の中心には市場があります。.mp3] <br> まちのちゅうしんにはいちばがあります。 <br>There is a market at the center of the town.
<b>市内</b> <br> 地元の人々は市内で買い物をします。	[sound:s-3181_地元の人々は市内で買い物をします。.mp3] <br> じもとのひとびとはしないでかいものをします。 <br>Local people shop in the city.
<b>市民</b> <br> 市民は地方の発展に貢献します。	[sound:s-3182_市民は地方の発展に貢献します。.mp3] <br> しみんはちほうのはってんにこうけんします。 <br>Citizens contribute to the development of the region.
<b>都市</b> <br> 東京は世界有数の大都市です。	[sound:s-3183_東京は世界有数の大都市です。.mp3] <br> とうきょうはせかいゆうすうのだいとしです。 <br>Tokyo is one of the world's largest cities.
<b>同市</b> <br> 彼らは同市で会った。	[sound:s-3184_彼らは同市で会った。.mp3] <br> かれらはどうしであった。 <br>They met in the same city.
<b>市長</b> <br> 彼は新しい市長に選ばれました。	[sound:s-3185_彼は新しい市長に選ばれました。.mp3] <br> かれはあたらしいしちょうにえらばれました。 <br>He was elected as the new mayor.
<b>市町村</b> <br> この地域には多くの市町村があります。	[sound:s-3186_この地域には多くの市町村があります。.mp3] <br> このちいきにはおおくのしちょうそんがあります。 <br>There are many towns and villages in this area.
<b>市立</b> <br> その公園は市立のものです。	[sound:s-3187_その公園は市立のものです。.mp3] <br> そのこうえんはしりつのものです。 <br>The park is owned by the city.
<b>市議</b> <br> 彼は市議会のメンバーです。	[sound:s-3188_彼は市議会のメンバーです。.mp3] <br> かれはしぎかいのメンバーです。 <br>He is a member of the city council.
<b>市中</b> <br> 夜には市中が静かになります。	[sound:s-3189_夜には市中が静かになります。.mp3] <br> よるにはしちゅうがしずかになります。 <br>The city becomes quiet at night.
<b>業</b> <br> 彼は芸術の業に身を捧げている。	[sound:s-3190_彼は芸術の業に身を捧げている。.mp3] <br> かれはげいじゅつのわざにみをささげている。 <br>He has devoted himself to the art profession.
<b>企業</b> <br> この地域には多くの大企業があります。	[sound:s-3191_この地域には多くの大企業があります。.mp3] <br> このちいきにはおおくのだいきぎょうがあります。 <br>There are many large corporations in this area.
<b>業界</b> <br> 彼はIT業界で成功しました。	[sound:s-3192_彼はIT業界で成功しました。.mp3] <br> かれはITぎょうかいでせいこうしました。 <br>He succeeded in the IT industry.
<b>業者</b> <br> その店は信頼できる業者です。	[sound:s-3193_その店は信頼できる業者です。.mp3] <br> そのみせはしんらいできるぎょうしゃです。 <br>That shop is a reliable business.
<b>作業</b> <br> 彼らは一緒に作業を行いました。	[sound:s-3194_彼らは一緒に作業を行いました。.mp3] <br> かれらはいっしょにさぎょうをおこないました。 <br>They worked together.
<b>産業</b> <br> 自動車産業はこの地域の主要産業です。	[sound:s-3195_自動車産業はこの地域の主要産業です。.mp3] <br> じどうしゃさんぎょうはこのちいきのしゅようさんぎょうです。 <br>The automobile industry is the main industry in this region.
<b>事業</b> <br> 彼は新しい事業を立ち上げました。	[sound:s-3196_彼は新しい事業を立ち上げました。.mp3] <br> かれはあたらしいじぎょうをたちあげました。 <br>He started a new business.
<b>農業</b> <br> この地域は農業が盛んです。	[sound:s-3197_この地域は農業が盛んです。.mp3] <br> このちいきはのうぎょうがさかんです。 <br>Agriculture is thriving in this area.
<b>営業</b> <br> 彼女は営業部長です。	[sound:s-3198_彼女は営業部長です。.mp3] <br> かのじょはえいぎょうぶちょうです。 <br>She is the sales manager.
<b>業務</b> <br> その会社は日々の業務を効率的に行っています。	[sound:s-3199_その会社は日々の業務を効率的に行っています。.mp3] <br> そのかいしゃはひびのぎょうむをこうりつてきにおこなっています。 <br>The company efficiently performs its daily operations.
<b>内</b> <br> 箱の中には何が入っていますか？	[sound:s-3200_箱の中には何が入っていますか？.mp3] <br> はこのなかにはなにがはいっていますか？ <br>What's inside the box?
<b>国内</b> <br> この製品は国内で生産されています。	[sound:s-3201_この製品は国内で生産されています。.mp3] <br> このせいひんはこくないでせいさんされています。 <br>This product is manufactured domestically.
<b>市内 (repeated)</b> <br> 町の中心には市内で買い物をします。	[sound:s-3202_町の中心には市内で買い物をします。.mp3] <br> まちのちゅうしんにはいちないでかいものをします。 <br>People shop within the city center.
<b>都内</b> <br> 雨の日は都内の交通が混雑します。	[sound:s-3203_雨の日は都内の交通が混雑します。.mp3] <br> あめのひはとないのこうつうがこんざつします。 <br>Traffic in the city gets congested on rainy days.
<b>内閣</b> <br> 内閣は政府の重要な部分です。	[sound:s-3204_内閣は政府の重要な部分です。.mp3] <br> ないかくはせいふのじゅうようなぶぶんです。 <br>The cabinet is an important part of the government.
<b>内容</b> <br> この本の内容は非常に興味深いです。	[sound:s-3205_この本の内容は非常に興味深いです。.mp3] <br> このほんのないようはひじょうにきょうみぶかいです。 <br>The contents of this book are very interesting.
<b>以内</b> <br> 到着は10分以内に予定されています。	[sound:s-3206_到着は10分以内に予定されています。.mp3] <br> とうちゃくはじゅっぷんいないによていされています。 <br>Arrival is scheduled within 10 minutes.
<b>党内</b> <br> 党内での議論が活発化しています。	[sound:s-3207_党内での議論が活発化しています。.mp3] <br> とうないでのぎろんがかっぱつかしています。 <br>Discussions within the party are becoming lively.
<b>内部</b> <br> システムの内部に問題が発生しました。	[sound:s-3208_システムの内部に問題が発生しました。.mp3] <br> しぜむのないぶにもんだいがはっせいしました。 <br>There was an issue within the system.
<b>県内</b> <br> 県内の交通網を改善する必要があります。	[sound:s-3209_県内の交通網を改善する必要があります。.mp3] <br> けんないのこうつうもうをかいぜんするひつようがあります。 <br>There is a need to improve the transportation network within the prefecture.
<b>外相</b> <br> 外相は国際関係の調整を行います。	[sound:s-3210_外相は国際関係の調整を行います。.mp3] <br> かいそうはこくさいかんけいのちょうせいをおこないます。 <br>The foreign minister coordinates international relations.
<b>首相</b> <br> 首相が記者会見を行いました。	[sound:s-3211_首相が記者会見を行いました。.mp3] <br> しゅしょうがきしゃかいけんをおこないました。 <br>The prime minister held a press conference.
<b>相手</b> <br> 相手の意見を尊重することが重要です。	[sound:s-3212_相手の意見を尊重することが重要です。.mp3] <br> あいてのいけんをそんちょうすることがしゅうようです。 <br>It's important to respect the other party's opinion.
<b>相談</b> <br> 彼女は友達と将来の計画について相談しました。	[sound:s-3213_彼女は友達と将来の計画について相談しました。.mp3] <br> かのじょはともだちとしょうらいのけいかくについてそうだんしました。 <br>She discussed future plans with her friends.
<b>蔵相</b> <br> 政府は蔵相を任命しました。	[sound:s-3214_政府は蔵相を任命しました。.mp3] <br> せいふはそうしょうをにんめいしました。 <br>The government appointed a minister of finance.
<b>相互</b> <br> 相互の理解が重要です。	[sound:s-3215_相互の理解が重要です。.mp3] <br> そうごのりかいがしゅうようです。 <br>Mutual understanding is important.
<b>相場</b> <br> 株式市場の相場は日々変動しています。	[sound:s-3216_株式市場の相場は日々変動しています。.mp3] <br> かぶしきしじょうのそうばはひびへんどうしています。 <br>Stock market prices fluctuate daily.
<b>相当</b> <br> その行動は相当なリスクを伴います。	[sound:s-3217_その行動は相当なリスクを伴います。.mp3] <br> そのこうどうはそうとうなりすくをともないます。 <br>That action involves considerable risk.
<b>相撲</b> <br> 相撲は日本の伝統的なスポーツです。	[sound:s-3218_相撲は日本の伝統的なスポーツです。.mp3] <br> すもうはにほんのでんとうてきなすぽーつです。 <br>Sumo wrestling is a traditional Japanese sport.
<b>真相</b> <br> 事件の真相が明らかにされました。	[sound:s-3219_事件の真相が明らかにされました。.mp3] <br> じけんのしんそうがあきらかにされました。 <br>The truth behind the incident was revealed.
<b>一方</b> <br> 彼は学校に行く一方、彼女は家で勉強している。	[sound:s-3220_彼は学校に行く一方、彼女は家で勉強している。.mp3] <br> かれはがっこうにいくいっぽう、かのじょはいえでべんきょうしている。 <br>"While he goes to school, she studies at home."
<b>見方</b> <br> 問題に対する様々な見方があります。	[sound:s-3221_問題に対する様々な見方があります。.mp3] <br> もんだいにたいするようだんなみかたがあります。 <br>There are various perspectives on the issue.
<b>地方</b> <br> 彼らは地方の文化に興味を持っています。	[sound:s-3222_彼らは地方の文化に興味を持っています。.mp3] <br> かれらはちほうのぶんかにきょうみをもっています。 <br>They are interested in the local culture.
<b>方向</b> <br> この道を進んで左の方向に曲がってください。	[sound:s-3223_この道を進んで左の方向に曲がってください。.mp3] <br> このみちをすすんでひだりのほうこうにまがってください。 <br>Proceed down this road and turn left.
<b>方針</b> <br> 新しい方針を採用することになりました。	[sound:s-3224_新しい方針を採用することになりました。.mp3] <br> あたらしいほうしんをさいようすることになりました。 <br>It has been decided to adopt a new policy.
<b>方法</b> <br> この問題を解決する方法は何ですか？	[sound:s-3225_この問題を解決する方法は何ですか？.mp3] <br> このもんだいをかいけつするほうほうはなんですか？ <br>What is the method to solve this problem?
<b>考え方</b> <br> 彼の考え方は独特です。	[sound:s-3226_彼の考え方は独特です。.mp3] <br> かれのかんがえかたはとくとくてきです。 <br>His way of thinking is unique.
<b>行方</b> <br> 彼の行方はまだわかりません。	[sound:s-3227_彼の行方はまだわかりません。.mp3] <br> かれのゆくえはまだわかりません。 <br>His whereabouts are still unknown.
<b>双方</b> <br> 両者は双方の利益を考慮して交渉しました。	[sound:s-3228_両者は双方の利益を考慮して交渉しました。.mp3] <br> りょうしゃはそうほうのりえきをこうりょしてこうしょうしました。 <br>Both parties negotiated considering each other's interests.
<b>方</b> <br> 駅の方に行きましょう。	[sound:s-3229_駅の方に行きましょう。.mp3] <br> えきのほうにいきましょう。 <br>Let's go towards the station.
<b>四</b> <br> 彼は四つのリンゴを持っています。	[sound:s-3230_彼は四つのリンゴを持っています。.mp3] <br> かれはよっつのりんごをもっています。 <br>He has four apples.
<b>四つ</b> <br> 机の上に鉛筆が四つあります。	[sound:s-3231_机の上に鉛筆が四つあります。.mp3] <br> つくえのうえにえんぴつがよっつあります。 <br>There are four pencils on the desk.
<b>四月</b> <br> 四月に桜の花が咲きます。	[sound:s-3232_四月に桜の花が咲きます。.mp3] <br> しがつにさくらのはながさきます。 <br>Cherry blossoms bloom in April.
<b>十四</b> <br> 彼の誕生日は十四日です。	[sound:s-3233_彼の誕生日は十四日です。.mp3] <br> かれのたんじょうびはじゅうよっかです。 <br>His birthday is on the fourteenth.
<b>四十</b> <br> 彼女は今年四十歳になります。	[sound:s-3234_彼女は今年四十歳になります。.mp3] <br> かのじょはことしよんじゅっさいになります。 <br>She will turn forty this year.
