national policy	<b>国策</b> <br> こくさく <br> [sound:4c-k-国策.mp3]
[sound:4c-s-特に重要な問題があります。.mp3]	<b>特に重要な問題があります。</b> <br> とくにじゅうようなもんだいがあります。 <br><br> (特に) <br> There is an especially important issue.
特に重要な問題があります。 <br><br> (特に)	<b>とくにじゅうようなもんだいがあります。</b> <br> There is an especially important issue. <br> [sound:4c-s-特に重要な問題があります。.mp3]
There is an especially important issue.	<b>特に重要な問題があります。</b> <br> とくにじゅうようなもんだいがあります。 <br><br> (特に) <br> [sound:4c-s-特に重要な問題があります。.mp3]
[sound:4c-k-特別.mp3]	<b>特別</b> <br> とくべつ <br> special
特別	<b>とくべつ</b> <br> special <br> [sound:4c-k-特別.mp3]
special	<b>特別</b> <br> とくべつ <br> [sound:4c-k-特別.mp3]
[sound:4c-s-今日は特別な日です。.mp3]	<b>今日は特別な日です。</b> <br> きょうはとくべつなひです。 <br><br> (特別) <br> Today is a special day.
今日は特別な日です。 <br><br> (特別)	<b>きょうはとくべつなひです。</b> <br> Today is a special day. <br> [sound:4c-s-今日は特別な日です。.mp3]
Today is a special day.	<b>今日は特別な日です。</b> <br> きょうはとくべつなひです。 <br><br> (特別) <br> [sound:4c-s-今日は特別な日です。.mp3]
[sound:4c-k-特使.mp3]	<b>特使</b> <br> とくし <br> special envoy
特使	<b>とくし</b> <br> special envoy <br> [sound:4c-k-特使.mp3]
special envoy	<b>特使</b> <br> とくし <br> [sound:4c-k-特使.mp3]
[sound:4c-s-特使として彼は海外に派遣されました。.mp3]	<b>特使として彼は海外に派遣されました。</b> <br> とくしとしてかれはかいがいにはけんされました。 <br><br> (特使) <br> He was sent abroad as a special envoy.
特使として彼は海外に派遣されました。 <br><br> (特使)	<b>とくしとしてかれはかいがいにはけんされました。</b> <br> He was sent abroad as a special envoy. <br> [sound:4c-s-特使として彼は海外に派遣されました。.mp3]
He was sent abroad as a special envoy.	<b>特使として彼は海外に派遣されました。</b> <br> とくしとしてかれはかいがいにはけんされました。 <br><br> (特使) <br> [sound:4c-s-特使として彼は海外に派遣されました。.mp3]
[sound:4c-k-特集.mp3]	<b>特集</b> <br> とくしゅう <br> feature (e.g. newspaper), special edition, report
特集	<b>とくしゅう</b> <br> feature (e.g. newspaper), special edition, report <br> [sound:4c-k-特集.mp3]
feature (e.g. newspaper), special edition, report	<b>特集</b> <br> とくしゅう <br> [sound:4c-k-特集.mp3]
[sound:4c-s-この雑誌には環境問題に関する特集があります。.mp3]	<b>この雑誌には環境問題に関する特集があります。</b> <br> このざっきにはかんきょうもんだいにかんするとくしゅうがあります。 <br><br> (特集) <br> This magazine has a special feature on environmental issues.
この雑誌には環境問題に関する特集があります。 <br><br> (特集)	<b>このざっきにはかんきょうもんだいにかんするとくしゅうがあります。</b> <br> This magazine has a special feature on environmental issues. <br> [sound:4c-s-この雑誌には環境問題に関する特集があります。.mp3]
This magazine has a special feature on environmental issues.	<b>この雑誌には環境問題に関する特集があります。</b> <br> このざっきにはかんきょうもんだいにかんするとくしゅうがあります。 <br><br> (特集) <br> [sound:4c-s-この雑誌には環境問題に関する特集があります。.mp3]
[sound:4c-k-情.mp3]	<b>情</b> <br> じょう <br> feelings, emotion, passion
情	<b>じょう</b> <br> feelings, emotion, passion <br> [sound:4c-k-情.mp3]
feelings, emotion, passion	<b>情</b> <br> じょう <br> [sound:4c-k-情.mp3]
[sound:4c-s-彼の情熱は素晴らしいです。.mp3]	<b>彼の情熱は素晴らしいです。</b> <br> かれのじょうねつはすばらしいです。 <br><br> (情) <br> His passion is amazing.
彼の情熱は素晴らしいです。 <br><br> (情)	<b>かれのじょうねつはすばらしいです。</b> <br> His passion is amazing. <br> [sound:4c-s-彼の情熱は素晴らしいです。.mp3]
His passion is amazing.	<b>彼の情熱は素晴らしいです。</b> <br> かれのじょうねつはすばらしいです。 <br><br> (情) <br> [sound:4c-s-彼の情熱は素晴らしいです。.mp3]
[sound:4c-k-事情.mp3]	<b>事情</b> <br> じじょう <br> circumstances, consideration, conditions, situation, reasons
事情	<b>じじょう</b> <br> circumstances, consideration, conditions, situation, reasons <br> [sound:4c-k-事情.mp3]
circumstances, consideration, conditions, situation, reasons	<b>事情</b> <br> じじょう <br> [sound:4c-k-事情.mp3]
[sound:4c-s-事情が変わったので、予定を変更しました。.mp3]	<b>事情が変わったので、予定を変更しました。</b> <br> じじょうがかわったので、よていをへんこうしました。 <br><br> (事情) <br> The circumstances changed, so I modified the plan.
事情が変わったので、予定を変更しました。 <br><br> (事情)	<b>じじょうがかわったので、よていをへんこうしました。</b> <br> The circumstances changed, so I modified the plan. <br> [sound:4c-s-事情が変わったので、予定を変更しました。.mp3]
The circumstances changed, so I modified the plan.	<b>事情が変わったので、予定を変更しました。</b> <br> じじょうがかわったので、よていをへんこうしました。 <br><br> (事情) <br> [sound:4c-s-事情が変わったので、予定を変更しました。.mp3]
[sound:4c-k-情熱.mp3]	<b>情熱</b> <br> じょうねつ <br> passion, enthusiasm, zeal
情熱	<b>じょうねつ</b> <br> passion, enthusiasm, zeal <br> [sound:4c-k-情熱.mp3]
passion, enthusiasm, zeal	<b>情熱</b> <br> じょうねつ <br> [sound:4c-k-情熱.mp3]
[sound:4c-s-彼女は情熱的に歌っています。.mp3]	<b>彼女は情熱的に歌っています。</b> <br> かのじょはじょうねつてきにうたっています。 <br><br> (情熱) <br> She is singing passionately.
彼女は情熱的に歌っています。 <br><br> (情熱)	<b>かのじょはじょうねつてきにうたっています。</b> <br> She is singing passionately. <br> [sound:4c-s-彼女は情熱的に歌っています。.mp3]
She is singing passionately.	<b>彼女は情熱的に歌っています。</b> <br> かのじょはじょうねつてきにうたっています。 <br><br> (情熱) <br> [sound:4c-s-彼女は情熱的に歌っています。.mp3]
[sound:4c-k-愛情.mp3]	<b>愛情</b> <br> あいじょう <br> love, affection
愛情	<b>あいじょう</b> <br> love, affection <br> [sound:4c-k-愛情.mp3]
love, affection	<b>愛情</b> <br> あいじょう <br> [sound:4c-k-愛情.mp3]
[sound:4c-s-彼は家族に対して深い愛情を持っています。.mp3]	<b>彼は家族に対して深い愛情を持っています。</b> <br> かれはかぞくにたいしてふかいあいじょうをもっています。 <br><br> (愛情) <br> He has deep affection for his family.
彼は家族に対して深い愛情を持っています。 <br><br> (愛情)	<b>かれはかぞくにたいしてふかいあいじょうをもっています。</b> <br> He has deep affection for his family. <br> [sound:4c-s-彼は家族に対して深い愛情を持っています。.mp3]
He has deep affection for his family.	<b>彼は家族に対して深い愛情を持っています。</b> <br> かれはかぞくにたいしてふかいあいじょうをもっています。 <br><br> (愛情) <br> [sound:4c-s-彼は家族に対して深い愛情を持っています。.mp3]
[sound:4c-k-投資.mp3]	<b>投資</b> <br> とうし <br> investment
投資	<b>とうし</b> <br> investment <br> [sound:4c-k-投資.mp3]
investment	<b>投資</b> <br> とうし <br> [sound:4c-k-投資.mp3]
[sound:4c-s-彼は株に投資しています。.mp3]	<b>彼は株に投資しています。</b> <br> かれはかぶにとうししています。 <br><br> (投資) <br> He is investing in stocks.
彼は株に投資しています。 <br><br> (投資)	<b>かれはかぶにとうししています。</b> <br> He is investing in stocks. <br> [sound:4c-s-彼は株に投資しています。.mp3]
He is investing in stocks.	<b>彼は株に投資しています。</b> <br> かれはかぶにとうししています。 <br><br> (投資) <br> [sound:4c-s-彼は株に投資しています。.mp3]
[sound:4c-k-投手.mp3]	<b>投手</b> <br> とうしゅ <br> (baseball) pitcher
投手	<b>とうしゅ</b> <br> (baseball) pitcher <br> [sound:4c-k-投手.mp3]
(baseball) pitcher	<b>投手</b> <br> とうしゅ <br> [sound:4c-k-投手.mp3]
[sound:4c-s-投手は試合の最初のピッチャーです。.mp3]	<b>投手は試合の最初のピッチャーです。</b> <br> とうしゅはしあいのさいしょのぴっちゃーです。 <br><br> (投手) <br> The pitcher is the first one in the game.
投手は試合の最初のピッチャーです。 <br><br> (投手)	<b>とうしゅはしあいのさいしょのぴっちゃーです。</b> <br> The pitcher is the first one in the game. <br> [sound:4c-s-投手は試合の最初のピッチャーです。.mp3]
The pitcher is the first one in the game.	<b>投手は試合の最初のピッチャーです。</b> <br> とうしゅはしあいのさいしょのぴっちゃーです。 <br><br> (投手) <br> [sound:4c-s-投手は試合の最初のピッチャーです。.mp3]
[sound:4c-k-投機.mp3]	<b>投機</b> <br> とうき <br> speculation, venture, stockjobbing, gambling (on stocks)
投機	<b>とうき</b> <br> speculation, venture, stockjobbing, gambling (on stocks) <br> [sound:4c-k-投機.mp3]
speculation, venture, stockjobbing, gambling (on stocks)	<b>投機</b> <br> とうき <br> [sound:4c-k-投機.mp3]
[sound:4c-s-投機は非常にリスクが高いです。.mp3]	<b>投機は非常にリスクが高いです。</b> <br> とうきはひじょうにりすくがたかいです。 <br><br> (投機) <br> Speculation is very risky.
投機は非常にリスクが高いです。 <br><br> (投機)	<b>とうきはひじょうにりすくがたかいです。</b> <br> Speculation is very risky. <br> [sound:4c-s-投機は非常にリスクが高いです。.mp3]
Speculation is very risky.	<b>投機は非常にリスクが高いです。</b> <br> とうきはひじょうにりすくがたかいです。 <br><br> (投機) <br> [sound:4c-s-投機は非常にリスクが高いです。.mp3]
[sound:4c-k-投棄.mp3]	<b>投棄</b> <br> とうき <br> abandonment, giving up, throwing away
投棄	<b>とうき</b> <br> abandonment, giving up, throwing away <br> [sound:4c-k-投棄.mp3]
abandonment, giving up, throwing away	<b>投棄</b> <br> とうき <br> [sound:4c-k-投棄.mp3]
[sound:4c-s-その地域では不法投棄が問題になっています。.mp3]	<b>その地域では不法投棄が問題になっています。</b> <br> そのちいきではふほうとうきがもんだいになっています。 <br><br> (投棄) <br> Illegal dumping is a problem in that area.
その地域では不法投棄が問題になっています。 <br><br> (投棄)	<b>そのちいきではふほうとうきがもんだいになっています。</b> <br> Illegal dumping is a problem in that area. <br> [sound:4c-s-その地域では不法投棄が問題になっています。.mp3]
Illegal dumping is a problem in that area.	<b>その地域では不法投棄が問題になっています。</b> <br> そのちいきではふほうとうきがもんだいになっています。 <br><br> (投棄) <br> [sound:4c-s-その地域では不法投棄が問題になっています。.mp3]
[sound:4c-k-示す.mp3]	<b>示す</b> <br> しめす <br> to denote, to show, to point out, to indicate, to exemplify
示す	<b>しめす</b> <br> to denote, to show, to point out, to indicate, to exemplify <br> [sound:4c-k-示す.mp3]
to denote, to show, to point out, to indicate, to exemplify	<b>示す</b> <br> しめす <br> [sound:4c-k-示す.mp3]
[sound:4c-s-彼は明確に意見を示しました。.mp3]	<b>彼は明確に意見を示しました。</b> <br> かれはめいかくにいけんをしめしました。 <br><br> (示す) <br> He clearly expressed his opinion.
彼は明確に意見を示しました。 <br><br> (示す)	<b>かれはめいかくにいけんをしめしました。</b> <br> He clearly expressed his opinion. <br> [sound:4c-s-彼は明確に意見を示しました。.mp3]
He clearly expressed his opinion.	<b>彼は明確に意見を示しました。</b> <br> かれはめいかくにいけんをしめしました。 <br><br> (示す) <br> [sound:4c-s-彼は明確に意見を示しました。.mp3]
[sound:4c-k-指示.mp3]	<b>指示</b> <br> しじ <br> indication, instruction, designation, directions
指示	<b>しじ</b> <br> indication, instruction, designation, directions <br> [sound:4c-k-指示.mp3]
indication, instruction, designation, directions	<b>指示</b> <br> しじ <br> [sound:4c-k-指示.mp3]
[sound:4c-s-上司から指示がありました。.mp3]	<b>上司から指示がありました。</b> <br> じょうしからしじがありました。 <br><br> (指示) <br> I received instructions from my boss.
上司から指示がありました。 <br><br> (指示)	<b>じょうしからしじがありました。</b> <br> I received instructions from my boss. <br> [sound:4c-s-上司から指示がありました。.mp3]
I received instructions from my boss.	<b>上司から指示がありました。</b> <br> じょうしからしじがありました。 <br><br> (指示) <br> [sound:4c-s-上司から指示がありました。.mp3]
[sound:4c-k-提示.mp3]	<b>提示</b> <br> ていじ <br> presentation, exhibit, suggest, citation
提示	<b>ていじ</b> <br> presentation, exhibit, suggest, citation <br> [sound:4c-k-提示.mp3]
presentation, exhibit, suggest, citation	<b>提示</b> <br> ていじ <br> [sound:4c-k-提示.mp3]
[sound:4c-s-彼は解決策を提示しました。.mp3]	<b>彼は解決策を提示しました。</b> <br> かれはかいけつさくをていじしました。 <br><br> (提示) <br> He proposed a solution.
彼は解決策を提示しました。 <br><br> (提示)	<b>かれはかいけつさくをていじしました。</b> <br> He proposed a solution. <br> [sound:4c-s-彼は解決策を提示しました。.mp3]
He proposed a solution.	<b>彼は解決策を提示しました。</b> <br> かれはかいけつさくをていじしました。 <br><br> (提示) <br> [sound:4c-s-彼は解決策を提示しました。.mp3]
[sound:4c-k-意思表示.mp3]	<b>意思表示</b> <br> いしひょうじ <br> declaration of intention
意思表示	<b>いしひょうじ</b> <br> declaration of intention <br> [sound:4c-k-意思表示.mp3]
declaration of intention	<b>意思表示</b> <br> いしひょうじ <br> [sound:4c-k-意思表示.mp3]
[sound:4c-s-彼女は意思表示をはっきりしました。.mp3]	<b>彼女は意思表示をはっきりしました。</b> <br> かのじょはいしひょうじをはっきりしました。 <br><br> (意思表示) <br> She clearly showed her intentions.
彼女は意思表示をはっきりしました。 <br><br> (意思表示)	<b>かのじょはいしひょうじをはっきりしました。</b> <br> She clearly showed her intentions. <br> [sound:4c-s-彼女は意思表示をはっきりしました。.mp3]
She clearly showed her intentions.	<b>彼女は意思表示をはっきりしました。</b> <br> かのじょはいしひょうじをはっきりしました。 <br><br> (意思表示) <br> [sound:4c-s-彼女は意思表示をはっきりしました。.mp3]
[sound:4c-k-変わった.mp3]	<b>変わった</b> <br> かわった <br> another, different, various, particular, unusual, novel, peculiar
変わった	<b>かわった</b> <br> another, different, various, particular, unusual, novel, peculiar <br> [sound:4c-k-変わった.mp3]
another, different, various, particular, unusual, novel, peculiar	<b>変わった</b> <br> かわった <br> [sound:4c-k-変わった.mp3]
[sound:4c-s-彼の考え方は少し変わった。.mp3]	<b>彼の考え方は少し変わった。</b> <br> かれのかんがえかたはすこしかわった。 <br><br> (変わった) <br> His way of thinking changed a little.
彼の考え方は少し変わった。 <br><br> (変わった)	<b>かれのかんがえかたはすこしかわった。</b> <br> His way of thinking changed a little. <br> [sound:4c-s-彼の考え方は少し変わった。.mp3]
His way of thinking changed a little.	<b>彼の考え方は少し変わった。</b> <br> かれのかんがえかたはすこしかわった。 <br><br> (変わった) <br> [sound:4c-s-彼の考え方は少し変わった。.mp3]
[sound:4c-k-変わらない.mp3]	<b>変わらない</b> <br> かわらない <br> constant, invariant
変わらない	<b>かわらない</b> <br> constant, invariant <br> [sound:4c-k-変わらない.mp3]
constant, invariant	<b>変わらない</b> <br> かわらない <br> [sound:4c-k-変わらない.mp3]
[sound:4c-s-このルールは変わらない。.mp3]	<b>このルールは変わらない。</b> <br> このるーるはかわらない。 <br><br> (変わらない) <br> This rule does not change.
このルールは変わらない。 <br><br> (変わらない)	<b>このるーるはかわらない。</b> <br> This rule does not change. <br> [sound:4c-s-このルールは変わらない。.mp3]
This rule does not change.	<b>このルールは変わらない。</b> <br> このるーるはかわらない。 <br><br> (変わらない) <br> [sound:4c-s-このルールは変わらない。.mp3]
[sound:4c-k-変.mp3]	<b>変</b> <br> へん <br> strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy; unexpected; change; incident, disturbance, disaster, accident; flat (music)
変	<b>へん</b> <br> strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy; unexpected; change; incident, disturbance, disaster, accident; flat (music) <br> [sound:4c-k-変.mp3]
strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy; unexpected; change; incident, disturbance, disaster, accident; flat (music)	<b>変</b> <br> へん <br> [sound:4c-k-変.mp3]
[sound:4c-s-彼は変な行動をしました。.mp3]	<b>彼は変な行動をしました。</b> <br> かれはへんなこうどうをしました。 <br><br> (変) <br> He behaved strangely.
彼は変な行動をしました。 <br><br> (変)	<b>かれはへんなこうどうをしました。</b> <br> He behaved strangely. <br> [sound:4c-s-彼は変な行動をしました。.mp3]
He behaved strangely.	<b>彼は変な行動をしました。</b> <br> かれはへんなこうどうをしました。 <br><br> (変) <br> [sound:4c-s-彼は変な行動をしました。.mp3]
[sound:4c-k-変革.mp3]	<b>変革</b> <br> へんかく <br> change, reform, revolution, upheaval; Reformation
変革	<b>へんかく</b> <br> change, reform, revolution, upheaval; Reformation <br> [sound:4c-k-変革.mp3]
change, reform, revolution, upheaval; Reformation	<b>変革</b> <br> へんかく <br> [sound:4c-k-変革.mp3]
[sound:4c-s-社会は急速に変革しています。.mp3]	<b>社会は急速に変革しています。</b> <br> しゃかいはきゅうそくにへんかくしています。 <br><br> (変革) <br> Society is undergoing rapid transformation.
社会は急速に変革しています。 <br><br> (変革)	<b>しゃかいはきゅうそくにへんかくしています。</b> <br> Society is undergoing rapid transformation. <br> [sound:4c-s-社会は急速に変革しています。.mp3]
Society is undergoing rapid transformation.	<b>社会は急速に変革しています。</b> <br> しゃかいはきゅうそくにへんかくしています。 <br><br> (変革) <br> [sound:4c-s-社会は急速に変革しています。.mp3]
[sound:4c-k-打つ.mp3]	<b>打つ</b> <br> うつ <br> to hit (something inanimate), to strike, to beat (on something); to type, to tap (e.g. a key); to inject; to indulge in gambling; to visit (on a pilgrimage)
打つ	<b>うつ</b> <br> to hit (something inanimate), to strike, to beat (on something); to type, to tap (e.g. a key); to inject; to indulge in gambling; to visit (on a pilgrimage) <br> [sound:4c-k-打つ.mp3]
to hit (something inanimate), to strike, to beat (on something); to type, to tap (e.g. a key); to inject; to indulge in gambling; to visit (on a pilgrimage)	<b>打つ</b> <br> うつ <br> [sound:4c-k-打つ.mp3]
[sound:4c-s-彼はボールを打ちました。.mp3]	<b>彼はボールを打ちました。</b> <br> かれはぼーるをうちました。 <br><br> (打つ) <br> He hit the ball.
彼はボールを打ちました。 <br><br> (打つ)	<b>かれはぼーるをうちました。</b> <br> He hit the ball. <br> [sound:4c-s-彼はボールを打ちました。.mp3]
He hit the ball.	<b>彼はボールを打ちました。</b> <br> かれはぼーるをうちました。 <br><br> (打つ) <br> [sound:4c-s-彼はボールを打ちました。.mp3]
[sound:4c-k-本塁打.mp3]	<b>本塁打</b> <br> ほんるいだ <br> home run (baseball)
本塁打	<b>ほんるいだ</b> <br> home run (baseball) <br> [sound:4c-k-本塁打.mp3]
home run (baseball)	<b>本塁打</b> <br> ほんるいだ <br> [sound:4c-k-本塁打.mp3]
[sound:4c-s-その選手は本塁打を打ちました。.mp3]	<b>その選手は本塁打を打ちました。</b> <br> そのせんしゅはほんるいだをうちました。 <br><br> (本塁打) <br> The player hit a home run.
その選手は本塁打を打ちました。 <br><br> (本塁打)	<b>そのせんしゅはほんるいだをうちました。</b> <br> The player hit a home run. <br> [sound:4c-s-その選手は本塁打を打ちました。.mp3]
The player hit a home run.	<b>その選手は本塁打を打ちました。</b> <br> そのせんしゅはほんるいだをうちました。 <br><br> (本塁打) <br> [sound:4c-s-その選手は本塁打を打ちました。.mp3]
[sound:4c-k-打ち上げ.mp3]	<b>打ち上げ</b> <br> うちあげ <br> launch
打ち上げ	<b>うちあげ</b> <br> launch <br> [sound:4c-k-打ち上げ.mp3]
launch	<b>打ち上げ</b> <br> うちあげ <br> [sound:4c-k-打ち上げ.mp3]
[sound:4c-s-ロケットは打ち上げに成功しました。.mp3]	<b>ロケットは打ち上げに成功しました。</b> <br> ろけっとはうちあげにせいこうしました。 <br><br> (打ち上げ) <br> The rocket successfully launched.
ロケットは打ち上げに成功しました。 <br><br> (打ち上げ)	<b>ろけっとはうちあげにせいこうしました。</b> <br> The rocket successfully launched. <br> [sound:4c-s-ロケットは打ち上げに成功しました。.mp3]
The rocket successfully launched.	<b>ロケットは打ち上げに成功しました。</b> <br> ろけっとはうちあげにせいこうしました。 <br><br> (打ち上げ) <br> [sound:4c-s-ロケットは打ち上げに成功しました。.mp3]
[sound:4c-k-打開.mp3]	<b>打開</b> <br> だかい <br> break in the deadlock
打開	<b>だかい</b> <br> break in the deadlock <br> [sound:4c-k-打開.mp3]
break in the deadlock	<b>打開</b> <br> だかい <br> [sound:4c-k-打開.mp3]
[sound:4c-s-状況を打開する方法を考えています。.mp3]	<b>状況を打開する方法を考えています。</b> <br> じょうきょうをだかいするほうほうをかんがえています。 <br><br> (打開) <br> I am thinking of a way to overcome the situation.
状況を打開する方法を考えています。 <br><br> (打開)	<b>じょうきょうをだかいするほうほうをかんがえています。</b> <br> I am thinking of a way to overcome the situation. <br> [sound:4c-s-状況を打開する方法を考えています。.mp3]
I am thinking of a way to overcome the situation.	<b>状況を打開する方法を考えています。</b> <br> じょうきょうをだかいするほうほうをかんがえています。 <br><br> (打開) <br> [sound:4c-s-状況を打開する方法を考えています。.mp3]
[sound:4c-k-男.mp3]	<b>男</b> <br> おとこ <br> man
男	<b>おとこ</b> <br> man <br> [sound:4c-k-男.mp3]
man	<b>男</b> <br> おとこ <br> [sound:4c-k-男.mp3]
[sound:4c-s-男は強い意志を持っています。.mp3]	<b>男は強い意志を持っています。</b> <br> おとこはつよいいしをもっています。 <br><br> (男) <br> The man has a strong will.
男は強い意志を持っています。 <br><br> (男)	<b>おとこはつよいいしをもっています。</b> <br> The man has a strong will. <br> [sound:4c-s-男は強い意志を持っています。.mp3]
The man has a strong will.	<b>男は強い意志を持っています。</b> <br> おとこはつよいいしをもっています。 <br><br> (男) <br> [sound:4c-s-男は強い意志を持っています。.mp3]
[sound:4c-k-男子.mp3]	<b>男子</b> <br> だんし <br> youth, young man
男子	<b>だんし</b> <br> youth, young man <br> [sound:4c-k-男子.mp3]
youth, young man	<b>男子</b> <br> だんし <br> [sound:4c-k-男子.mp3]
[sound:4c-s-男子チームが勝利しました。.mp3]	<b>男子チームが勝利しました。</b> <br> だんしてぃーむがしょうりしました。 <br><br> (男子) <br> The men's team won.
男子チームが勝利しました。 <br><br> (男子)	<b>だんしてぃーむがしょうりしました。</b> <br> The men's team won. <br> [sound:4c-s-男子チームが勝利しました。.mp3]
The men's team won.	<b>男子チームが勝利しました。</b> <br> だんしてぃーむがしょうりしました。 <br><br> (男子) <br> [sound:4c-s-男子チームが勝利しました。.mp3]
[sound:4c-k-一男.mp3]	<b>一男</b> <br> いちなん <br> boy, eldest son
一男	<b>いちなん</b> <br> boy, eldest son <br> [sound:4c-k-一男.mp3]
boy, eldest son	<b>一男</b> <br> いちなん <br> [sound:4c-k-一男.mp3]
[sound:4c-s-一男が家に帰ってきました。.mp3]	<b>一男が家に帰ってきました。</b> <br> いちなんがいえにかえってきました。 <br><br> (一男) <br> One boy came home.
一男が家に帰ってきました。 <br><br> (一男)	<b>いちなんがいえにかえってきました。</b> <br> One boy came home. <br> [sound:4c-s-一男が家に帰ってきました。.mp3]
One boy came home.	<b>一男が家に帰ってきました。</b> <br> いちなんがいえにかえってきました。 <br><br> (一男) <br> [sound:4c-s-一男が家に帰ってきました。.mp3]
[sound:4c-k-男優.mp3]	<b>男優</b> <br> だんゆう <br> actor
男優	<b>だんゆう</b> <br> actor <br> [sound:4c-k-男優.mp3]
actor	<b>男優</b> <br> だんゆう <br> [sound:4c-k-男優.mp3]
[sound:4c-s-彼は有名な男優です。.mp3]	<b>彼は有名な男優です。</b> <br> かれはゆうめいなおとこゆうです。 <br><br> (男優) <br> He is a famous actor.
彼は有名な男優です。 <br><br> (男優)	<b>かれはゆうめいなおとこゆうです。</b> <br> He is a famous actor. <br> [sound:4c-s-彼は有名な男優です。.mp3]
He is a famous actor.	<b>彼は有名な男優です。</b> <br> かれはゆうめいなおとこゆうです。 <br><br> (男優) <br> [sound:4c-s-彼は有名な男優です。.mp3]
[sound:4c-k-基本.mp3]	<b>基本</b> <br> きほん <br> foundation, basis, standard
基本	<b>きほん</b> <br> foundation, basis, standard <br> [sound:4c-k-基本.mp3]
foundation, basis, standard	<b>基本</b> <br> きほん <br> [sound:4c-k-基本.mp3]
[sound:4c-s-基本的なルールを守りましょう。.mp3]	<b>基本的なルールを守りましょう。</b> <br> きほんてきなるーるをまもりましょう。 <br><br> (基本) <br> Let’s follow the basic rules.
基本的なルールを守りましょう。 <br><br> (基本)	<b>きほんてきなるーるをまもりましょう。</b> <br> Let’s follow the basic rules. <br> [sound:4c-s-基本的なルールを守りましょう。.mp3]
Let’s follow the basic rules.	<b>基本的なルールを守りましょう。</b> <br> きほんてきなるーるをまもりましょう。 <br><br> (基本) <br> [sound:4c-s-基本的なルールを守りましょう。.mp3]
[sound:4c-k-基準.mp3]	<b>基準</b> <br> きじゅん <br> standard, basis, criterion, norm, reference, datum
基準	<b>きじゅん</b> <br> standard, basis, criterion, norm, reference, datum <br> [sound:4c-k-基準.mp3]
standard, basis, criterion, norm, reference, datum	<b>基準</b> <br> きじゅん <br> [sound:4c-k-基準.mp3]
[sound:4c-s-この試験の基準は非常に高いです。.mp3]	<b>この試験の基準は非常に高いです。</b> <br> このしけんのきじゅんはひじょうにたかいです。 <br><br> (基準) <br> The standard for this exam is very high.
この試験の基準は非常に高いです。 <br><br> (基準)	<b>このしけんのきじゅんはひじょうにたかいです。</b> <br> The standard for this exam is very high. <br> [sound:4c-s-この試験の基準は非常に高いです。.mp3]
The standard for this exam is very high.	<b>この試験の基準は非常に高いです。</b> <br> このしけんのきじゅんはひじょうにたかいです。 <br><br> (基準) <br> [sound:4c-s-この試験の基準は非常に高いです。.mp3]
[sound:4c-k-基幹.mp3]	<b>基幹</b> <br> きかん <br> mainstay, nucleus, key
基幹	<b>きかん</b> <br> mainstay, nucleus, key <br> [sound:4c-k-基幹.mp3]
mainstay, nucleus, key	<b>基幹</b> <br> きかん <br> [sound:4c-k-基幹.mp3]
[sound:4c-s-基幹産業の発展が経済を支えています。.mp3]	<b>基幹産業の発展が経済を支えています。</b> <br> きかんさんぎょうのはってんがけいざいをささえています。 <br><br> (基幹) <br> The development of core industries supports the economy.
基幹産業の発展が経済を支えています。 <br><br> (基幹)	<b>きかんさんぎょうのはってんがけいざいをささえています。</b> <br> The development of core industries supports the economy. <br> [sound:4c-s-基幹産業の発展が経済を支えています。.mp3]
The development of core industries supports the economy.	<b>基幹産業の発展が経済を支えています。</b> <br> きかんさんぎょうのはってんがけいざいをささえています。 <br><br> (基幹) <br> [sound:4c-s-基幹産業の発展が経済を支えています。.mp3]
[sound:4c-k-基軸.mp3]	<b>基軸</b> <br> きじく <br> key, yardstick, criterion, standard
基軸	<b>きじく</b> <br> key, yardstick, criterion, standard <br> [sound:4c-k-基軸.mp3]
key, yardstick, criterion, standard	<b>基軸</b> <br> きじく <br> [sound:4c-k-基軸.mp3]
[sound:4c-s-基軸通貨はアメリカドルです。.mp3]	<b>基軸通貨はアメリカドルです。</b> <br> きじくつうかはあめりかどるです。 <br><br> (基軸) <br> The key currency is the U.S. dollar.
基軸通貨はアメリカドルです。 <br><br> (基軸)	<b>きじくつうかはあめりかどるです。</b> <br> The key currency is the U.S. dollar. <br> [sound:4c-s-基軸通貨はアメリカドルです。.mp3]
The key currency is the U.S. dollar.	<b>基軸通貨はアメリカドルです。</b> <br> きじくつうかはあめりかどるです。 <br><br> (基軸) <br> [sound:4c-s-基軸通貨はアメリカドルです。.mp3]
[sound:4c-k-私.mp3]	<b>私</b> <br> わたし, わたくし <br> I, me; private affairs, personal matter, secrecy; selfishness
私	<b>わたし, わたくし</b> <br> I, me; private affairs, personal matter, secrecy; selfishness <br> [sound:4c-k-私.mp3]
I, me; private affairs, personal matter, secrecy; selfishness	<b>私</b> <br> わたし, わたくし <br> [sound:4c-k-私.mp3]
[sound:4c-s-私は日本に住んでいます。.mp3]	<b>私は日本に住んでいます。</b> <br> わたしはにほんにすんでいます。 <br><br> (私) <br> I live in Japan.
私は日本に住んでいます。 <br><br> (私)	<b>わたしはにほんにすんでいます。</b> <br> I live in Japan. <br> [sound:4c-s-私は日本に住んでいます。.mp3]
