the said person, he, she, same person	<b>同氏</b> <br> どうし <br> [sound:4c-k-同氏.mp3]
明治	<b>めいじ</b> <br> Meiji era (1868.9.8-1912.7.30) <br> [sound:4c-k-明治.mp3]
Meiji era (1868.9.8-1912.7.30)	<b>明治</b> <br> めいじ <br> [sound:4c-k-明治.mp3]
[sound:4c-s-明治時代の文化を研究しています。.mp3]	<b>明治時代の文化を研究しています。</b> <br> めいじじだいのぶんかをけんきゅうしています。 <br><br> (明治) <br> I'm researching the culture of the Meiji era.
明治時代の文化を研究しています。 <br><br> (明治)	<b>めいじじだいのぶんかをけんきゅうしています。</b> <br> I'm researching the culture of the Meiji era. <br> [sound:4c-s-明治時代の文化を研究しています。.mp3]
I'm researching the culture of the Meiji era.	<b>明治時代の文化を研究しています。</b> <br> めいじじだいのぶんかをけんきゅうしています。 <br><br> (明治) <br> [sound:4c-s-明治時代の文化を研究しています。.mp3]
[sound:4c-k-態度.mp3]	<b>態度</b> <br> たいど <br> attitude, manner, behaviour
態度	<b>たいど</b> <br> attitude, manner, behaviour <br> [sound:4c-k-態度.mp3]
attitude, manner, behaviour	<b>態度</b> <br> たいど <br> [sound:4c-k-態度.mp3]
[sound:4c-s-彼の態度はとても丁寧です。.mp3]	<b>彼の態度はとても丁寧です。</b> <br> かれのたいどはとてもていねいです。 <br><br> (態度) <br> His attitude is very polite.
彼の態度はとても丁寧です。 <br><br> (態度)	<b>かれのたいどはとてもていねいです。</b> <br> His attitude is very polite. <br> [sound:4c-s-彼の態度はとても丁寧です。.mp3]
His attitude is very polite.	<b>彼の態度はとても丁寧です。</b> <br> かれのたいどはとてもていねいです。 <br><br> (態度) <br> [sound:4c-s-彼の態度はとても丁寧です。.mp3]
[sound:4c-k-何度.mp3]	<b>何度</b> <br> なんど <br> how many times?, how often?
何度	<b>なんど</b> <br> how many times?, how often? <br> [sound:4c-k-何度.mp3]
how many times?, how often?	<b>何度</b> <br> なんど <br> [sound:4c-k-何度.mp3]
[sound:4c-s-何度も練習すれば上達します。.mp3]	<b>何度も練習すれば上達します。</b> <br> なんどもれんしゅうすればじょうたつします。 <br><br> (何度) <br> If you practice many times, you will improve.
何度も練習すれば上達します。 <br><br> (何度)	<b>なんどもれんしゅうすればじょうたつします。</b> <br> If you practice many times, you will improve. <br> [sound:4c-s-何度も練習すれば上達します。.mp3]
If you practice many times, you will improve.	<b>何度も練習すれば上達します。</b> <br> なんどもれんしゅうすればじょうたつします。 <br><br> (何度) <br> [sound:4c-s-何度も練習すれば上達します。.mp3]
[sound:4c-k-前年度.mp3]	<b>前年度</b> <br> ぜんねんど <br> preceding fiscal year
前年度	<b>ぜんねんど</b> <br> preceding fiscal year <br> [sound:4c-k-前年度.mp3]
preceding fiscal year	<b>前年度</b> <br> ぜんねんど <br> [sound:4c-k-前年度.mp3]
[sound:4c-s-前年度の売上が発表されました。.mp3]	<b>前年度の売上が発表されました。</b> <br> ぜんねんどのうりあげがはっぴょうされました。 <br><br> (前年度) <br> Last year's sales figures have been announced.
前年度の売上が発表されました。 <br><br> (前年度)	<b>ぜんねんどのうりあげがはっぴょうされました。</b> <br> Last year's sales figures have been announced. <br> [sound:4c-s-前年度の売上が発表されました。.mp3]
Last year's sales figures have been announced.	<b>前年度の売上が発表されました。</b> <br> ぜんねんどのうりあげがはっぴょうされました。 <br><br> (前年度) <br> [sound:4c-s-前年度の売上が発表されました。.mp3]
[sound:4c-k-年度.mp3]	<b>年度</b> <br> ねんど <br> year, fiscal year, school year, term
年度	<b>ねんど</b> <br> year, fiscal year, school year, term <br> [sound:4c-k-年度.mp3]
year, fiscal year, school year, term	<b>年度</b> <br> ねんど <br> [sound:4c-k-年度.mp3]
[sound:4c-s-この年度の予算が決まりました。.mp3]	<b>この年度の予算が決まりました。</b> <br> このねんどのよさんがきまりました。 <br><br> (年度) <br> The budget for this fiscal year has been set.
この年度の予算が決まりました。 <br><br> (年度)	<b>このねんどのよさんがきまりました。</b> <br> The budget for this fiscal year has been set. <br> [sound:4c-s-この年度の予算が決まりました。.mp3]
The budget for this fiscal year has been set.	<b>この年度の予算が決まりました。</b> <br> このねんどのよさんがきまりました。 <br><br> (年度) <br> [sound:4c-s-この年度の予算が決まりました。.mp3]
[sound:4c-k-事務局.mp3]	<b>事務局</b> <br> じむきょく <br> secretariat, executive office
事務局	<b>じむきょく</b> <br> secretariat, executive office <br> [sound:4c-k-事務局.mp3]
secretariat, executive office	<b>事務局</b> <br> じむきょく <br> [sound:4c-k-事務局.mp3]
[sound:4c-s-事務局が会議の準備を進めています。.mp3]	<b>事務局が会議の準備を進めています。</b> <br> じむきょくがかいぎのじゅんびをすすめています。 <br><br> (事務局) <br> The secretariat is preparing for the meeting.
事務局が会議の準備を進めています。 <br><br> (事務局)	<b>じむきょくがかいぎのじゅんびをすすめています。</b> <br> The secretariat is preparing for the meeting. <br> [sound:4c-s-事務局が会議の準備を進めています。.mp3]
The secretariat is preparing for the meeting.	<b>事務局が会議の準備を進めています。</b> <br> じむきょくがかいぎのじゅんびをすすめています。 <br><br> (事務局) <br> [sound:4c-s-事務局が会議の準備を進めています。.mp3]
[sound:4c-k-事務所.mp3]	<b>事務所</b> <br> じむしょ <br> office
事務所	<b>じむしょ</b> <br> office <br> [sound:4c-k-事務所.mp3]
office	<b>事務所</b> <br> じむしょ <br> [sound:4c-k-事務所.mp3]
[sound:4c-s-新しい事務所が開設されました。.mp3]	<b>新しい事務所が開設されました。</b> <br> あたらしいじむしょがかいせつされました。 <br><br> (事務所) <br> A new office has been established.
新しい事務所が開設されました。 <br><br> (事務所)	<b>あたらしいじむしょがかいせつされました。</b> <br> A new office has been established. <br> [sound:4c-s-新しい事務所が開設されました。.mp3]
A new office has been established.	<b>新しい事務所が開設されました。</b> <br> あたらしいじむしょがかいせつされました。 <br><br> (事務所) <br> [sound:4c-s-新しい事務所が開設されました。.mp3]
[sound:4c-k-業務.mp3]	<b>業務</b> <br> ぎょうむ <br> business, affairs, duties, work, procedure, task, action, function
業務	<b>ぎょうむ</b> <br> business, affairs, duties, work, procedure, task, action, function <br> [sound:4c-k-業務.mp3]
business, affairs, duties, work, procedure, task, action, function	<b>業務</b> <br> ぎょうむ <br> [sound:4c-k-業務.mp3]
[sound:4c-s-彼の業務はデータ分析です。.mp3]	<b>彼の業務はデータ分析です。</b> <br> かれのぎょうむはデータぶんせきです。 <br><br> (業務) <br> His job is data analysis.
彼の業務はデータ分析です。 <br><br> (業務)	<b>かれのぎょうむはデータぶんせきです。</b> <br> His job is data analysis. <br> [sound:4c-s-彼の業務はデータ分析です。.mp3]
His job is data analysis.	<b>彼の業務はデータ分析です。</b> <br> かれのぎょうむはデータぶんせきです。 <br><br> (業務) <br> [sound:4c-s-彼の業務はデータ分析です。.mp3]
[sound:4c-k-常務.mp3]	<b>常務</b> <br> じょうむ <br> managing director, executive director; routine business, regular business
常務	<b>じょうむ</b> <br> managing director, executive director; routine business, regular business <br> [sound:4c-k-常務.mp3]
managing director, executive director; routine business, regular business	<b>常務</b> <br> じょうむ <br> [sound:4c-k-常務.mp3]
[sound:4c-s-常務が新しい戦略を発表しました。.mp3]	<b>常務が新しい戦略を発表しました。</b> <br> じょうむがあたらしいせんりゃくをはっぴょうしました。 <br><br> (常務) <br> The executive director announced a new strategy.
常務が新しい戦略を発表しました。 <br><br> (常務)	<b>じょうむがあたらしいせんりゃくをはっぴょうしました。</b> <br> The executive director announced a new strategy. <br> [sound:4c-s-常務が新しい戦略を発表しました。.mp3]
The executive director announced a new strategy.	<b>常務が新しい戦略を発表しました。</b> <br> じょうむがあたらしいせんりゃくをはっぴょうしました。 <br><br> (常務) <br> [sound:4c-s-常務が新しい戦略を発表しました。.mp3]
[sound:4c-k-勉強.mp3]	<b>勉強</b> <br> べんきょう <br> study; diligence; discount, reduction
勉強	<b>べんきょう</b> <br> study; diligence; discount, reduction <br> [sound:4c-k-勉強.mp3]
study; diligence; discount, reduction	<b>勉強</b> <br> べんきょう <br> [sound:4c-k-勉強.mp3]
[sound:4c-s-毎日1時間勉強しています。.mp3]	<b>毎日1時間勉強しています。</b> <br> まいにちいちじかんべんきょうしています。 <br><br> (勉強) <br> I study for one hour every day.
毎日1時間勉強しています。 <br><br> (勉強)	<b>まいにちいちじかんべんきょうしています。</b> <br> I study for one hour every day. <br> [sound:4c-s-毎日1時間勉強しています。.mp3]
I study for one hour every day.	<b>毎日1時間勉強しています。</b> <br> まいにちいちじかんべんきょうしています。 <br><br> (勉強) <br> [sound:4c-s-毎日1時間勉強しています。.mp3]
[sound:4c-k-強める.mp3]	<b>強める</b> <br> つよめる <br> to strengthen, to emphasize, to emphasise
強める	<b>つよめる</b> <br> to strengthen, to emphasize, to emphasise <br> [sound:4c-k-強める.mp3]
to strengthen, to emphasize, to emphasise	<b>強める</b> <br> つよめる <br> [sound:4c-k-強める.mp3]
[sound:4c-s-彼は自信を強めるために努力しています。.mp3]	<b>彼は自信を強めるために努力しています。</b> <br> かれはじしんをつよめるためにどりょくしています。 <br><br> (強める) <br> He is working hard to build his confidence.
彼は自信を強めるために努力しています。 <br><br> (強める)	<b>かれはじしんをつよめるためにどりょくしています。</b> <br> He is working hard to build his confidence. <br> [sound:4c-s-彼は自信を強めるために努力しています。.mp3]
He is working hard to build his confidence.	<b>彼は自信を強めるために努力しています。</b> <br> かれはじしんをつよめるためにどりょくしています。 <br><br> (強める) <br> [sound:4c-s-彼は自信を強めるために努力しています。.mp3]
[sound:4c-k-強硬.mp3]	<b>強硬</b> <br> きょうこう <br> firm, vigorous, unbending, unyielding, strong, stubborn
強硬	<b>きょうこう</b> <br> firm, vigorous, unbending, unyielding, strong, stubborn <br> [sound:4c-k-強硬.mp3]
firm, vigorous, unbending, unyielding, strong, stubborn	<b>強硬</b> <br> きょうこう <br> [sound:4c-k-強硬.mp3]
[sound:4c-s-政府は強硬な対応を取ることを決定しました。.mp3]	<b>政府は強硬な対応を取ることを決定しました。</b> <br> せいふはきょうこうなたいおうをとることをけっていしました。 <br><br> (強硬) <br> The government decided to take a tough stance.
政府は強硬な対応を取ることを決定しました。 <br><br> (強硬)	<b>せいふはきょうこうなたいおうをとることをけっていしました。</b> <br> The government decided to take a tough stance. <br> [sound:4c-s-政府は強硬な対応を取ることを決定しました。.mp3]
The government decided to take a tough stance.	<b>政府は強硬な対応を取ることを決定しました。</b> <br> せいふはきょうこうなたいおうをとることをけっていしました。 <br><br> (強硬) <br> [sound:4c-s-政府は強硬な対応を取ることを決定しました。.mp3]
[sound:4c-k-強力.mp3]	<b>強力</b> <br> きょうりょく <br> powerful, strong
強力	<b>きょうりょく</b> <br> powerful, strong <br> [sound:4c-k-強力.mp3]
powerful, strong	<b>強力</b> <br> きょうりょく <br> [sound:4c-k-強力.mp3]
[sound:4c-s-このチームは非常に強力です。.mp3]	<b>このチームは非常に強力です。</b> <br> このチームはひじょうにきょうりょくです。 <br><br> (強力) <br> This team is extremely strong.
このチームは非常に強力です。 <br><br> (強力)	<b>このチームはひじょうにきょうりょくです。</b> <br> This team is extremely strong. <br> [sound:4c-s-このチームは非常に強力です。.mp3]
This team is extremely strong.	<b>このチームは非常に強力です。</b> <br> このチームはひじょうにきょうりょくです。 <br><br> (強力) <br> [sound:4c-s-このチームは非常に強力です。.mp3]
[sound:4c-k-気持ち.mp3]	<b>気持ち</b> <br> きもち <br> feeling, sensation, mood
気持ち	<b>きもち</b> <br> feeling, sensation, mood <br> [sound:4c-k-気持ち.mp3]
feeling, sensation, mood	<b>気持ち</b> <br> きもち <br> [sound:4c-k-気持ち.mp3]
[sound:4c-s-彼の気持ちを理解したいです。.mp3]	<b>彼の気持ちを理解したいです。</b> <br> かれのきもちをりかいしたいです。 <br><br> (気持ち) <br> I want to understand his feelings.
彼の気持ちを理解したいです。 <br><br> (気持ち)	<b>かれのきもちをりかいしたいです。</b> <br> I want to understand his feelings. <br> [sound:4c-s-彼の気持ちを理解したいです。.mp3]
I want to understand his feelings.	<b>彼の気持ちを理解したいです。</b> <br> かれのきもちをりかいしたいです。 <br><br> (気持ち) <br> [sound:4c-s-彼の気持ちを理解したいです。.mp3]
[sound:4c-k-電気.mp3]	<b>電気</b> <br> でんき <br> electricity; (electric) light
電気	<b>でんき</b> <br> electricity; (electric) light <br> [sound:4c-k-電気.mp3]
electricity; (electric) light	<b>電気</b> <br> でんき <br> [sound:4c-k-電気.mp3]
[sound:4c-s-電気の使用量を減らしましょう。.mp3]	<b>電気の使用量を減らしましょう。</b> <br> でんきのしようりょうをへらしましょう。 <br><br> (電気) <br> Let's reduce electricity usage.
電気の使用量を減らしましょう。 <br><br> (電気)	<b>でんきのしようりょうをへらしましょう。</b> <br> Let's reduce electricity usage. <br> [sound:4c-s-電気の使用量を減らしましょう。.mp3]
Let's reduce electricity usage.	<b>電気の使用量を減らしましょう。</b> <br> でんきのしようりょうをへらしましょう。 <br><br> (電気) <br> [sound:4c-s-電気の使用量を減らしましょう。.mp3]
[sound:4c-k-病気.mp3]	<b>病気</b> <br> びょうき <br> illness, disease, sickness
病気	<b>びょうき</b> <br> illness, disease, sickness <br> [sound:4c-k-病気.mp3]
illness, disease, sickness	<b>病気</b> <br> びょうき <br> [sound:4c-k-病気.mp3]
[sound:4c-s-病気の予防に気をつけています。.mp3]	<b>病気の予防に気をつけています。</b> <br> びょうきのよぼうにきをつけています。 <br><br> (病気) <br> I'm careful to prevent illness.
病気の予防に気をつけています。 <br><br> (病気)	<b>びょうきのよぼうにきをつけています。</b> <br> I'm careful to prevent illness. <br> [sound:4c-s-病気の予防に気をつけています。.mp3]
I'm careful to prevent illness.	<b>病気の予防に気をつけています。</b> <br> びょうきのよぼうにきをつけています。 <br><br> (病気) <br> [sound:4c-s-病気の予防に気をつけています。.mp3]
[sound:4c-k-一気.mp3]	<b>一気</b> <br> いっき <br> drink! (said repeatedly as a party cheer)
一気	<b>いっき</b> <br> drink! (said repeatedly as a party cheer) <br> [sound:4c-k-一気.mp3]
drink! (said repeatedly as a party cheer)	<b>一気</b> <br> いっき <br> [sound:4c-k-一気.mp3]
[sound:4c-s-彼は一気に本を読み終えました。.mp3]	<b>彼は一気に本を読み終えました。</b> <br> かれはいっきにほんをよみおえました。 <br><br> (一気) <br> He finished reading the book in one go.
彼は一気に本を読み終えました。 <br><br> (一気)	<b>かれはいっきにほんをよみおえました。</b> <br> He finished reading the book in one go. <br> [sound:4c-s-彼は一気に本を読み終えました。.mp3]
He finished reading the book in one go.	<b>彼は一気に本を読み終えました。</b> <br> かれはいっきにほんをよみおえました。 <br><br> (一気) <br> [sound:4c-s-彼は一気に本を読み終えました。.mp3]
[sound:4c-k-小学生.mp3]	<b>小学生</b> <br> しょうがくせい <br> elementary school student, primary school student, grade school student
小学生	<b>しょうがくせい</b> <br> elementary school student, primary school student, grade school student <br> [sound:4c-k-小学生.mp3]
elementary school student, primary school student, grade school student	<b>小学生</b> <br> しょうがくせい <br> [sound:4c-k-小学生.mp3]
[sound:4c-s-小学生は元気いっぱいです。.mp3]	<b>小学生は元気いっぱいです。</b> <br> しょうがくせいはげんきいっぱいです。 <br><br> (小学生) <br> Elementary school students are full of energy.
小学生は元気いっぱいです。 <br><br> (小学生)	<b>しょうがくせいはげんきいっぱいです。</b> <br> Elementary school students are full of energy. <br> [sound:4c-s-小学生は元気いっぱいです。.mp3]
Elementary school students are full of energy.	<b>小学生は元気いっぱいです。</b> <br> しょうがくせいはげんきいっぱいです。 <br><br> (小学生) <br> [sound:4c-s-小学生は元気いっぱいです。.mp3]
[sound:4c-k-中小企業.mp3]	<b>中小企業</b> <br> ちゅうしょうきぎょう <br> small to medium enterprises, smaller companies
中小企業	<b>ちゅうしょうきぎょう</b> <br> small to medium enterprises, smaller companies <br> [sound:4c-k-中小企業.mp3]
small to medium enterprises, smaller companies	<b>中小企業</b> <br> ちゅうしょうきぎょう <br> [sound:4c-k-中小企業.mp3]
[sound:4c-s-中小企業の支援策が発表されました。.mp3]	<b>中小企業の支援策が発表されました。</b> <br> ちゅうしょうきぎょうのしえんさくがはっぴょうされました。 <br><br> (中小企業) <br> Support measures for small and medium-sized enterprises have been announced.
中小企業の支援策が発表されました。 <br><br> (中小企業)	<b>ちゅうしょうきぎょうのしえんさくがはっぴょうされました。</b> <br> Support measures for small and medium-sized enterprises have been announced. <br> [sound:4c-s-中小企業の支援策が発表されました。.mp3]
Support measures for small and medium-sized enterprises have been announced.	<b>中小企業の支援策が発表されました。</b> <br> ちゅうしょうきぎょうのしえんさくがはっぴょうされました。 <br><br> (中小企業) <br> [sound:4c-s-中小企業の支援策が発表されました。.mp3]
[sound:4c-k-小学.mp3]	<b>小学</b> <br> しょうがく <br> elementary school, primary school, grade school
小学	<b>しょうがく</b> <br> elementary school, primary school, grade school <br> [sound:4c-k-小学.mp3]
elementary school, primary school, grade school	<b>小学</b> <br> しょうがく <br> [sound:4c-k-小学.mp3]
[sound:4c-s-彼は小学三年生です。.mp3]	<b>彼は小学三年生です。</b> <br> かれはしょうがくさんねんせいです。 <br><br> (小学) <br> He is a third-grade elementary school student.
彼は小学三年生です。 <br><br> (小学)	<b>かれはしょうがくさんねんせいです。</b> <br> He is a third-grade elementary school student. <br> [sound:4c-s-彼は小学三年生です。.mp3]
He is a third-grade elementary school student.	<b>彼は小学三年生です。</b> <br> かれはしょうがくさんねんせいです。 <br><br> (小学) <br> [sound:4c-s-彼は小学三年生です。.mp3]
[sound:4c-k-小型.mp3]	<b>小型</b> <br> こがた <br> small size, tiny
小型	<b>こがた</b> <br> small size, tiny <br> [sound:4c-k-小型.mp3]
small size, tiny	<b>小型</b> <br> こがた <br> [sound:4c-k-小型.mp3]
[sound:4c-s-このカメラは小型で便利です。.mp3]	<b>このカメラは小型で便利です。</b> <br> このカメラはこがたでべんりです。 <br><br> (小型) <br> This camera is compact and convenient.
このカメラは小型で便利です。 <br><br> (小型)	<b>このカメラはこがたでべんりです。</b> <br> This camera is compact and convenient. <br> [sound:4c-s-このカメラは小型で便利です。.mp3]
This camera is compact and convenient.	<b>このカメラは小型で便利です。</b> <br> このカメラはこがたでべんりです。 <br><br> (小型) <br> [sound:4c-s-このカメラは小型で便利です。.mp3]
[sound:4c-k-七十.mp3]	<b>七十</b> <br> しちじゅう, ななじゅう, ななそ <br> seventy
七十	<b>しちじゅう, ななじゅう, ななそ</b> <br> seventy <br> [sound:4c-k-七十.mp3]
seventy	<b>七十</b> <br> しちじゅう, ななじゅう, ななそ <br> [sound:4c-k-七十.mp3]
[sound:4c-s-七十歳の誕生日を祝いました。.mp3]	<b>七十歳の誕生日を祝いました。</b> <br> ななじゅっさいのたんじょうびをいわいました。 <br><br> (七十) <br> We celebrated his seventieth birthday.
七十歳の誕生日を祝いました。 <br><br> (七十)	<b>ななじゅっさいのたんじょうびをいわいました。</b> <br> We celebrated his seventieth birthday. <br> [sound:4c-s-七十歳の誕生日を祝いました。.mp3]
We celebrated his seventieth birthday.	<b>七十歳の誕生日を祝いました。</b> <br> ななじゅっさいのたんじょうびをいわいました。 <br><br> (七十) <br> [sound:4c-s-七十歳の誕生日を祝いました。.mp3]
[sound:4c-k-四十七士.mp3]	<b>四十七士</b> <br> しじゅうしちし <br> The 47 Ronin
四十七士	<b>しじゅうしちし</b> <br> The 47 Ronin <br> [sound:4c-k-四十七士.mp3]
The 47 Ronin	<b>四十七士</b> <br> しじゅうしちし <br> [sound:4c-k-四十七士.mp3]
[sound:4c-s-四十七士の物語は有名です。.mp3]	<b>四十七士の物語は有名です。</b> <br> しじゅうしちしのものがたりはゆうめいです。 <br><br> (四十七士) <br> The story of the Forty-Seven Ronin is famous.
四十七士の物語は有名です。 <br><br> (四十七士)	<b>しじゅうしちしのものがたりはゆうめいです。</b> <br> The story of the Forty-Seven Ronin is famous. <br> [sound:4c-s-四十七士の物語は有名です。.mp3]
The story of the Forty-Seven Ronin is famous.	<b>四十七士の物語は有名です。</b> <br> しじゅうしちしのものがたりはゆうめいです。 <br><br> (四十七士) <br> [sound:4c-s-四十七士の物語は有名です。.mp3]
[sound:4c-k-七つ.mp3]	<b>七つ</b> <br> ななつ <br> seven
七つ	<b>ななつ</b> <br> seven <br> [sound:4c-k-七つ.mp3]
seven	<b>七つ</b> <br> ななつ <br> [sound:4c-k-七つ.mp3]
[sound:4c-s-七つの異なる選択肢があります。.mp3]	<b>七つの異なる選択肢があります。</b> <br> ななつのことなるせんたくしがあります。 <br><br> (七つ) <br> There are seven different options.
七つの異なる選択肢があります。 <br><br> (七つ)	<b>ななつのことなるせんたくしがあります。</b> <br> There are seven different options. <br> [sound:4c-s-七つの異なる選択肢があります。.mp3]
There are seven different options.	<b>七つの異なる選択肢があります。</b> <br> ななつのことなるせんたくしがあります。 <br><br> (七つ) <br> [sound:4c-s-七つの異なる選択肢があります。.mp3]
[sound:4c-k-七七日.mp3]	<b>七七日</b> <br> しちしちにち, なななぬか, なななのか <br> 49th day after death
七七日	<b>しちしちにち, なななぬか, なななのか</b> <br> 49th day after death <br> [sound:4c-k-七七日.mp3]
49th day after death	<b>七七日</b> <br> しちしちにち, なななぬか, なななのか <br> [sound:4c-k-七七日.mp3]
[sound:4c-s-七七日の法要が行われました。.mp3]	<b>七七日の法要が行われました。</b> <br> しちしちにちのほうようがおこなわれました。 <br><br> (七七日) <br> The 49-day memorial service was held.
七七日の法要が行われました。 <br><br> (七七日)	<b>しちしちにちのほうようがおこなわれました。</b> <br> The 49-day memorial service was held. <br> [sound:4c-s-七七日の法要が行われました。.mp3]
The 49-day memorial service was held.	<b>七七日の法要が行われました。</b> <br> しちしちにちのほうようがおこなわれました。 <br><br> (七七日) <br> [sound:4c-s-七七日の法要が行われました。.mp3]
[sound:4c-k-成立.mp3]	<b>成立</b> <br> せいりつ <br> coming into existence, arrangements, establishment, conclusion, completion
成立	<b>せいりつ</b> <br> coming into existence, arrangements, establishment, conclusion, completion <br> [sound:4c-k-成立.mp3]
coming into existence, arrangements, establishment, conclusion, completion	<b>成立</b> <br> せいりつ <br> [sound:4c-k-成立.mp3]
[sound:4c-s-新しい法案が成立しました。.mp3]	<b>新しい法案が成立しました。</b> <br> あたらしいほうあんがせいりつしました。 <br><br> (成立) <br> A new bill has been enacted.
新しい法案が成立しました。 <br><br> (成立)	<b>あたらしいほうあんがせいりつしました。</b> <br> A new bill has been enacted. <br> [sound:4c-s-新しい法案が成立しました。.mp3]
A new bill has been enacted.	<b>新しい法案が成立しました。</b> <br> あたらしいほうあんがせいりつしました。 <br><br> (成立) <br> [sound:4c-s-新しい法案が成立しました。.mp3]
[sound:4c-k-編成.mp3]	<b>編成</b> <br> へんせい <br> composition, formation, organization, organisation, compilation
編成	<b>へんせい</b> <br> composition, formation, organization, organisation, compilation <br> [sound:4c-k-編成.mp3]
composition, formation, organization, organisation, compilation	<b>編成</b> <br> へんせい <br> [sound:4c-k-編成.mp3]
[sound:4c-s-新しいチームの編成が完了しました。.mp3]	<b>新しいチームの編成が完了しました。</b> <br> あたらしいチームのへんせいがかんりょうしました。 <br><br> (編成) <br> The formation of the new team is complete.
新しいチームの編成が完了しました。 <br><br> (編成)	<b>あたらしいチームのへんせいがかんりょうしました。</b> <br> The formation of the new team is complete. <br> [sound:4c-s-新しいチームの編成が完了しました。.mp3]
The formation of the new team is complete.	<b>新しいチームの編成が完了しました。</b> <br> あたらしいチームのへんせいがかんりょうしました。 <br><br> (編成) <br> [sound:4c-s-新しいチームの編成が完了しました。.mp3]
[sound:4c-k-結成.mp3]	<b>結成</b> <br> けっせい <br> formation
結成	<b>けっせい</b> <br> formation <br> [sound:4c-k-結成.mp3]
formation	<b>結成</b> <br> けっせい <br> [sound:4c-k-結成.mp3]
[sound:4c-s-新しいバンドが結成されました。.mp3]	<b>新しいバンドが結成されました。</b> <br> あたらしいバンドがけっせいされました。 <br><br> (結成) <br> A new band has been formed.
新しいバンドが結成されました。 <br><br> (結成)	<b>あたらしいバンドがけっせいされました。</b> <br> A new band has been formed. <br> [sound:4c-s-新しいバンドが結成されました。.mp3]
A new band has been formed.	<b>新しいバンドが結成されました。</b> <br> あたらしいバンドがけっせいされました。 <br><br> (結成) <br> [sound:4c-s-新しいバンドが結成されました。.mp3]
[sound:4c-k-構成.mp3]	<b>構成</b> <br> こうせい <br> organization, organisation, configuration, composition
構成	<b>こうせい</b> <br> organization, organisation, configuration, composition <br> [sound:4c-k-構成.mp3]
organization, organisation, configuration, composition	<b>構成</b> <br> こうせい <br> [sound:4c-k-構成.mp3]
[sound:4c-s-この組織は五つの部門で構成されています。.mp3]	<b>この組織は五つの部門で構成されています。</b> <br> このそしきはいつつのぶもんでこうせいされています。 <br><br> (構成) <br> This organization consists of five departments.
この組織は五つの部門で構成されています。 <br><br> (構成)	<b>このそしきはいつつのぶもんでこうせいされています。</b> <br> This organization consists of five departments. <br> [sound:4c-s-この組織は五つの部門で構成されています。.mp3]
This organization consists of five departments.	<b>この組織は五つの部門で構成されています。</b> <br> このそしきはいつつのぶもんでこうせいされています。 <br><br> (構成) <br> [sound:4c-s-この組織は五つの部門で構成されています。.mp3]
[sound:4c-k-早期.mp3]	<b>早期</b> <br> そうき <br> early stage
早期	<b>そうき</b> <br> early stage <br> [sound:4c-k-早期.mp3]
early stage	<b>早期</b> <br> そうき <br> [sound:4c-k-早期.mp3]
[sound:4c-s-早期治療が重要です。.mp3]	<b>早期治療が重要です。</b> <br> そうきちりょうがじゅうようです。 <br><br> (早期) <br> Early treatment is important.
早期治療が重要です。 <br><br> (早期)	<b>そうきちりょうがじゅうようです。</b> <br> Early treatment is important. <br> [sound:4c-s-早期治療が重要です。.mp3]
Early treatment is important.	<b>早期治療が重要です。</b> <br> そうきちりょうがじゅうようです。 <br><br> (早期) <br> [sound:4c-s-早期治療が重要です。.mp3]
[sound:4c-k-長期.mp3]	<b>長期</b> <br> ちょうき <br> long time period
長期	<b>ちょうき</b> <br> long time period <br> [sound:4c-k-長期.mp3]
long time period	<b>長期</b> <br> ちょうき <br> [sound:4c-k-長期.mp3]
[sound:4c-s-長期計画を立てましょう。.mp3]	<b>長期計画を立てましょう。</b> <br> ちょうきけいかくをたてましょう。 <br><br> (長期) <br> Let's create a long-term plan.
長期計画を立てましょう。 <br><br> (長期)	<b>ちょうきけいかくをたてましょう。</b> <br> Let's create a long-term plan. <br> [sound:4c-s-長期計画を立てましょう。.mp3]
Let's create a long-term plan.	<b>長期計画を立てましょう。</b> <br> ちょうきけいかくをたてましょう。 <br><br> (長期) <br> [sound:4c-s-長期計画を立てましょう。.mp3]
[sound:4c-k-期限.mp3]	<b>期限</b> <br> きげん <br> term, period, time frame; time limit, deadline, cutoff (date)
期限	<b>きげん</b> <br> term, period, time frame; time limit, deadline, cutoff (date) <br> [sound:4c-k-期限.mp3]
term, period, time frame; time limit, deadline, cutoff (date)	<b>期限</b> <br> きげん <br> [sound:4c-k-期限.mp3]
[sound:4c-s-提出期限は来週です。.mp3]	<b>提出期限は来週です。</b> <br> ていしゅつきげんはらいしゅうです。 <br><br> (期限) <br> The submission deadline is next week.
提出期限は来週です。 <br><br> (期限)	<b>ていしゅつきげんはらいしゅうです。</b> <br> The submission deadline is next week. <br> [sound:4c-s-提出期限は来週です。.mp3]
The submission deadline is next week.	<b>提出期限は来週です。</b> <br> ていしゅつきげんはらいしゅうです。 <br><br> (期限) <br> [sound:4c-s-提出期限は来週です。.mp3]
[sound:4c-k-次期.mp3]	<b>次期</b> <br> じき <br> next term, next period; next version, next release
次期	<b>じき</b> <br> next term, next period; next version, next release <br> [sound:4c-k-次期.mp3]
next term, next period; next version, next release	<b>次期</b> <br> じき <br> [sound:4c-k-次期.mp3]
