tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい</b> <br> やさしい <br> [sound:4c-k-優しい.mp3]
dictatorship, despotism	<b>独裁</b> <br> どくさい <br> [sound:4c-k-独裁.mp3]
[sound:4c-s-独裁者は権力を持ち続けています。.mp3]	<b>独裁者は権力を持ち続けています。</b> <br> けいかいをおこたることはきけんです。 <br><br> (独裁) <br> Neglecting vigilance is dangerous.
独裁者は権力を持ち続けています。 <br><br> (独裁)	<b>けいかいをおこたることはきけんです。</b> <br> Neglecting vigilance is dangerous. <br> [sound:4c-s-独裁者は権力を持ち続けています。.mp3]
Neglecting vigilance is dangerous.	<b>独裁者は権力を持ち続けています。</b> <br> けいかいをおこたることはきけんです。 <br><br> (独裁) <br> [sound:4c-s-独裁者は権力を持ち続けています。.mp3]
[sound:4c-k-警戒.mp3]	<b>警戒</b> <br> けいかい <br> vigilance, precaution, watch, lookout, altertness; to be vigilant, to be cautious, to guard (against)
警戒	<b>けいかい</b> <br> vigilance, precaution, watch, lookout, altertness; to be vigilant, to be cautious, to guard (against) <br> [sound:4c-k-警戒.mp3]
vigilance, precaution, watch, lookout, altertness; to be vigilant, to be cautious, to guard (against)	<b>警戒</b> <br> けいかい <br> [sound:4c-k-警戒.mp3]
[sound:4c-s-警戒を怠ることは危険です。.mp3]	<b>警戒を怠ることは危険です。</b> <br> けいさつちょうはちあんをまもるせきにんがあります。 <br><br> (警戒) <br> The National Police Agency is responsible for maintaining public order.
警戒を怠ることは危険です。 <br><br> (警戒)	<b>けいさつちょうはちあんをまもるせきにんがあります。</b> <br> The National Police Agency is responsible for maintaining public order. <br> [sound:4c-s-警戒を怠ることは危険です。.mp3]
The National Police Agency is responsible for maintaining public order.	<b>警戒を怠ることは危険です。</b> <br> けいさつちょうはちあんをまもるせきにんがあります。 <br><br> (警戒) <br> [sound:4c-s-警戒を怠ることは危険です。.mp3]
[sound:4c-k-警察庁.mp3]	<b>警察庁</b> <br> けいさつちょう <br> National Police Agency
警察庁	<b>けいさつちょう</b> <br> National Police Agency <br> [sound:4c-k-警察庁.mp3]
National Police Agency	<b>警察庁</b> <br> けいさつちょう <br> [sound:4c-k-警察庁.mp3]
[sound:4c-s-警察庁は治安を守る責任があります。.mp3]	<b>警察庁は治安を守る責任があります。</b> <br> けいびいんがいりぐちでちぇっくをおこなっています。 <br><br> (警察庁) <br> Security guards are conducting checks at the entrance.
警察庁は治安を守る責任があります。 <br><br> (警察庁)	<b>けいびいんがいりぐちでちぇっくをおこなっています。</b> <br> Security guards are conducting checks at the entrance. <br> [sound:4c-s-警察庁は治安を守る責任があります。.mp3]
Security guards are conducting checks at the entrance.	<b>警察庁は治安を守る責任があります。</b> <br> けいびいんがいりぐちでちぇっくをおこなっています。 <br><br> (警察庁) <br> [sound:4c-s-警察庁は治安を守る責任があります。.mp3]
[sound:4c-k-警備.mp3]	<b>警備</b> <br> けいび <br> defense, defence, guard, policing, security
警備	<b>けいび</b> <br> defense, defence, guard, policing, security <br> [sound:4c-k-警備.mp3]
defense, defence, guard, policing, security	<b>警備</b> <br> けいび <br> [sound:4c-k-警備.mp3]
[sound:4c-s-警備員が入り口でチェックを行っています。.mp3]	<b>警備員が入り口でチェックを行っています。</b> <br> けいかんがこうつうのしどうをおこなっています。 <br><br> (警備) <br> The police officer is directing traffic.
警備員が入り口でチェックを行っています。 <br><br> (警備)	<b>けいかんがこうつうのしどうをおこなっています。</b> <br> The police officer is directing traffic. <br> [sound:4c-s-警備員が入り口でチェックを行っています。.mp3]
The police officer is directing traffic.	<b>警備員が入り口でチェックを行っています。</b> <br> けいかんがこうつうのしどうをおこなっています。 <br><br> (警備) <br> [sound:4c-s-警備員が入り口でチェックを行っています。.mp3]
[sound:4c-k-警官.mp3]	<b>警官</b> <br> けいかん <br> policeman
警官	<b>けいかん</b> <br> policeman <br> [sound:4c-k-警官.mp3]
policeman	<b>警官</b> <br> けいかん <br> [sound:4c-k-警官.mp3]
[sound:4c-s-警官が交通の指導を行っています。.mp3]	<b>警官が交通の指導を行っています。</b> <br> おうぞくはきゅうでんにすんでいます。 <br><br> (警官) <br> The royal family lives in the palace.
警官が交通の指導を行っています。 <br><br> (警官)	<b>おうぞくはきゅうでんにすんでいます。</b> <br> The royal family lives in the palace. <br> [sound:4c-s-警官が交通の指導を行っています。.mp3]
The royal family lives in the palace.	<b>警官が交通の指導を行っています。</b> <br> おうぞくはきゅうでんにすんでいます。 <br><br> (警官) <br> [sound:4c-s-警官が交通の指導を行っています。.mp3]
[sound:4c-k-宮殿.mp3]	<b>宮殿</b> <br> きゅうでん <br> palace
宮殿	<b>きゅうでん</b> <br> palace <br> [sound:4c-k-宮殿.mp3]
palace	<b>宮殿</b> <br> きゅうでん <br> [sound:4c-k-宮殿.mp3]
[sound:4c-s-王族は宮殿に住んでいます。.mp3]	<b>王族は宮殿に住んでいます。</b> <br> しきゅうはじょせいのせいしょくきのいちぶです。 <br><br> (宮殿) <br> The uterus is part of the female reproductive system.
王族は宮殿に住んでいます。 <br><br> (宮殿)	<b>しきゅうはじょせいのせいしょくきのいちぶです。</b> <br> The uterus is part of the female reproductive system. <br> [sound:4c-s-王族は宮殿に住んでいます。.mp3]
The uterus is part of the female reproductive system.	<b>王族は宮殿に住んでいます。</b> <br> しきゅうはじょせいのせいしょくきのいちぶです。 <br><br> (宮殿) <br> [sound:4c-s-王族は宮殿に住んでいます。.mp3]
[sound:4c-k-子宮.mp3]	<b>子宮</b> <br> しきゅう <br> womb, uterus
子宮	<b>しきゅう</b> <br> womb, uterus <br> [sound:4c-k-子宮.mp3]
womb, uterus	<b>子宮</b> <br> しきゅう <br> [sound:4c-k-子宮.mp3]
[sound:4c-s-子宮は女性の生殖器の一部です。.mp3]	<b>子宮は女性の生殖器の一部です。</b> <br> きゅうちゅうでおおきなぎしきがおこなわれました。 <br><br> (子宮) <br> A grand ceremony was held in the imperial court.
子宮は女性の生殖器の一部です。 <br><br> (子宮)	<b>きゅうちゅうでおおきなぎしきがおこなわれました。</b> <br> A grand ceremony was held in the imperial court. <br> [sound:4c-s-子宮は女性の生殖器の一部です。.mp3]
A grand ceremony was held in the imperial court.	<b>子宮は女性の生殖器の一部です。</b> <br> きゅうちゅうでおおきなぎしきがおこなわれました。 <br><br> (子宮) <br> [sound:4c-s-子宮は女性の生殖器の一部です。.mp3]
[sound:4c-k-宮中.mp3]	<b>宮中</b> <br> きゅうちゅう <br> imperial court
宮中	<b>きゅうちゅう</b> <br> imperial court <br> [sound:4c-k-宮中.mp3]
imperial court	<b>宮中</b> <br> きゅうちゅう <br> [sound:4c-k-宮中.mp3]
[sound:4c-s-宮中で大きな儀式が行われました。.mp3]	<b>宮中で大きな儀式が行われました。</b> <br> とうぐうはこうたいしのきょじゅうちです。 <br><br> (宮中) <br> The Crown Prince's residence is in the Eastern Palace.
宮中で大きな儀式が行われました。 <br><br> (宮中)	<b>とうぐうはこうたいしのきょじゅうちです。</b> <br> The Crown Prince's residence is in the Eastern Palace. <br> [sound:4c-s-宮中で大きな儀式が行われました。.mp3]
The Crown Prince's residence is in the Eastern Palace.	<b>宮中で大きな儀式が行われました。</b> <br> とうぐうはこうたいしのきょじゅうちです。 <br><br> (宮中) <br> [sound:4c-s-宮中で大きな儀式が行われました。.mp3]
[sound:4c-k-東宮.mp3]	<b>東宮</b> <br> とうぐう <br> crown prince
東宮	<b>とうぐう</b> <br> crown prince <br> [sound:4c-k-東宮.mp3]
crown prince	<b>東宮</b> <br> とうぐう <br> [sound:4c-k-東宮.mp3]
[sound:4c-s-東宮は皇太子の居住地です。.mp3]	<b>東宮は皇太子の居住地です。</b> <br> じけんのしんそうがきゅうめいされています。 <br><br> (東宮) <br> The truth behind the incident is being investigated.
東宮は皇太子の居住地です。 <br><br> (東宮)	<b>じけんのしんそうがきゅうめいされています。</b> <br> The truth behind the incident is being investigated. <br> [sound:4c-s-東宮は皇太子の居住地です。.mp3]
The truth behind the incident is being investigated.	<b>東宮は皇太子の居住地です。</b> <br> じけんのしんそうがきゅうめいされています。 <br><br> (東宮) <br> [sound:4c-s-東宮は皇太子の居住地です。.mp3]
[sound:4c-k-究明.mp3]	<b>究明</b> <br> きゅうめい <br> investigation (esp. in academic and scientific contexts)
究明	<b>きゅうめい</b> <br> investigation (esp. in academic and scientific contexts) <br> [sound:4c-k-究明.mp3]
investigation (esp. in academic and scientific contexts)	<b>究明</b> <br> きゅうめい <br> [sound:4c-k-究明.mp3]
[sound:4c-s-事件の真相が究明されています。.mp3]	<b>事件の真相が究明されています。</b> <br> けんきゅういんはあたらしいじっけんをおこなっています。 <br><br> (究明) <br> The researcher is conducting a new experiment.
事件の真相が究明されています。 <br><br> (究明)	<b>けんきゅういんはあたらしいじっけんをおこなっています。</b> <br> The researcher is conducting a new experiment. <br> [sound:4c-s-事件の真相が究明されています。.mp3]
The researcher is conducting a new experiment.	<b>事件の真相が究明されています。</b> <br> けんきゅういんはあたらしいじっけんをおこなっています。 <br><br> (究明) <br> [sound:4c-s-事件の真相が究明されています。.mp3]
[sound:4c-k-研究員.mp3]	<b>研究員</b> <br> けんきゅういん <br> researcher
研究員	<b>けんきゅういん</b> <br> researcher <br> [sound:4c-k-研究員.mp3]
researcher	<b>研究員</b> <br> けんきゅういん <br> [sound:4c-k-研究員.mp3]
[sound:4c-s-研究員は新しい実験を行っています。.mp3]	<b>研究員は新しい実験を行っています。</b> <br> わたしはぶつりのけんきゅうしつではたらいています。 <br><br> (研究員) <br> I work in the physics lab.
研究員は新しい実験を行っています。 <br><br> (研究員)	<b>わたしはぶつりのけんきゅうしつではたらいています。</b> <br> I work in the physics lab. <br> [sound:4c-s-研究員は新しい実験を行っています。.mp3]
I work in the physics lab.	<b>研究員は新しい実験を行っています。</b> <br> わたしはぶつりのけんきゅうしつではたらいています。 <br><br> (研究員) <br> [sound:4c-s-研究員は新しい実験を行っています。.mp3]
[sound:4c-k-研究室.mp3]	<b>研究室</b> <br> けんきゅうしつ <br> laboratory; seminar room; professor's office
研究室	<b>けんきゅうしつ</b> <br> laboratory; seminar room; professor's office <br> [sound:4c-k-研究室.mp3]
laboratory; seminar room; professor's office	<b>研究室</b> <br> けんきゅうしつ <br> [sound:4c-k-研究室.mp3]
[sound:4c-s-私は物理の研究室で働いています。.mp3]	<b>私は物理の研究室で働いています。</b> <br> かれはれきしけんきゅうかとしてちょめいです。 <br><br> (研究室) <br> He is renowned as a historian.
私は物理の研究室で働いています。 <br><br> (研究室)	<b>かれはれきしけんきゅうかとしてちょめいです。</b> <br> He is renowned as a historian. <br> [sound:4c-s-私は物理の研究室で働いています。.mp3]
He is renowned as a historian.	<b>私は物理の研究室で働いています。</b> <br> かれはれきしけんきゅうかとしてちょめいです。 <br><br> (研究室) <br> [sound:4c-s-私は物理の研究室で働いています。.mp3]
[sound:4c-k-研究家.mp3]	<b>研究家</b> <br> けんきゅうか <br> researcher, student (of)
研究家	<b>けんきゅうか</b> <br> researcher, student (of) <br> [sound:4c-k-研究家.mp3]
researcher, student (of)	<b>研究家</b> <br> けんきゅうか <br> [sound:4c-k-研究家.mp3]
[sound:4c-s-彼は歴史研究家として著名です。.mp3]	<b>彼は歴史研究家として著名です。</b> <br> ほいくしはこどものせわをします。 <br><br> (研究家) <br> The childcare worker takes care of the children.
彼は歴史研究家として著名です。 <br><br> (研究家)	<b>ほいくしはこどものせわをします。</b> <br> The childcare worker takes care of the children. <br> [sound:4c-s-彼は歴史研究家として著名です。.mp3]
The childcare worker takes care of the children.	<b>彼は歴史研究家として著名です。</b> <br> ほいくしはこどものせわをします。 <br><br> (研究家) <br> [sound:4c-s-彼は歴史研究家として著名です。.mp3]
[sound:4c-k-保育.mp3]	<b>保育</b> <br> ほいく <br> nursing, nurturing, rearing, lactation, suckling
保育	<b>ほいく</b> <br> nursing, nurturing, rearing, lactation, suckling <br> [sound:4c-k-保育.mp3]
nursing, nurturing, rearing, lactation, suckling	<b>保育</b> <br> ほいく <br> [sound:4c-k-保育.mp3]
[sound:4c-s-保育士は子供の世話をします。.mp3]	<b>保育士は子供の世話をします。</b> <br> きぎょうはさいのうのいくせいにちからをいれています。 <br><br> (保育) <br> Companies are focusing on talent development.
保育士は子供の世話をします。 <br><br> (保育)	<b>きぎょうはさいのうのいくせいにちからをいれています。</b> <br> Companies are focusing on talent development. <br> [sound:4c-s-保育士は子供の世話をします。.mp3]
Companies are focusing on talent development.	<b>保育士は子供の世話をします。</b> <br> きぎょうはさいのうのいくせいにちからをいれています。 <br><br> (保育) <br> [sound:4c-s-保育士は子供の世話をします。.mp3]
[sound:4c-k-育成.mp3]	<b>育成</b> <br> いくせい <br> rearing, training, nurture, cultivation, promotion
育成	<b>いくせい</b> <br> rearing, training, nurture, cultivation, promotion <br> [sound:4c-k-育成.mp3]
rearing, training, nurture, cultivation, promotion	<b>育成</b> <br> いくせい <br> [sound:4c-k-育成.mp3]
[sound:4c-s-企業は才能の育成に力を入れています。.mp3]	<b>企業は才能の育成に力を入れています。</b> <br> かれはとうきょうでそだちました。 <br><br> (育成) <br> He grew up in Tokyo.
企業は才能の育成に力を入れています。 <br><br> (育成)	<b>かれはとうきょうでそだちました。</b> <br> He grew up in Tokyo. <br> [sound:4c-s-企業は才能の育成に力を入れています。.mp3]
He grew up in Tokyo.	<b>企業は才能の育成に力を入れています。</b> <br> かれはとうきょうでそだちました。 <br><br> (育成) <br> [sound:4c-s-企業は才能の育成に力を入れています。.mp3]
[sound:4c-k-育ち.mp3]	<b>育ち</b> <br> そだち <br> breeding, growth
育ち	<b>そだち</b> <br> breeding, growth <br> [sound:4c-k-育ち.mp3]
breeding, growth	<b>育ち</b> <br> そだち <br> [sound:4c-k-育ち.mp3]
[sound:4c-s-彼は東京で育ちました。.mp3]	<b>彼は東京で育ちました。</b> <br> どうぶつえんではめずらしいどうぶつのしいくがおこなわれています。 <br><br> (育ち) <br> The zoo is breeding rare animals.
彼は東京で育ちました。 <br><br> (育ち)	<b>どうぶつえんではめずらしいどうぶつのしいくがおこなわれています。</b> <br> The zoo is breeding rare animals. <br> [sound:4c-s-彼は東京で育ちました。.mp3]
The zoo is breeding rare animals.	<b>彼は東京で育ちました。</b> <br> どうぶつえんではめずらしいどうぶつのしいくがおこなわれています。 <br><br> (育ち) <br> [sound:4c-s-彼は東京で育ちました。.mp3]
[sound:4c-k-飼育.mp3]	<b>飼育</b> <br> しいく <br> breeding, raising, rearing
飼育	<b>しいく</b> <br> breeding, raising, rearing <br> [sound:4c-k-飼育.mp3]
breeding, raising, rearing	<b>飼育</b> <br> しいく <br> [sound:4c-k-飼育.mp3]
[sound:4c-s-動物園では珍しい動物の飼育が行われています。.mp3]	<b>動物園では珍しい動物の飼育が行われています。</b> <br> かいぎにはぜんいんがしゅっせきしました。 <br><br> (飼育) <br> Everyone attended the meeting.
動物園では珍しい動物の飼育が行われています。 <br><br> (飼育)	<b>かいぎにはぜんいんがしゅっせきしました。</b> <br> Everyone attended the meeting. <br> [sound:4c-s-動物園では珍しい動物の飼育が行われています。.mp3]
Everyone attended the meeting.	<b>動物園では珍しい動物の飼育が行われています。</b> <br> かいぎにはぜんいんがしゅっせきしました。 <br><br> (飼育) <br> [sound:4c-s-動物園では珍しい動物の飼育が行われています。.mp3]
[sound:4c-k-出席.mp3]	<b>出席</b> <br> しゅっせき <br> attendance, presence, appearance; to attend, to be present, to appear
出席	<b>しゅっせき</b> <br> attendance, presence, appearance; to attend, to be present, to appear <br> [sound:4c-k-出席.mp3]
attendance, presence, appearance; to attend, to be present, to appear	<b>出席</b> <br> しゅっせき <br> [sound:4c-k-出席.mp3]
[sound:4c-s-会議には全員が出席しました。.mp3]	<b>会議には全員が出席しました。</b> <br> かれはいちだせきにおいてほーむらんをうちました。 <br><br> (出席) <br> He hit a home run in one at-bat.
会議には全員が出席しました。 <br><br> (出席)	<b>かれはいちだせきにおいてほーむらんをうちました。</b> <br> He hit a home run in one at-bat. <br> [sound:4c-s-会議には全員が出席しました。.mp3]
He hit a home run in one at-bat.	<b>会議には全員が出席しました。</b> <br> かれはいちだせきにおいてほーむらんをうちました。 <br><br> (出席) <br> [sound:4c-s-会議には全員が出席しました。.mp3]
[sound:4c-k-打席.mp3]	<b>打席</b> <br> だせき <br> batter's box (baseball), one's turn at bat
打席	<b>だせき</b> <br> batter's box (baseball), one's turn at bat <br> [sound:4c-k-打席.mp3]
batter's box (baseball), one's turn at bat	<b>打席</b> <br> だせき <br> [sound:4c-k-打席.mp3]
[sound:4c-s-彼は一打席においてホームランを打ちました。.mp3]	<b>彼は一打席においてホームランを打ちました。</b> <br> せきじょうですぴーちがおこなわれました。 <br><br> (打席) <br> A speech was made at the venue.
彼は一打席においてホームランを打ちました。 <br><br> (打席)	<b>せきじょうですぴーちがおこなわれました。</b> <br> A speech was made at the venue. <br> [sound:4c-s-彼は一打席においてホームランを打ちました。.mp3]
A speech was made at the venue.	<b>彼は一打席においてホームランを打ちました。</b> <br> せきじょうですぴーちがおこなわれました。 <br><br> (打席) <br> [sound:4c-s-彼は一打席においてホームランを打ちました。.mp3]
[sound:4c-k-席上.mp3]	<b>席上</b> <br> せきじょう <br> at the meeting
席上	<b>せきじょう</b> <br> at the meeting <br> [sound:4c-k-席上.mp3]
at the meeting	<b>席上</b> <br> せきじょう <br> [sound:4c-k-席上.mp3]
[sound:4c-s-席上でスピーチが行われました。.mp3]	<b>席上でスピーチが行われました。</b> <br> かいぎにどうせきさせていただきます。 <br><br> (席上) <br> I will attend the meeting with you.
席上でスピーチが行われました。 <br><br> (席上)	<b>かいぎにどうせきさせていただきます。</b> <br> I will attend the meeting with you. <br> [sound:4c-s-席上でスピーチが行われました。.mp3]
I will attend the meeting with you.	<b>席上でスピーチが行われました。</b> <br> かいぎにどうせきさせていただきます。 <br><br> (席上) <br> [sound:4c-s-席上でスピーチが行われました。.mp3]
[sound:4c-k-同席.mp3]	<b>同席</b> <br> どうせき <br> presence, sitting with, being with
同席	<b>どうせき</b> <br> presence, sitting with, being with <br> [sound:4c-k-同席.mp3]
presence, sitting with, being with	<b>同席</b> <br> どうせき <br> [sound:4c-k-同席.mp3]
[sound:4c-s-会議に同席させていただきます。.mp3]	<b>会議に同席させていただきます。</b> <br> うんゆぎょうかいはけいざいのきばんです。 <br><br> (同席) <br> The transportation industry is the backbone of the economy.
会議に同席させていただきます。 <br><br> (同席)	<b>うんゆぎょうかいはけいざいのきばんです。</b> <br> The transportation industry is the backbone of the economy. <br> [sound:4c-s-会議に同席させていただきます。.mp3]
The transportation industry is the backbone of the economy.	<b>会議に同席させていただきます。</b> <br> うんゆぎょうかいはけいざいのきばんです。 <br><br> (同席) <br> [sound:4c-s-会議に同席させていただきます。.mp3]
[sound:4c-k-運輸.mp3]	<b>運輸</b> <br> うんゆ <br> transportation
運輸	<b>うんゆ</b> <br> transportation <br> [sound:4c-k-運輸.mp3]
transportation	<b>運輸</b> <br> うんゆ <br> [sound:4c-k-運輸.mp3]
[sound:4c-s-運輸業界は経済の基盤です。.mp3]	<b>運輸業界は経済の基盤です。</b> <br> うんゆしょうはこうつうせいさくをたんとうしています。 <br><br> (運輸) <br> The Ministry of Transport is responsible for transportation policies.
運輸業界は経済の基盤です。 <br><br> (運輸)	<b>うんゆしょうはこうつうせいさくをたんとうしています。</b> <br> The Ministry of Transport is responsible for transportation policies. <br> [sound:4c-s-運輸業界は経済の基盤です。.mp3]
The Ministry of Transport is responsible for transportation policies.	<b>運輸業界は経済の基盤です。</b> <br> うんゆしょうはこうつうせいさくをたんとうしています。 <br><br> (運輸) <br> [sound:4c-s-運輸業界は経済の基盤です。.mp3]
[sound:4c-k-運輸省.mp3]	<b>運輸省</b> <br> うんゆしょう <br> Ministry of Transport
運輸省	<b>うんゆしょう</b> <br> Ministry of Transport <br> [sound:4c-k-運輸省.mp3]
Ministry of Transport	<b>運輸省</b> <br> うんゆしょう <br> [sound:4c-k-運輸省.mp3]
[sound:4c-s-運輸省は交通政策を担当しています。.mp3]	<b>運輸省は交通政策を担当しています。</b> <br> きんゆそちがこくさいてきにかされました。 <br><br> (運輸省) <br> An embargo was imposed internationally.
運輸省は交通政策を担当しています。 <br><br> (運輸省)	<b>きんゆそちがこくさいてきにかされました。</b> <br> An embargo was imposed internationally. <br> [sound:4c-s-運輸省は交通政策を担当しています。.mp3]
An embargo was imposed internationally.	<b>運輸省は交通政策を担当しています。</b> <br> きんゆそちがこくさいてきにかされました。 <br><br> (運輸省) <br> [sound:4c-s-運輸省は交通政策を担当しています。.mp3]
[sound:4c-k-禁輸.mp3]	<b>禁輸</b> <br> きんゆ <br> embargo
禁輸	<b>きんゆ</b> <br> embargo <br> [sound:4c-k-禁輸.mp3]
embargo	<b>禁輸</b> <br> きんゆ <br> [sound:4c-k-禁輸.mp3]
[sound:4c-s-禁輸措置が国際的に課されました。.mp3]	<b>禁輸措置が国際的に課されました。</b> <br> みつゆはじゅうだいなはんざいです。 <br><br> (禁輸) <br> Smuggling is a serious crime.
禁輸措置が国際的に課されました。 <br><br> (禁輸)	<b>みつゆはじゅうだいなはんざいです。</b> <br> Smuggling is a serious crime. <br> [sound:4c-s-禁輸措置が国際的に課されました。.mp3]
Smuggling is a serious crime.	<b>禁輸措置が国際的に課されました。</b> <br> みつゆはじゅうだいなはんざいです。 <br><br> (禁輸) <br> [sound:4c-s-禁輸措置が国際的に課されました。.mp3]
[sound:4c-k-密輸.mp3]	<b>密輸</b> <br> みつゆ <br> smuggling, contraband trade
密輸	<b>みつゆ</b> <br> smuggling, contraband trade <br> [sound:4c-k-密輸.mp3]
smuggling, contraband trade	<b>密輸</b> <br> みつゆ <br> [sound:4c-k-密輸.mp3]
[sound:4c-s-密輸は重大な犯罪です。.mp3]	<b>密輸は重大な犯罪です。</b> <br> かれはさくねんほうちゅうし、じゅうようなかいだんをおこいました。 <br><br> (密輸) <br> He visited China last year and held important talks.
密輸は重大な犯罪です。 <br><br> (密輸)	<b>かれはさくねんほうちゅうし、じゅうようなかいだんをおこいました。</b> <br> He visited China last year and held important talks. <br> [sound:4c-s-密輸は重大な犯罪です。.mp3]
He visited China last year and held important talks.	<b>密輸は重大な犯罪です。</b> <br> かれはさくねんほうちゅうし、じゅうようなかいだんをおこいました。 <br><br> (密輸) <br> [sound:4c-s-密輸は重大な犯罪です。.mp3]
[sound:4c-k-訪中.mp3]	<b>訪中</b> <br> ほうちゅう <br> visit to China
訪中	<b>ほうちゅう</b> <br> visit to China <br> [sound:4c-k-訪中.mp3]
visit to China	<b>訪中</b> <br> ほうちゅう <br> [sound:4c-k-訪中.mp3]
[sound:4c-s-彼は昨年訪中し、重要な会談を行いました。.mp3]	<b>彼は昨年訪中し、重要な会談を行いました。</b> <br> だいとうりょうはほうべいちゅうにじゅうようなえんぜつをおこいました。 <br><br> (訪中) <br> The president gave an important speech during his visit to the U.S.
彼は昨年訪中し、重要な会談を行いました。 <br><br> (訪中)	<b>だいとうりょうはほうべいちゅうにじゅうようなえんぜつをおこいました。</b> <br> The president gave an important speech during his visit to the U.S. <br> [sound:4c-s-彼は昨年訪中し、重要な会談を行いました。.mp3]
The president gave an important speech during his visit to the U.S.	<b>彼は昨年訪中し、重要な会談を行いました。</b> <br> だいとうりょうはほうべいちゅうにじゅうようなえんぜつをおこいました。 <br><br> (訪中) <br> [sound:4c-s-彼は昨年訪中し、重要な会談を行いました。.mp3]
[sound:4c-k-訪米.mp3]	<b>訪米</b> <br> ほうべい <br> visit to America
訪米	<b>ほうべい</b> <br> visit to America <br> [sound:4c-k-訪米.mp3]
visit to America	<b>訪米</b> <br> ほうべい <br> [sound:4c-k-訪米.mp3]
[sound:4c-s-大統領は訪米中に重要な演説を行いました。.mp3]	<b>大統領は訪米中に重要な演説を行いました。</b> <br> かれはれきほうちゅうにおおくのくにをおとずれました。 <br><br> (訪米) <br> He visited many countries during his world tour.
大統領は訪米中に重要な演説を行いました。 <br><br> (訪米)	<b>かれはれきほうちゅうにおおくのくにをおとずれました。</b> <br> He visited many countries during his world tour. <br> [sound:4c-s-大統領は訪米中に重要な演説を行いました。.mp3]
He visited many countries during his world tour.	<b>大統領は訪米中に重要な演説を行いました。</b> <br> かれはれきほうちゅうにおおくのくにをおとずれました。 <br><br> (訪米) <br> [sound:4c-s-大統領は訪米中に重要な演説を行いました。.mp3]
[sound:4c-k-歴訪.mp3]	<b>歴訪</b> <br> れきほう <br> round of calls, tour of visitation
歴訪	<b>れきほう</b> <br> round of calls, tour of visitation <br> [sound:4c-k-歴訪.mp3]
round of calls, tour of visitation	<b>歴訪</b> <br> れきほう <br> [sound:4c-k-歴訪.mp3]
[sound:4c-s-彼は歴訪中に多くの国を訪れました。.mp3]	<b>彼は歴訪中に多くの国を訪れました。</b> <br> はるのおとずれをかんじます。 <br><br> (歴訪) <br> I feel the arrival of spring.
彼は歴訪中に多くの国を訪れました。 <br><br> (歴訪)	<b>はるのおとずれをかんじます。</b> <br> I feel the arrival of spring. <br> [sound:4c-s-彼は歴訪中に多くの国を訪れました。.mp3]
I feel the arrival of spring.	<b>彼は歴訪中に多くの国を訪れました。</b> <br> はるのおとずれをかんじます。 <br><br> (歴訪) <br> [sound:4c-s-彼は歴訪中に多くの国を訪れました。.mp3]
[sound:4c-k-訪れ.mp3]	<b>訪れ</b> <br> おとずれ <br> visit, call, advent, arrival
訪れ	<b>おとずれ</b> <br> visit, call, advent, arrival <br> [sound:4c-k-訪れ.mp3]
visit, call, advent, arrival	<b>訪れ</b> <br> おとずれ <br> [sound:4c-k-訪れ.mp3]
[sound:4c-s-春の訪れを感じます。.mp3]	<b>春の訪れを感じます。</b> <br> かれはおおくのがっきをえんそうできます。 <br><br> (訪れ) <br> He can play many musical instruments.
春の訪れを感じます。 <br><br> (訪れ)	<b>かれはおおくのがっきをえんそうできます。</b> <br> He can play many musical instruments. <br> [sound:4c-s-春の訪れを感じます。.mp3]
He can play many musical instruments.	<b>春の訪れを感じます。</b> <br> かれはおおくのがっきをえんそうできます。 <br><br> (訪れ) <br> [sound:4c-s-春の訪れを感じます。.mp3]
[sound:4c-k-楽器.mp3]	<b>楽器</b> <br> がっき <br> musical instrument
楽器	<b>がっき</b> <br> musical instrument <br> [sound:4c-k-楽器.mp3]
musical instrument	<b>楽器</b> <br> がっき <br> [sound:4c-k-楽器.mp3]
[sound:4c-s-彼は多くの楽器を演奏できます。.mp3]	<b>彼は多くの楽器を演奏できます。</b> <br> おんがくくらぶはまいしゅうれんしゅうしています。 <br><br> (楽器) <br> The music club practices every week.
彼は多くの楽器を演奏できます。 <br><br> (楽器)	<b>おんがくくらぶはまいしゅうれんしゅうしています。</b> <br> The music club practices every week. <br> [sound:4c-s-彼は多くの楽器を演奏できます。.mp3]
The music club practices every week.	<b>彼は多くの楽器を演奏できます。</b> <br> おんがくくらぶはまいしゅうれんしゅうしています。 <br><br> (楽器) <br> [sound:4c-s-彼は多くの楽器を演奏できます。.mp3]
[sound:4c-k-倶楽部.mp3]	<b>倶楽部</b> <br> くらぶ, クラブ <br> club, fraternity, sorority, clubhouse
倶楽部	<b>くらぶ, クラブ</b> <br> club, fraternity, sorority, clubhouse <br> [sound:4c-k-倶楽部.mp3]
club, fraternity, sorority, clubhouse	<b>倶楽部</b> <br> くらぶ, クラブ <br> [sound:4c-k-倶楽部.mp3]
[sound:4c-s-音楽倶楽部は毎週練習しています。.mp3]	<b>音楽倶楽部は毎週練習しています。</b> <br> えいがはひとびとのごらくのひとつです。 <br><br> (倶楽部) <br> Movies are one of people's forms of entertainment.
音楽倶楽部は毎週練習しています。 <br><br> (倶楽部)	<b>えいがはひとびとのごらくのひとつです。</b> <br> Movies are one of people's forms of entertainment. <br> [sound:4c-s-音楽倶楽部は毎週練習しています。.mp3]
