この都市は活気があります。 <br><br> (都市)	<b>このとしはかっきがあります。</b> <br> This city is vibrant. <br> [sound:4c-s-この都市は活気があります。.mp3]
不明	<b>ふめい</b> <br> unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified <br> [sound:4c-k-不明.mp3]
unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified	<b>不明</b> <br> ふめい <br> [sound:4c-k-不明.mp3]
[sound:4c-s-原因はまだ不明です。.mp3]	<b>原因はまだ不明です。</b> <br> げんいんはまだふめいです。 <br><br> (不明) <br> The cause is still unknown.
原因はまだ不明です。 <br><br> (不明)	<b>げんいんはまだふめいです。</b> <br> The cause is still unknown. <br> [sound:4c-s-原因はまだ不明です。.mp3]
The cause is still unknown.	<b>原因はまだ不明です。</b> <br> げんいんはまだふめいです。 <br><br> (不明) <br> [sound:4c-s-原因はまだ不明です。.mp3]
[sound:4c-k-実.mp3]	<b>実</b> <br> じつ, じち <br> truth, reality; sincerity, honesty, fidelity; content, substance; (good) result
実	<b>じつ, じち</b> <br> truth, reality; sincerity, honesty, fidelity; content, substance; (good) result <br> [sound:4c-k-実.mp3]
truth, reality; sincerity, honesty, fidelity; content, substance; (good) result	<b>実</b> <br> じつ, じち <br> [sound:4c-k-実.mp3]
[sound:4c-s-彼は実力のある選手です。.mp3]	<b>彼は実力のある選手です。</b> <br> かれはじつりょくのあるせんしゅです。 <br><br> (実) <br> He is a skilled athlete.
彼は実力のある選手です。 <br><br> (実)	<b>かれはじつりょくのあるせんしゅです。</b> <br> He is a skilled athlete. <br> [sound:4c-s-彼は実力のある選手です。.mp3]
He is a skilled athlete.	<b>彼は実力のある選手です。</b> <br> かれはじつりょくのあるせんしゅです。 <br><br> (実) <br> [sound:4c-s-彼は実力のある選手です。.mp3]
[sound:4c-k-実は.mp3]	<b>実は</b> <br> じつは <br> as a matter of fact, by the way, to tell you the truth, to be honest, frankly
実は	<b>じつは</b> <br> as a matter of fact, by the way, to tell you the truth, to be honest, frankly <br> [sound:4c-k-実は.mp3]
as a matter of fact, by the way, to tell you the truth, to be honest, frankly	<b>実は</b> <br> じつは <br> [sound:4c-k-実は.mp3]
[sound:4c-s-実は彼に会ったことがあります。.mp3]	<b>実は彼に会ったことがあります。</b> <br> じつはかれにあったことがあります。 <br><br> (実は) <br> Actually, I have met him before.
実は彼に会ったことがあります。 <br><br> (実は)	<b>じつはかれにあったことがあります。</b> <br> Actually, I have met him before. <br> [sound:4c-s-実は彼に会ったことがあります。.mp3]
Actually, I have met him before.	<b>実は彼に会ったことがあります。</b> <br> じつはかれにあったことがあります。 <br><br> (実は) <br> [sound:4c-s-実は彼に会ったことがあります。.mp3]
[sound:4c-k-実に.mp3]	<b>実に</b> <br> じつに, まことに, げに, しんに <br> indeed, really, absolutely, truly, actually, very, quite
実に	<b>じつに, まことに, げに, しんに</b> <br> indeed, really, absolutely, truly, actually, very, quite <br> [sound:4c-k-実に.mp3]
indeed, really, absolutely, truly, actually, very, quite	<b>実に</b> <br> じつに, まことに, げに, しんに <br> [sound:4c-k-実に.mp3]
[sound:4c-s-実に素晴らしい結果でした。.mp3]	<b>実に素晴らしい結果でした。</b> <br> じつにすばらしいけっかでした。 <br><br> (実に) <br> It was truly a wonderful result.
実に素晴らしい結果でした。 <br><br> (実に)	<b>じつにすばらしいけっかでした。</b> <br> It was truly a wonderful result. <br> [sound:4c-s-実に素晴らしい結果でした。.mp3]
It was truly a wonderful result.	<b>実に素晴らしい結果でした。</b> <br> じつにすばらしいけっかでした。 <br><br> (実に) <br> [sound:4c-s-実に素晴らしい結果でした。.mp3]
[sound:4c-k-現実.mp3]	<b>現実</b> <br> げんじつ <br> reality
現実	<b>げんじつ</b> <br> reality <br> [sound:4c-k-現実.mp3]
reality	<b>現実</b> <br> げんじつ <br> [sound:4c-k-現実.mp3]
[sound:4c-s-現実は厳しいことが多いです。.mp3]	<b>現実は厳しいことが多いです。</b> <br> げんじつはきびしいことがおおいです。 <br><br> (現実) <br> Reality is often harsh.
現実は厳しいことが多いです。 <br><br> (現実)	<b>げんじつはきびしいことがおおいです。</b> <br> Reality is often harsh. <br> [sound:4c-s-現実は厳しいことが多いです。.mp3]
Reality is often harsh.	<b>現実は厳しいことが多いです。</b> <br> げんじつはきびしいことがおおいです。 <br><br> (現実) <br> [sound:4c-s-現実は厳しいことが多いです。.mp3]
[sound:4c-k-円.mp3]	<b>円</b> <br> えん, まる <br> Yen, money; circle
円	<b>えん, まる</b> <br> Yen, money; circle <br> [sound:4c-k-円.mp3]
Yen, money; circle	<b>円</b> <br> えん, まる <br> [sound:4c-k-円.mp3]
[sound:4c-s-円の形を描いてください。.mp3]	<b>円の形を描いてください。</b> <br> えんのかたちをかいてください。 <br><br> (円) <br> Please draw a circular shape.
円の形を描いてください。 <br><br> (円)	<b>えんのかたちをかいてください。</b> <br> Please draw a circular shape. <br> [sound:4c-s-円の形を描いてください。.mp3]
Please draw a circular shape.	<b>円の形を描いてください。</b> <br> えんのかたちをかいてください。 <br><br> (円) <br> [sound:4c-s-円の形を描いてください。.mp3]
[sound:4c-k-円高.mp3]	<b>円高</b> <br> えんだか <br> high-valued yen, exchange in favor (favour) of the yen
円高	<b>えんだか</b> <br> high-valued yen, exchange in favor (favour) of the yen <br> [sound:4c-k-円高.mp3]
high-valued yen, exchange in favor (favour) of the yen	<b>円高</b> <br> えんだか <br> [sound:4c-k-円高.mp3]
[sound:4c-s-最近、円高が進んでいます。.mp3]	<b>最近、円高が進んでいます。</b> <br> さいきん、えんだかがすすんでいます。 <br><br> (円高) <br> Recently, the yen has been appreciating.
最近、円高が進んでいます。 <br><br> (円高)	<b>さいきん、えんだかがすすんでいます。</b> <br> Recently, the yen has been appreciating. <br> [sound:4c-s-最近、円高が進んでいます。.mp3]
Recently, the yen has been appreciating.	<b>最近、円高が進んでいます。</b> <br> さいきん、えんだかがすすんでいます。 <br><br> (円高) <br> [sound:4c-s-最近、円高が進んでいます。.mp3]
[sound:4c-k-円安.mp3]	<b>円安</b> <br> えんやす <br> cheap yen
円安	<b>えんやす</b> <br> cheap yen <br> [sound:4c-k-円安.mp3]
cheap yen	<b>円安</b> <br> えんやす <br> [sound:4c-k-円安.mp3]
[sound:4c-s-円安の影響で輸入品が高くなっています。.mp3]	<b>円安の影響で輸入品が高くなっています。</b> <br> えんやすのえいきょうでゆにゅうひんがたかくなっています。 <br><br> (円安) <br> Due to the depreciation of the yen, imported goods are becoming more expensive.
円安の影響で輸入品が高くなっています。 <br><br> (円安)	<b>えんやすのえいきょうでゆにゅうひんがたかくなっています。</b> <br> Due to the depreciation of the yen, imported goods are becoming more expensive. <br> [sound:4c-s-円安の影響で輸入品が高くなっています。.mp3]
Due to the depreciation of the yen, imported goods are becoming more expensive.	<b>円安の影響で輸入品が高くなっています。</b> <br> えんやすのえいきょうでゆにゅうひんがたかくなっています。 <br><br> (円安) <br> [sound:4c-s-円安の影響で輸入品が高くなっています。.mp3]
[sound:4c-k-円相場.mp3]	<b>円相場</b> <br> えんそうば <br> yen exchange rate
円相場	<b>えんそうば</b> <br> yen exchange rate <br> [sound:4c-k-円相場.mp3]
yen exchange rate	<b>円相場</b> <br> えんそうば <br> [sound:4c-k-円相場.mp3]
[sound:4c-s-円相場が急に変動しました。.mp3]	<b>円相場が急に変動しました。</b> <br> えんそうばがきゅうにへんどうしました。 <br><br> (円相場) <br> The yen exchange rate fluctuated suddenly.
円相場が急に変動しました。 <br><br> (円相場)	<b>えんそうばがきゅうにへんどうしました。</b> <br> The yen exchange rate fluctuated suddenly. <br> [sound:4c-s-円相場が急に変動しました。.mp3]
The yen exchange rate fluctuated suddenly.	<b>円相場が急に変動しました。</b> <br> えんそうばがきゅうにへんどうしました。 <br><br> (円相場) <br> [sound:4c-s-円相場が急に変動しました。.mp3]
[sound:4c-k-関.mp3]	<b>関</b> <br> せき <br> barrier, gate
関	<b>せき</b> <br> barrier, gate <br> [sound:4c-k-関.mp3]
barrier, gate	<b>関</b> <br> せき <br> [sound:4c-k-関.mp3]
[sound:4c-s-この問題は国際関係に関わっています。.mp3]	<b>この問題は国際関係に関わっています。</b> <br> このもんだいはこくさいかんけいにかかわっています。 <br><br> (関) <br> This issue is related to international relations.
この問題は国際関係に関わっています。 <br><br> (関)	<b>このもんだいはこくさいかんけいにかかわっています。</b> <br> This issue is related to international relations. <br> [sound:4c-s-この問題は国際関係に関わっています。.mp3]
This issue is related to international relations.	<b>この問題は国際関係に関わっています。</b> <br> このもんだいはこくさいかんけいにかかわっています。 <br><br> (関) <br> [sound:4c-s-この問題は国際関係に関わっています。.mp3]
[sound:4c-k-関係.mp3]	<b>関係</b> <br> かんけい <br> relation, connection
関係	<b>かんけい</b> <br> relation, connection <br> [sound:4c-k-関係.mp3]
relation, connection	<b>関係</b> <br> かんけい <br> [sound:4c-k-関係.mp3]
[sound:4c-s-日米関係は良好です。.mp3]	<b>日米関係は良好です。</b> <br> にちべいかんけいはりょうこうです。 <br><br> (関係) <br> Japan-U.S. relations are good.
日米関係は良好です。 <br><br> (関係)	<b>にちべいかんけいはりょうこうです。</b> <br> Japan-U.S. relations are good. <br> [sound:4c-s-日米関係は良好です。.mp3]
Japan-U.S. relations are good.	<b>日米関係は良好です。</b> <br> にちべいかんけいはりょうこうです。 <br><br> (関係) <br> [sound:4c-s-日米関係は良好です。.mp3]
[sound:4c-k-関係者.mp3]	<b>関係者</b> <br> かんけいしゃ <br> authorized people, authorised people, person(s) concerned
関係者	<b>かんけいしゃ</b> <br> authorized people, authorised people, person(s) concerned <br> [sound:4c-k-関係者.mp3]
authorized people, authorised people, person(s) concerned	<b>関係者</b> <br> かんけいしゃ <br> [sound:4c-k-関係者.mp3]
[sound:4c-s-関係者が会議に出席しました。.mp3]	<b>関係者が会議に出席しました。</b> <br> かんけいしゃがかいぎにしゅっせきしました。 <br><br> (関係者) <br> Stakeholders attended the meeting.
関係者が会議に出席しました。 <br><br> (関係者)	<b>かんけいしゃがかいぎにしゅっせきしました。</b> <br> Stakeholders attended the meeting. <br> [sound:4c-s-関係者が会議に出席しました。.mp3]
Stakeholders attended the meeting.	<b>関係者が会議に出席しました。</b> <br> かんけいしゃがかいぎにしゅっせきしました。 <br><br> (関係者) <br> [sound:4c-s-関係者が会議に出席しました。.mp3]
[sound:4c-k-関心.mp3]	<b>関心</b> <br> かんしん <br> concern, interest
関心	<b>かんしん</b> <br> concern, interest <br> [sound:4c-k-関心.mp3]
concern, interest	<b>関心</b> <br> かんしん <br> [sound:4c-k-関心.mp3]
[sound:4c-s-環境問題への関心が高まっています。.mp3]	<b>環境問題への関心が高まっています。</b> <br> かんきょうもんだいへのかんしんがたかまっています。 <br><br> (関心) <br> Interest in environmental issues is increasing.
環境問題への関心が高まっています。 <br><br> (関心)	<b>かんきょうもんだいへのかんしんがたかまっています。</b> <br> Interest in environmental issues is increasing. <br> [sound:4c-s-環境問題への関心が高まっています。.mp3]
Interest in environmental issues is increasing.	<b>環境問題への関心が高まっています。</b> <br> かんきょうもんだいへのかんしんがたかまっています。 <br><br> (関心) <br> [sound:4c-s-環境問題への関心が高まっています。.mp3]
[sound:4c-k-決まって.mp3]	<b>決まって</b> <br> きまって <br> always, without fail, usually, regularly
決まって	<b>きまって</b> <br> always, without fail, usually, regularly <br> [sound:4c-k-決まって.mp3]
always, without fail, usually, regularly	<b>決まって</b> <br> きまって <br> [sound:4c-k-決まって.mp3]
[sound:4c-s-彼は決まって朝にランニングをします。.mp3]	<b>彼は決まって朝にランニングをします。</b> <br> かれはきまってあさにランニングをします。 <br><br> (決まって) <br> He always goes running in the morning.
彼は決まって朝にランニングをします。 <br><br> (決まって)	<b>かれはきまってあさにランニングをします。</b> <br> He always goes running in the morning. <br> [sound:4c-s-彼は決まって朝にランニングをします。.mp3]
He always goes running in the morning.	<b>彼は決まって朝にランニングをします。</b> <br> かれはきまってあさにランニングをします。 <br><br> (決まって) <br> [sound:4c-s-彼は決まって朝にランニングをします。.mp3]
[sound:4c-k-決して.mp3]	<b>決して</b> <br> けっして, けして <br> never, by no means, decidedly, indisputably
決して	<b>けっして, けして</b> <br> never, by no means, decidedly, indisputably <br> [sound:4c-k-決して.mp3]
never, by no means, decidedly, indisputably	<b>決して</b> <br> けっして, けして <br> [sound:4c-k-決して.mp3]
[sound:4c-s-決して諦めないでください。.mp3]	<b>決して諦めないでください。</b> <br> けっしてあきらめないでください。 <br><br> (決して) <br> Never give up.
決して諦めないでください。 <br><br> (決して)	<b>けっしてあきらめないでください。</b> <br> Never give up. <br> [sound:4c-s-決して諦めないでください。.mp3]
Never give up.	<b>決して諦めないでください。</b> <br> けっしてあきらめないでください。 <br><br> (決して) <br> [sound:4c-s-決して諦めないでください。.mp3]
[sound:4c-k-解決.mp3]	<b>解決</b> <br> かいけつ <br> settlement, solution, resolution
解決	<b>かいけつ</b> <br> settlement, solution, resolution <br> [sound:4c-k-解決.mp3]
settlement, solution, resolution	<b>解決</b> <br> かいけつ <br> [sound:4c-k-解決.mp3]
[sound:4c-s-問題を早く解決しましょう。.mp3]	<b>問題を早く解決しましょう。</b> <br> もんだいをはやくかいけつしましょう。 <br><br> (解決) <br> Let's solve the problem quickly.
問題を早く解決しましょう。 <br><br> (解決)	<b>もんだいをはやくかいけつしましょう。</b> <br> Let's solve the problem quickly. <br> [sound:4c-s-問題を早く解決しましょう。.mp3]
Let's solve the problem quickly.	<b>問題を早く解決しましょう。</b> <br> もんだいをはやくかいけつしましょう。 <br><br> (解決) <br> [sound:4c-s-問題を早く解決しましょう。.mp3]
[sound:4c-k-決議.mp3]	<b>決議</b> <br> けつぎ <br> resolution, vote, decision
決議	<b>けつぎ</b> <br> resolution, vote, decision <br> [sound:4c-k-決議.mp3]
resolution, vote, decision	<b>決議</b> <br> けつぎ <br> [sound:4c-k-決議.mp3]
[sound:4c-s-議会は新しい決議を採択しました。.mp3]	<b>議会は新しい決議を採択しました。</b> <br> ぎかいはあたらしいけつぎをさいたくしました。 <br><br> (決議) <br> The parliament adopted a new resolution.
議会は新しい決議を採択しました。 <br><br> (決議)	<b>ぎかいはあたらしいけつぎをさいたくしました。</b> <br> The parliament adopted a new resolution. <br> [sound:4c-s-議会は新しい決議を採択しました。.mp3]
The parliament adopted a new resolution.	<b>議会は新しい決議を採択しました。</b> <br> ぎかいはあたらしいけつぎをさいたくしました。 <br><br> (決議) <br> [sound:4c-s-議会は新しい決議を採択しました。.mp3]
[sound:4c-k-子.mp3]	<b>子</b> <br> こ <br> child; young (animal); young woman, young geisha; offshoot; interest; new shares; bird egg; (after a noun or -masu stem) -er (often of young women)
子	<b>こ</b> <br> child; young (animal); young woman, young geisha; offshoot; interest; new shares; bird egg; (after a noun or -masu stem) -er (often of young women) <br> [sound:4c-k-子.mp3]
child; young (animal); young woman, young geisha; offshoot; interest; new shares; bird egg; (after a noun or -masu stem) -er (often of young women)	<b>子</b> <br> こ <br> [sound:4c-k-子.mp3]
[sound:4c-s-この子はとても元気です。.mp3]	<b>この子はとても元気です。</b> <br> このこはとてもげんきです。 <br><br> (子) <br> This child is very energetic.
この子はとても元気です。 <br><br> (子)	<b>このこはとてもげんきです。</b> <br> This child is very energetic. <br> [sound:4c-s-この子はとても元気です。.mp3]
This child is very energetic.	<b>この子はとても元気です。</b> <br> このこはとてもげんきです。 <br><br> (子) <br> [sound:4c-s-この子はとても元気です。.mp3]
[sound:4c-k-子供.mp3]	<b>子供</b> <br> こども <br> child, children
子供	<b>こども</b> <br> child, children <br> [sound:4c-k-子供.mp3]
child, children	<b>子供</b> <br> こども <br> [sound:4c-k-子供.mp3]
[sound:4c-s-子供たちは公園で遊んでいます。.mp3]	<b>子供たちは公園で遊んでいます。</b> <br> こどもたちはこうえんであそんでいます。 <br><br> (子供) <br> Children are playing in the park.
子供たちは公園で遊んでいます。 <br><br> (子供)	<b>こどもたちはこうえんであそんでいます。</b> <br> Children are playing in the park. <br> [sound:4c-s-子供たちは公園で遊んでいます。.mp3]
Children are playing in the park.	<b>子供たちは公園で遊んでいます。</b> <br> こどもたちはこうえんであそんでいます。 <br><br> (子供) <br> [sound:4c-s-子供たちは公園で遊んでいます。.mp3]
[sound:4c-k-女子.mp3]	<b>女子</b> <br> じょし, おなご <br> woman, girl
女子	<b>じょし, おなご</b> <br> woman, girl <br> [sound:4c-k-女子.mp3]
woman, girl	<b>女子</b> <br> じょし, おなご <br> [sound:4c-k-女子.mp3]
[sound:4c-s-女子サッカーチームが試合に勝ちました。.mp3]	<b>女子サッカーチームが試合に勝ちました。</b> <br> じょしサッカーチームがしあいにかちました。 <br><br> (女子) <br> The women's soccer team won the match.
女子サッカーチームが試合に勝ちました。 <br><br> (女子)	<b>じょしサッカーチームがしあいにかちました。</b> <br> The women's soccer team won the match. <br> [sound:4c-s-女子サッカーチームが試合に勝ちました。.mp3]
The women's soccer team won the match.	<b>女子サッカーチームが試合に勝ちました。</b> <br> じょしサッカーチームがしあいにかちました。 <br><br> (女子) <br> [sound:4c-s-女子サッカーチームが試合に勝ちました。.mp3]
[sound:4c-k-男子.mp3]	<b>男子</b> <br> だんし <br> youth, young man
男子	<b>だんし</b> <br> youth, young man <br> [sound:4c-k-男子.mp3]
youth, young man	<b>男子</b> <br> だんし <br> [sound:4c-k-男子.mp3]
[sound:4c-s-男子バスケットボールの試合を観戦しました。.mp3]	<b>男子バスケットボールの試合を観戦しました。</b> <br> だんしバスケットボールのしあいをかんせんしました。 <br><br> (男子) <br> I watched the men's basketball game.
男子バスケットボールの試合を観戦しました。 <br><br> (男子)	<b>だんしバスケットボールのしあいをかんせんしました。</b> <br> I watched the men's basketball game. <br> [sound:4c-s-男子バスケットボールの試合を観戦しました。.mp3]
I watched the men's basketball game.	<b>男子バスケットボールの試合を観戦しました。</b> <br> だんしバスケットボールのしあいをかんせんしました。 <br><br> (男子) <br> [sound:4c-s-男子バスケットボールの試合を観戦しました。.mp3]
[sound:4c-k-動.mp3]	<b>動</b> <br> どう <br> motion, change, confusion
動	<b>どう</b> <br> motion, change, confusion <br> [sound:4c-k-動.mp3]
motion, change, confusion	<b>動</b> <br> どう <br> [sound:4c-k-動.mp3]
[sound:4c-s-彼は素早く動きます。.mp3]	<b>彼は素早く動きます。</b> <br> かれはすばやくうごきます。 <br><br> (動) <br> He moves quickly.
彼は素早く動きます。 <br><br> (動)	<b>かれはすばやくうごきます。</b> <br> He moves quickly. <br> [sound:4c-s-彼は素早く動きます。.mp3]
He moves quickly.	<b>彼は素早く動きます。</b> <br> かれはすばやくうごきます。 <br><br> (動) <br> [sound:4c-s-彼は素早く動きます。.mp3]
[sound:4c-k-動き.mp3]	<b>動き</b> <br> うごき <br> movement, activity, trend, development, change
動き	<b>うごき</b> <br> movement, activity, trend, development, change <br> [sound:4c-k-動き.mp3]
movement, activity, trend, development, change	<b>動き</b> <br> うごき <br> [sound:4c-k-動き.mp3]
[sound:4c-s-市場の動きが不安定です。.mp3]	<b>市場の動きが不安定です。</b> <br> しじょうのうごきがふあんていです。 <br><br> (動き) <br> The market movements are unstable.
市場の動きが不安定です。 <br><br> (動き)	<b>しじょうのうごきがふあんていです。</b> <br> The market movements are unstable. <br> [sound:4c-s-市場の動きが不安定です。.mp3]
The market movements are unstable.	<b>市場の動きが不安定です。</b> <br> しじょうのうごきがふあんていです。 <br><br> (動き) <br> [sound:4c-s-市場の動きが不安定です。.mp3]
[sound:4c-k-運動.mp3]	<b>運動</b> <br> うんどう <br> motion, exercise
運動	<b>うんどう</b> <br> motion, exercise <br> [sound:4c-k-運動.mp3]
motion, exercise	<b>運動</b> <br> うんどう <br> [sound:4c-k-運動.mp3]
[sound:4c-s-運動をすることは健康に良いです。.mp3]	<b>運動をすることは健康に良いです。</b> <br> うんどうをすることはけんこうによいです。 <br><br> (運動) <br> Exercising is good for health.
運動をすることは健康に良いです。 <br><br> (運動)	<b>うんどうをすることはけんこうによいです。</b> <br> Exercising is good for health. <br> [sound:4c-s-運動をすることは健康に良いです。.mp3]
Exercising is good for health.	<b>運動をすることは健康に良いです。</b> <br> うんどうをすることはけんこうによいです。 <br><br> (運動) <br> [sound:4c-s-運動をすることは健康に良いです。.mp3]
[sound:4c-k-活動.mp3]	<b>活動</b> <br> かつどう <br> action, activity
活動	<b>かつどう</b> <br> action, activity <br> [sound:4c-k-活動.mp3]
action, activity	<b>活動</b> <br> かつどう <br> [sound:4c-k-活動.mp3]
[sound:4c-s-ボランティア活動に参加しました。.mp3]	<b>ボランティア活動に参加しました。</b> <br> ボランティアかつどうにさんかしました。 <br><br> (活動) <br> I participated in volunteer activities.
ボランティア活動に参加しました。 <br><br> (活動)	<b>ボランティアかつどうにさんかしました。</b> <br> I participated in volunteer activities. <br> [sound:4c-s-ボランティア活動に参加しました。.mp3]
I participated in volunteer activities.	<b>ボランティア活動に参加しました。</b> <br> ボランティアかつどうにさんかしました。 <br><br> (活動) <br> [sound:4c-s-ボランティア活動に参加しました。.mp3]
[sound:4c-k-京.mp3]	<b>京</b> <br> きょう, けい <br> imperial capital (esp. Kyoto); final word of an iroha-uta; 10^16, 10,000,000,000,000,000, ten quadrillion (American), (obs) ten thousand billion (British)
京	<b>きょう, けい</b> <br> imperial capital (esp. Kyoto); final word of an iroha-uta; 10^16, 10,000,000,000,000,000, ten quadrillion (American), (obs) ten thousand billion (British) <br> [sound:4c-k-京.mp3]
imperial capital (esp. Kyoto); final word of an iroha-uta; 10^16, 10,000,000,000,000,000, ten quadrillion (American), (obs) ten thousand billion (British)	<b>京</b> <br> きょう, けい <br> [sound:4c-k-京.mp3]
[sound:4c-s-京都は美しい都市です。.mp3]	<b>京都は美しい都市です。</b> <br> きょうとはうつくしいとしです。 <br><br> (京) <br> Kyoto is a beautiful city.
京都は美しい都市です。 <br><br> (京)	<b>きょうとはうつくしいとしです。</b> <br> Kyoto is a beautiful city. <br> [sound:4c-s-京都は美しい都市です。.mp3]
Kyoto is a beautiful city.	<b>京都は美しい都市です。</b> <br> きょうとはうつくしいとしです。 <br><br> (京) <br> [sound:4c-s-京都は美しい都市です。.mp3]
[sound:4c-k-東京.mp3]	<b>東京</b> <br> とうきょう <br> Tokyo (current capital of Japan)
東京	<b>とうきょう</b> <br> Tokyo (current capital of Japan) <br> [sound:4c-k-東京.mp3]
Tokyo (current capital of Japan)	<b>東京</b> <br> とうきょう <br> [sound:4c-k-東京.mp3]
[sound:4c-s-東京は日本の首都です。.mp3]	<b>東京は日本の首都です。</b> <br> とうきょうはにほんのしゅとです。 <br><br> (東京) <br> Tokyo is the capital of Japan.
東京は日本の首都です。 <br><br> (東京)	<b>とうきょうはにほんのしゅとです。</b> <br> Tokyo is the capital of Japan. <br> [sound:4c-s-東京は日本の首都です。.mp3]
Tokyo is the capital of Japan.	<b>東京は日本の首都です。</b> <br> とうきょうはにほんのしゅとです。 <br><br> (東京) <br> [sound:4c-s-東京は日本の首都です。.mp3]
[sound:4c-k-北京.mp3]	<b>北京</b> <br> ぺきん <br> Beijing (China), Peking
北京	<b>ぺきん</b> <br> Beijing (China), Peking <br> [sound:4c-k-北京.mp3]
Beijing (China), Peking	<b>北京</b> <br> ぺきん <br> [sound:4c-k-北京.mp3]
[sound:4c-s-北京で国際会議が開催されました。.mp3]	<b>北京で国際会議が開催されました。</b> <br> ぺきんでこくさいかいぎがかいさいされました。 <br><br> (北京) <br> An international conference was held in Beijing.
北京で国際会議が開催されました。 <br><br> (北京)	<b>ぺきんでこくさいかいぎがかいさいされました。</b> <br> An international conference was held in Beijing. <br> [sound:4c-s-北京で国際会議が開催されました。.mp3]
An international conference was held in Beijing.	<b>北京で国際会議が開催されました。</b> <br> ぺきんでこくさいかいぎがかいさいされました。 <br><br> (北京) <br> [sound:4c-s-北京で国際会議が開催されました。.mp3]
[sound:4c-k-京都.mp3]	<b>京都</b> <br> きょうと <br> Kyoto
京都	<b>きょうと</b> <br> Kyoto <br> [sound:4c-k-京都.mp3]
Kyoto	<b>京都</b> <br> きょうと <br> [sound:4c-k-京都.mp3]
[sound:4c-s-京都には歴史的な寺院があります。.mp3]	<b>京都には歴史的な寺院があります。</b> <br> きょうとにはれきしてきなじいんがあります。 <br><br> (京都) <br> Kyoto has historical temples.
京都には歴史的な寺院があります。 <br><br> (京都)	<b>きょうとにはれきしてきなじいんがあります。</b> <br> Kyoto has historical temples. <br> [sound:4c-s-京都には歴史的な寺院があります。.mp3]
Kyoto has historical temples.	<b>京都には歴史的な寺院があります。</b> <br> きょうとにはれきしてきなじいんがあります。 <br><br> (京都) <br> [sound:4c-s-京都には歴史的な寺院があります。.mp3]
[sound:4c-k-安全.mp3]	<b>安全</b> <br> あんぜん <br> safety; security
安全	<b>あんぜん</b> <br> safety; security <br> [sound:4c-k-安全.mp3]
safety; security	<b>安全</b> <br> あんぜん <br> [sound:4c-k-安全.mp3]
[sound:4c-s-この施設は安全に管理されています。.mp3]	<b>この施設は安全に管理されています。</b> <br> このしせつはあんぜんにかんりされています。 <br><br> (安全) <br> This facility is managed safely.
この施設は安全に管理されています。 <br><br> (安全)	<b>このしせつはあんぜんにかんりされています。</b> <br> This facility is managed safely. <br> [sound:4c-s-この施設は安全に管理されています。.mp3]
This facility is managed safely.	<b>この施設は安全に管理されています。</b> <br> このしせつはあんぜんにかんりされています。 <br><br> (安全) <br> [sound:4c-s-この施設は安全に管理されています。.mp3]
[sound:4c-k-全体.mp3]	<b>全体</b> <br> ぜんたい <br> whole, entirety, whatever (is the matter)
全体	<b>ぜんたい</b> <br> whole, entirety, whatever (is the matter) <br> [sound:4c-k-全体.mp3]
whole, entirety, whatever (is the matter)	<b>全体</b> <br> ぜんたい <br> [sound:4c-k-全体.mp3]
[sound:4c-s-プロジェクトの全体像を説明しました。.mp3]	<b>プロジェクトの全体像を説明しました。</b> <br> プロジェクトのぜんたいぞうをせつめいしました。 <br><br> (全体) <br> I explained the overall picture of the project.
プロジェクトの全体像を説明しました。 <br><br> (全体)	<b>プロジェクトのぜんたいぞうをせつめいしました。</b> <br> I explained the overall picture of the project. <br> [sound:4c-s-プロジェクトの全体像を説明しました。.mp3]
I explained the overall picture of the project.	<b>プロジェクトの全体像を説明しました。</b> <br> プロジェクトのぜんたいぞうをせつめいしました。 <br><br> (全体) <br> [sound:4c-s-プロジェクトの全体像を説明しました。.mp3]
[sound:4c-k-全国.mp3]	<b>全国</b> <br> ぜんこく, ぜんごく <br> country-wide, nation-wide, whole country, national
全国	<b>ぜんこく, ぜんごく</b> <br> country-wide, nation-wide, whole country, national <br> [sound:4c-k-全国.mp3]
country-wide, nation-wide, whole country, national	<b>全国</b> <br> ぜんこく, ぜんごく <br> [sound:4c-k-全国.mp3]
[sound:4c-s-全国でこの映画が上映されています。.mp3]	<b>全国でこの映画が上映されています。</b> <br> ぜんこくでこのえいががじょうえいされています。 <br><br> (全国) <br> This movie is being shown nationwide.
全国でこの映画が上映されています。 <br><br> (全国)	<b>ぜんこくでこのえいががじょうえいされています。</b> <br> This movie is being shown nationwide. <br> [sound:4c-s-全国でこの映画が上映されています。.mp3]
This movie is being shown nationwide.	<b>全国でこの映画が上映されています。</b> <br> ぜんこくでこのえいががじょうえいされています。 <br><br> (全国) <br> [sound:4c-s-全国でこの映画が上映されています。.mp3]
[sound:4c-k-安全保障.mp3]	<b>安全保障</b> <br> あんぜんほしょう <br> security guarantee (e.g. military security, network security, etc.)
安全保障	<b>あんぜんほしょう</b> <br> security guarantee (e.g. military security, network security, etc.) <br> [sound:4c-k-安全保障.mp3]
security guarantee (e.g. military security, network security, etc.)	<b>安全保障</b> <br> あんぜんほしょう <br> [sound:4c-k-安全保障.mp3]
