[sound:k-2254_昨春.mp3]	last spring, the spring of last year<br> <b>昨春</b> <br> (さくしゅん)
朝鮮	[sound:k-2472_朝鮮.mp3]<br>ちょうせん <br> Korea
Korea	<b>朝鮮<b> <br> ちょうせん <br>[sound:k-2472_朝鮮.mp3]
[sound:k-2472_朝鮮.mp3]	Korea<br> <b>朝鮮</b> <br> (ちょうせん)
(<b>聞こえる</b>) その音は遠くから聞こえた。	[sound:s-2472_その音は遠くから聞こえた。.mp3] <br> そのおとはとおくからきこえた。 <br> The sound was heard from far away.
[sound:s-2462_各部署に予算が割り当てられる。.mp3]	(<b>割り当て</b>) 各部署に予算が割り当てられる。<br> かくぶしょによさんがわりあてられる。 <br>Budgets are allocated to each department.	
朝鮮民主主義人民共和国	[sound:k-2473_朝鮮民主主義人民共和国.mp3]<br>ちょうせんみんしゅしゅぎじんみんきょうわこく <br> Democratic People's Republic of Korea (North Korea), DPRK
Democratic People's Republic of Korea (North Korea), DPRK	<b>朝鮮民主主義人民共和国<b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこく <br>[sound:k-2473_朝鮮民主主義人民共和国.mp3]
[sound:k-2473_朝鮮民主主義人民共和国.mp3]	Democratic People's Republic of Korea<br> <b>North Korea), DPRK (朝鮮民主主義人民共和国</b> <br> (ちょうせんみんしゅしゅぎじんみんきょうわこく)
(<b>聞き取り</b>) 彼の言葉を聞き取るのが難しい。	[sound:s-2473_彼の言葉を聞き取るのが難しい。.mp3] <br> かれのことばをききとるのがむずかしい。 <br> It's difficult to understand his words.
[sound:s-2463_価格を割り出すために市場調査が行われた。.mp3]	(<b>割り出す</b>) 価格を割り出すために市場調査が行われた。<br> かかくをわりだすためにしじょうちょうさがおこなわれた。 <br>Market research was conducted to determine the price.	
朝鮮半島	[sound:k-2474_朝鮮半島.mp3]<br>ちょうせんはんとう <br> Korean peninsula
Korean peninsula	<b>朝鮮半島<b> <br> ちょうせんはんとう <br>[sound:k-2474_朝鮮半島.mp3]
[sound:k-2474_朝鮮半島.mp3]	Korean peninsula<br> <b>朝鮮半島</b> <br> (ちょうせんはんとう)
(<b>身</b>) 身に覚えのない行動があった。	[sound:s-2474_身に覚えのない行動があった。.mp3] <br> みにおぼえのないこうどうがあった。 <br> There was an action I didn't remember doing.
[sound:s-2464_彼女はその話を聞かせてくれた。.mp3]	(<b>聞かす</b>) 彼女はその話を聞かせてくれた。<br> かのじょはそのはなしをきかせてくれた。 <br>She let me hear the story.	
早朝	[sound:k-2475_早朝.mp3]<br>そうちょう <br> early morning
early morning	<b>早朝<b> <br> そうちょう <br>[sound:k-2475_早朝.mp3]
[sound:k-2475_早朝.mp3]	early morning<br> <b>早朝</b> <br> (そうちょう)
(<b>自身</b>) 彼は自身の能力を信じている。	[sound:s-2475_彼は自身の能力を信じている。.mp3] <br> かれはじしんののうりょくをしんじている。 <br> He believes in his own abilities.
[sound:s-2465_毎朝、新聞を読む習慣があります。.mp3]	(<b>新聞</b>) 毎朝、新聞を読む習慣があります。<br> まいあさ、しんぶんをよむしゅうかんがあります。 <br>I have a habit of reading the newspaper every morning.	
朝日	[sound:k-2476_朝日.mp3]<br>あさひ <br> morning sun
morning sun	<b>朝日<b> <br> あさひ <br>[sound:k-2476_朝日.mp3]
[sound:k-2476_朝日.mp3]	morning sun<br> <b>朝日</b> <br> (あさひ)
(<b>出身</b>) 彼女は東京出身です。	[sound:s-2476_彼女は東京出身です。.mp3] <br> かのじょはとうきょうしゅっしんです。 <br> She is from Tokyo.
[sound:s-2466_その記事は有名な新聞社によって報じられました。.mp3]	(<b>新聞社</b>) その記事は有名な新聞社によって報じられました。<br> そのきじはゆうめいなしんぶんしゃによってほうじられました。 <br>The article was reported by a famous newspaper company.	
朝刊	[sound:k-2477_朝刊.mp3]<br>ちょうかん <br> morning newspaper
morning newspaper	<b>朝刊<b> <br> ちょうかん <br>[sound:k-2477_朝刊.mp3]
[sound:k-2477_朝刊.mp3]	morning newspaper<br> <b>朝刊</b> <br> (ちょうかん)
(<b>中身</b>) この箱の中身を確認してください。	[sound:s-2477_この箱の中身を確認してください。.mp3] <br> このはこのなかみをかくにんしてください。 <br> Please check the contents of this box.
[sound:s-2467_彼は良い聞き手です。.mp3]	(<b>聞き手</b>) 彼は良い聞き手です。<br> かれはいいききてです。 <br>He is a good listener.	
朝食	[sound:k-2478_朝食.mp3]<br>ちょうしょく <br> breakfast
breakfast	<b>朝食<b> <br> ちょうしょく <br>[sound:k-2478_朝食.mp3]
[sound:k-2478_朝食.mp3]	breakfast<br> <b>朝食</b> <br> (ちょうしょく)
(<b>身長</b>) 彼の身長は180センチです。	[sound:s-2478_彼の身長は180センチです。.mp3] <br> かれのしんちょうは180センチです。 <br> His height is 180 centimeters.
[sound:s-2468_新聞紙は再利用可能な資源です。.mp3]	(<b>新聞紙</b>) 新聞紙は再利用可能な資源です。<br> しんぶんしはさいりようかのうなしげんです。 <br>Newspapers are a recyclable resource.	
毎朝	[sound:k-2479_毎朝.mp3]<br>まいあさ, まいちょう <br> every morning
every morning	<b>毎朝<b> <br> まいあさ, まいちょう <br>[sound:k-2479_毎朝.mp3]
[sound:k-2479_毎朝.mp3]	every morning<br> <b>毎朝</b> <br> (まいあさ, まいちょう)
(<b>全身</b>) 彼女は全身をマッサージしてもらった。	[sound:s-2479_彼女は全身をマッサージしてもらった。.mp3] <br> かのじょはぜんしんをまっさーじしてもらった。 <br> She got a full-body massage.
[sound:s-2469_これは前代未聞の事態です。.mp3]	(<b>前代未聞</b>) これは前代未聞の事態です。<br> これはぜんだいみもんのじたいです。 <br>This is an unprecedented situation.	
革	[sound:k-2480_革.mp3]<br>かわ <br> skin, hide, leather, fur, pelt, bark, shell
skin, hide, leather, fur, pelt, bark, shell	<b>革<b> <br> かわ <br>[sound:k-2480_革.mp3]
[sound:k-2480_革.mp3]	skin, hide, leather, fur, pelt, bark, shell<br> <b>革</b> <br> (かわ)
(<b>出身者</b>) 彼は同じ町の出身者です。	[sound:s-2480_彼は同じ町の出身者です。.mp3] <br> かれはおなじまちのしゅっしんしゃです。 <br> He is a native of the same town.
[sound:s-2470_その新聞記事は多くの人々に影響を与えた。.mp3]	(<b>新聞記事</b>) その新聞記事は多くの人々に影響を与えた。<br> そのしんぶんきじはおおくのひとびとにえいきょうをあたえた。 <br>The newspaper article influenced many people.	
改革	[sound:k-2481_改革.mp3]<br>かいかく <br> reform, reformation, innovation
reform, reformation, innovation	<b>改革<b> <br> かいかく <br>[sound:k-2481_改革.mp3]
[sound:k-2481_改革.mp3]	reform, reformation, innovation<br> <b>改革</b> <br> (かいかく)
(<b>単身</b>) 彼は単身で海外に旅行した。	[sound:s-2481_彼は単身で海外に旅行した。.mp3] <br> かれはたんしんでかいがいにりょこうした。 <br> He traveled abroad alone.
[sound:s-2471_日本語を勉強するために聞き書きをしています。.mp3]	(<b>聞き書き</b>) 日本語を勉強するために聞き書きをしています。<br> にほんごをべんきょうするためにききがきをしています。 <br>I'm practicing listening and writing for studying Japanese.	
革命	[sound:k-2482_革命.mp3]<br>かくめい <br> revolution; 58th year of the sexagenary cycle (in onmyou-dou)
revolution; 58th year of the sexagenary cycle (in onmyou-dou)	<b>革命<b> <br> かくめい <br>[sound:k-2482_革命.mp3]
[sound:k-2482_革命.mp3]	revolution; 58th year of the sexagenary cycle<br> <b>in onmyou-dou) (革命</b> <br> (かくめい)
(<b>身元</b>) その男性の身元が特定されました。	[sound:s-2482_その男性の身元が特定されました。.mp3] <br> そのだんせいのみもとがとくていされました。 <br> The identity of the man has been determined.
[sound:s-2472_その音は遠くから聞こえた。.mp3]	(<b>聞こえる</b>) その音は遠くから聞こえた。<br> そのおとはとおくからきこえた。 <br>The sound was heard from far away.	
革新	[sound:k-2483_革新.mp3]<br>かくしん <br> reform, innovation
reform, innovation	<b>革新<b> <br> かくしん <br>[sound:k-2483_革新.mp3]
[sound:k-2483_革新.mp3]	reform, innovation<br> <b>革新</b> <br> (かくしん)
(<b>独身</b>) 彼はまだ独身です。	[sound:s-2483_彼はまだ独身です。.mp3] <br> かれはまだどくしんです。 <br> He is still single.
[sound:s-2473_彼の言葉を聞き取るのが難しい。.mp3]	(<b>聞き取り</b>) 彼の言葉を聞き取るのが難しい。<br> かれのことばをききとるのがむずかしい。 <br>It's difficult to understand his words.	
変革	[sound:k-2484_変革.mp3]<br>へんかく <br> change, reform, revolution, upheaval; Reformation
change, reform, revolution, upheaval; Reformation	<b>変革<b> <br> へんかく <br>[sound:k-2484_変革.mp3]
[sound:k-2484_変革.mp3]	change, reform, revolution, upheaval; Reformation<br> <b>変革</b> <br> (へんかく)
(<b>消費</b>) 消費者のニーズに応える製品を開発する。	[sound:s-2484_消費者のニーズに応える製品を開発する。.mp3] <br> しょうひしゃのニーズにこたえるせいひんをかいはつする。 <br> Develop products that meet consumer needs.
[sound:s-2474_身に覚えのない行動があった。.mp3]	(<b>身</b>) 身に覚えのない行動があった。<br> みにおぼえのないこうどうがあった。 <br>There was an action I didn't remember doing.	
行革	[sound:k-2485_行革.mp3]<br>ぎょうかく <br> administrative reform
administrative reform	<b>行革<b> <br> ぎょうかく <br>[sound:k-2485_行革.mp3]
[sound:k-2485_行革.mp3]	administrative reform<br> <b>行革</b> <br> (ぎょうかく)
(<b>消費者</b>) 消費者の声を聞いて商品を改良する。	[sound:s-2485_消費者の声を聞いて商品を改良する。.mp3] <br> しょうひしゃのこえをきいてしょうひんをかいりょうする。 <br> Improve products based on consumer feedback.
[sound:s-2475_彼は自身の能力を信じている。.mp3]	(<b>自身</b>) 彼は自身の能力を信じている。<br> かれはじしんののうりょくをしんじている。 <br>He believes in his own abilities.	
保革	[sound:k-2486_保革.mp3]<br>ほかく <br> conservatism and progressivism, conservatives and reformists
conservatism and progressivism, conservatives and reformists	<b>保革<b> <br> ほかく <br>[sound:k-2486_保革.mp3]
[sound:k-2486_保革.mp3]	conservatism and progressivism, conservatives and reformists<br> <b>保革</b> <br> (ほかく)
(<b>消費税</b>) 消費税率が上がった。	[sound:s-2486_消費税率が上がった。.mp3] <br> しょうひぜいりつがあがった。 <br> The consumption tax rate has increased.
[sound:s-2476_彼女は東京出身です。.mp3]	(<b>出身</b>) 彼女は東京出身です。<br> かのじょはとうきょうしゅっしんです。 <br>She is from Tokyo.	
皮革	[sound:k-2487_皮革.mp3]<br>ひかく <br> leather, hide
leather, hide	<b>皮革<b> <br> ひかく <br>[sound:k-2487_皮革.mp3]
[sound:k-2487_皮革.mp3]	leather, hide<br> <b>皮革</b> <br> (ひかく)
(<b>費用</b>) 旅行の費用を計算する。	[sound:s-2487_旅行の費用を計算する。.mp3] <br> りょこうのひようをけいさんする。 <br> Calculate the expenses for the trip.
[sound:s-2477_この箱の中身を確認してください。.mp3]	(<b>中身</b>) この箱の中身を確認してください。<br> このはこのなかみをかくにんしてください。 <br>Please check the contents of this box.	
農地改革	[sound:k-2488_農地改革.mp3]<br>のうちかいかく <br> agrarian reform
agrarian reform	<b>農地改革<b> <br> のうちかいかく <br>[sound:k-2488_農地改革.mp3]
[sound:k-2488_農地改革.mp3]	agrarian reform<br> <b>農地改革</b> <br> (のうちかいかく)
(<b>経費</b>) このプロジェクトの経費を削減する必要がある。	[sound:s-2488_このプロジェクトの経費を削減する必要がある。.mp3] <br> このぷろじぇくとのけいひをさくげんするひつようがある。 <br> It is necessary to reduce the expenses of this project.
[sound:s-2478_彼の身長は180センチです。.mp3]	(<b>身長</b>) 彼の身長は180センチです。<br> かれのしんちょうは180センチです。 <br>His height is 180 centimeters.	
革靴	[sound:k-2489_革靴.mp3]<br>かわぐつ <br> leather shoes
leather shoes	<b>革靴<b> <br> かわぐつ <br>[sound:k-2489_革靴.mp3]
[sound:k-2489_革靴.mp3]	leather shoes<br> <b>革靴</b> <br> (かわぐつ)
(<b>人件費</b>) 会社の人件費が上昇している。	[sound:s-2489_会社の人件費が上昇している。.mp3] <br> かいしゃのじんけんひがじょうしょうしている。 <br> The company's labor costs are rising.
[sound:s-2479_彼女は全身をマッサージしてもらった。.mp3]	(<b>全身</b>) 彼女は全身をマッサージしてもらった。<br> かのじょはぜんしんをまっさーじしてもらった。 <br>She got a full-body massage.	
価格	[sound:k-2490_価格.mp3]<br>かかく <br> price, value, cost
price, value, cost	<b>価格<b> <br> かかく <br>[sound:k-2490_価格.mp3]
[sound:k-2490_価格.mp3]	price, value, cost<br> <b>価格</b> <br> (かかく)
(<b>会費</b>) このクラブの年会費は高い。	[sound:s-2490_このクラブの年会費は高い。.mp3] <br> このくらぶのねんかいひはたかい。 <br> The annual membership fee for this club is high.
[sound:s-2480_彼は同じ町の出身者です。.mp3]	(<b>出身者</b>) 彼は同じ町の出身者です。<br> かれはおなじまちのしゅっしんしゃです。 <br>He is a native of the same town.	
株価	[sound:k-2491_株価.mp3]<br>かぶか <br> stock prices
stock prices	<b>株価<b> <br> かぶか <br>[sound:k-2491_株価.mp3]
[sound:k-2491_株価.mp3]	stock prices<br> <b>株価</b> <br> (かぶか)
(<b>公費</b>) 公費でプロジェクトを支援する。	[sound:s-2491_公費でプロジェクトを支援する。.mp3] <br> こうひでプロジェクトをしえんする。 <br> Support the project with public funds.
[sound:s-2481_彼は単身で海外に旅行した。.mp3]	(<b>単身</b>) 彼は単身で海外に旅行した。<br> かれはたんしんでかいがいにりょこうした。 <br>He traveled abroad alone.	
評価	[sound:k-2492_評価.mp3]<br>ひょうか <br> valuation, estimation, assessment, evaluation; to value, to assess, to estimate value; to appreciate, to value highly, to acknowledge the value (of something)
valuation, estimation, assessment, evaluation; to value, to assess, to estimate value; to appreciate, to value highly, to acknowledge the value (of something)	<b>評価<b> <br> ひょうか <br>[sound:k-2492_評価.mp3]
[sound:k-2492_評価.mp3]	valuation, estimation, assessment, evaluation; to value, to assess, to estimate value; to appreciate, to value highly, to acknowledge the value<br> <b>of something) (評価</b> <br> (ひょうか)
(<b>交際費</b>) この旅行の交際費を計算する。	[sound:s-2492_この旅行の交際費を計算する。.mp3] <br> このりょこうのこうさいひをけいさんする。 <br> Calculate the entertainment expenses for this trip.
[sound:s-2482_その男性の身元が特定されました。.mp3]	(<b>身元</b>) その男性の身元が特定されました。<br> そのだんせいのみもとがとくていされました。 <br>The identity of the man has been determined.	
価値	[sound:k-2493_価値.mp3]<br>かち <br> value, worth, merit
value, worth, merit	<b>価値<b> <br> かち <br>[sound:k-2493_価値.mp3]
[sound:k-2493_価値.mp3]	value, worth, merit<br> <b>価値</b> <br> (かち)
(<b>工費</b>) 工事の工費が予算を超えた。	[sound:s-2493_工事の工費が予算を超えた。.mp3] <br> こうじのこうひがよさんをこえた。 <br> The construction costs exceeded the budget.
[sound:s-2483_彼はまだ独身です。.mp3]	(<b>独身</b>) 彼はまだ独身です。<br> かれはまだどくしんです。 <br>He is still single.	
地価	[sound:k-2494_地価.mp3]<br>ちか <br> the price of land
the price of land	<b>地価<b> <br> ちか <br>[sound:k-2494_地価.mp3]
[sound:k-2494_地価.mp3]	the price of land<br> <b>地価</b> <br> (ちか)
(<b>付近</b>) この地域の付近には公園があります。	[sound:s-2494_この地域の付近には公園があります。.mp3] <br> このちいきのふきんにはこうえんがあります。 <br> There is a park near this area.
[sound:s-2484_消費者のニーズに応える製品を開発する。.mp3]	(<b>消費</b>) 消費者のニーズに応える製品を開発する。<br> しょうひしゃのニーズにこたえるせいひんをかいはつする。 <br>Develop products that meet consumer needs.	
物価	[sound:k-2495_物価.mp3]<br>ぶっか <br> prices of commodities, prices (in general), cost-of-living
prices of commodities, prices (in general), cost-of-living	<b>物価<b> <br> ぶっか <br>[sound:k-2495_物価.mp3]
[sound:k-2495_物価.mp3]	prices of commodities, prices<br> <b>in general), cost-of-living (物価</b> <br> (ぶっか)
(<b>寄付</b>) 地震の被害者への寄付を募る。	[sound:s-2495_地震の被害者への寄付を募る。.mp3] <br> じしんのひがいしゃへのきふをつのる。 <br> Collect donations for earthquake victims.
[sound:s-2485_消費者の声を聞いて商品を改良する。.mp3]	(<b>消費者</b>) 消費者の声を聞いて商品を改良する。<br> しょうひしゃのこえをきいてしょうひんをかいりょうする。 <br>Improve products based on consumer feedback.	
価値観	[sound:k-2496_価値観.mp3]<br>かちかん <br> values
values	<b>価値観<b> <br> かちかん <br>[sound:k-2496_価値観.mp3]
[sound:k-2496_価値観.mp3]	values<br> <b>価値観</b> <br> (かちかん)
(<b>付属</b>) 車には付属のマニュアルが付いています。	[sound:s-2496_車には付属のマニュアルが付いています。.mp3] <br> くるまにはふぞくのマニュアルがついています。 <br> The car comes with an accompanying manual.
[sound:s-2486_消費税率が上がった。.mp3]	(<b>消費税</b>) 消費税率が上がった。<br> しょうひぜいりつがあがった。 <br>The consumption tax rate has increased.	
有価証券	[sound:k-2497_有価証券.mp3]<br>ゆうかしょうけん <br> marketable securities, stocks and bonds
marketable securities, stocks and bonds	<b>有価証券<b> <br> ゆうかしょうけん <br>[sound:k-2497_有価証券.mp3]
[sound:k-2497_有価証券.mp3]	marketable securities, stocks and bonds<br> <b>有価証券</b> <br> (ゆうかしょうけん)
(<b>交付</b>) 免許証が交付されました。	[sound:s-2497_免許証が交付されました。.mp3] <br> めんきょしょうがこうふされました。 <br> The driver's license was issued.
[sound:s-2487_旅行の費用を計算する。.mp3]	(<b>費用</b>) 旅行の費用を計算する。<br> りょこうのひようをけいさんする。 <br>Calculate the expenses for the trip.	
米価	[sound:k-2498_米価.mp3]<br>べいか <br> rice price
rice price	<b>米価<b> <br> べいか <br>[sound:k-2498_米価.mp3]
[sound:k-2498_米価.mp3]	rice price<br> <b>米価</b> <br> (べいか)
(<b>付き合い</b>) 彼とは長い付き合いです。	[sound:s-2498_彼とは長い付き合いです。.mp3] <br> かれとはながいつきあいです。 <br> I've known him for a long time.
[sound:s-2488_このプロジェクトの経費を削減する必要がある。.mp3]	(<b>経費</b>) このプロジェクトの経費を削減する必要がある。<br> このぷろじぇくとのけいひをさくげんするひつようがある。 <br>It is necessary to reduce the expenses of this project.	
時価	[sound:k-2499_時価.mp3]<br>じか <br> current value, price, market value
current value, price, market value	<b>時価<b> <br> じか <br>[sound:k-2499_時価.mp3]
[sound:k-2499_時価.mp3]	current value, price, market value<br> <b>時価</b> <br> (じか)
(<b>貸付</b>) 銀行から融資を貸付してもらう。	[sound:s-2499_銀行から融資を貸付してもらう。.mp3] <br> ぎんこうからゆうしをかしつけしてもらう。 <br> Borrow a loan from the bank.
[sound:s-2489_会社の人件費が上昇している。.mp3]	(<b>人件費</b>) 会社の人件費が上昇している。<br> かいしゃのじんけんひがじょうしょうしている。 <br>The company's labor costs are rising.	
株式	[sound:k-2500_株式.mp3]<br>かぶしき <br> stock (company)
stock (company)	<b>株式<b> <br> かぶしき <br>[sound:k-2500_株式.mp3]
[sound:k-2500_株式.mp3]	stock<br> <b>company) (株式</b> <br> (かぶしき)
(<b>日付</b>) この書類には日付が記入されていません。	[sound:s-2500_この書類には日付が記入されていません。.mp3] <br> このしょるいにはひづけがきにゅうされていません。 <br> There is no date written on this document.
[sound:s-2490_このクラブの年会費は高い。.mp3]	(<b>会費</b>) このクラブの年会費は高い。<br> このくらぶのねんかいひはたかい。 <br>The annual membership fee for this club is high.	
公式	[sound:k-2501_公式.mp3]<br>こうしき <br> formality, formal, official; formula
formality, formal, official; formula	<b>公式<b> <br> こうしき <br>[sound:k-2501_公式.mp3]
[sound:k-2501_公式.mp3]	formality, formal, official; formula<br> <b>公式</b> <br> (こうしき)
(<b>付き</b>) この商品には保証付きです。	[sound:s-2501_この商品には保証付きです。.mp3] <br> このしょうひんにはほしょうつきです。 <br> This product comes with a warranty.
[sound:s-2491_公費でプロジェクトを支援する。.mp3]	(<b>公費</b>) 公費でプロジェクトを支援する。<br> こうひでプロジェクトをしえんする。 <br>Support the project with public funds.	
正式	[sound:k-2502_正式.mp3]<br>せいしき <br> due form, official, formality
due form, official, formality	<b>正式<b> <br> せいしき <br>[sound:k-2502_正式.mp3]
[sound:k-2502_正式.mp3]	due form, official, formality<br> <b>正式</b> <br> (せいしき)
(<b>給付</b>) 失業者に給付金が支給される。	[sound:s-2502_失業者に給付金が支給される。.mp3] <br> しつぎょうしゃにきゅうふきんがしきゅうされる。 <br> Unemployed individuals receive unemployment benefits.
[sound:s-2492_この旅行の交際費を計算する。.mp3]	(<b>交際費</b>) この旅行の交際費を計算する。<br> このりょこうのこうさいひをけいさんする。 <br>Calculate the entertainment expenses for this trip.	
方式	[sound:k-2503_方式.mp3]<br>ほうしき <br> form, method, system, formula
form, method, system, formula	<b>方式<b> <br> ほうしき <br>[sound:k-2503_方式.mp3]
[sound:k-2503_方式.mp3]	form, method, system, formula<br> <b>方式</b> <br> (ほうしき)
(<b>条件付き</b>) 条件付きの承認が与えられた。	[sound:s-2503_条件付きの承認が与えられた。.mp3] <br> じょうけんつきのしょうにんがあたえられた。 <br> Conditional approval was granted.
[sound:s-2493_工事の工費が予算を超えた。.mp3]	(<b>工費</b>) 工事の工費が予算を超えた。<br> こうじのこうひがよさんをこえた。 <br>The construction costs exceeded the budget.	
形式	[sound:k-2504_形式.mp3]<br>けいしき <br> form (as opposed to substance), formality; method, system, style; format, mode, appearance, form (something takes); math expression
form (as opposed to substance), formality; method, system, style; format, mode, appearance, form (something takes); math expression	<b>形式<b> <br> けいしき <br>[sound:k-2504_形式.mp3]
[sound:k-2504_形式.mp3]	form<br> <b>as opposed to substance), formality; method, system, style; format, mode, appearance, form (something takes); math expression (形式</b> <br> (けいしき)
(<b>施設126. 施政</b>)	政府の施政方針が発表された。 <br> [sound:s-2504_政府の施政方針が発表された。.mp3] <br> <br>せいふのせいせいほうしんがはっぴょうされた。 <br> The government's policy direction has been announced.
[sound:s-2494_この地域の付近には公園があります。.mp3]	(<b>付近</b>) この地域の付近には公園があります。<br> このちいきのふきんにはこうえんがあります。 <br>There is a park near this area.	
非公式	[sound:k-2505_非公式.mp3]<br>ひこうしき <br> informal
informal	<b>非公式<b> <br> ひこうしき <br>[sound:k-2505_非公式.mp3]
[sound:k-2505_非公式.mp3]	informal<br> <b>非公式</b> <br> (ひこうしき)
(<b>施工</b>) 工事の施工が完了した。	[sound:s-2505_工事の施工が完了した。.mp3] <br> こうじのしこうがかんりょうした。 <br> The construction work has been completed.
[sound:s-2495_地震の被害者への寄付を募る。.mp3]	(<b>寄付</b>) 地震の被害者への寄付を募る。<br> じしんのひがいしゃへのきふをつのる。 <br>Collect donations for earthquake victims.	
式典	[sound:k-2506_式典.mp3]<br>しきてん <br> ceremony, rites
ceremony, rites	<b>式典<b> <br> しきてん <br>[sound:k-2506_式典.mp3]
[sound:k-2506_式典.mp3]	ceremony, rites<br> <b>式典</b> <br> (しきてん)
(<b>施す</b>) 助けを必要とする人々に援助を施す。	[sound:s-2506_助けを必要とする人々に援助を施す。.mp3] <br> たすけをひつようとするひとびとにえんじょをほどこす。 <br> Provide assistance to those in need of help.
[sound:s-2496_車には付属のマニュアルが付いています。.mp3]	(<b>付属</b>) 車には付属のマニュアルが付いています。<br> くるまにはふぞくのマニュアルがついています。 <br>The car comes with an accompanying manual.	
結婚式	[sound:k-2507_結婚式.mp3]<br>けっこんしき <br> marriage ceremony, wedding
marriage ceremony, wedding	<b>結婚式<b> <br> けっこんしき <br>[sound:k-2507_結婚式.mp3]
[sound:k-2507_結婚式.mp3]	marriage ceremony, wedding<br> <b>結婚式</b> <br> (けっこんしき)
(<b>防衛施設庁</b>) 防衛施設庁が国内の基地を管理している。	[sound:s-2507_防衛施設庁が国内の基地を管理している。.mp3] <br> ぼうえいしせつちょうがこくないのきちをかんりしている。 <br> The Defense Facilities Administration Agency manages domestic bases.
[sound:s-2497_免許証が交付されました。.mp3]	(<b>交付</b>) 免許証が交付されました。<br> めんきょしょうがこうふされました。 <br>The driver's license was issued.	
株式会社	[sound:k-2508_株式会社.mp3]<br>かぶしきがいしゃ <br> public company, corporation, KK, formula for an incorporated public company
public company, corporation, KK, formula for an incorporated public company	<b>株式会社<b> <br> かぶしきがいしゃ <br>[sound:k-2508_株式会社.mp3]
[sound:k-2508_株式会社.mp3]	public company, corporation, KK, formula for an incorporated public company<br> <b>株式会社</b> <br> (かぶしきがいしゃ)
(<b>施錠</b>) ドアを施錠して、外出します。	[sound:s-2508_ドアを施錠して、外出します。.mp3] <br> ドアをせじょうして、がいしゅつします。 <br> Lock the door and go out.
[sound:s-2498_彼とは長い付き合いです。.mp3]	(<b>付き合い</b>) 彼とは長い付き合いです。<br> かれとはながいつきあいです。 <br>I've known him for a long time.	
儀式	[sound:k-2509_儀式.mp3]<br>ぎしき <br> ceremony, rite, ritual, service
ceremony, rite, ritual, service	<b>儀式<b> <br> ぎしき <br>[sound:k-2509_儀式.mp3]
[sound:k-2509_儀式.mp3]	ceremony, rite, ritual, service<br> <b>儀式</b> <br> (ぎしき)
(<b>大切</b>) 家族との時間はとても大切です。	[sound:s-2509_家族との時間はとても大切です。.mp3] <br> かぞくとのじかんはとてもたいせつです。 <br> Time with family is very important.
[sound:s-2499_銀行から融資を貸付してもらう。.mp3]	(<b>貸付</b>) 銀行から融資を貸付してもらう。<br> ぎんこうからゆうしをかしつけしてもらう。 <br>Borrow a loan from the bank.	
確か	[sound:k-2510_確か.mp3]<br>たしか <br> certain, sure, definite; if I'm not mistaken, if I remember correctly
certain, sure, definite; if I'm not mistaken, if I remember correctly	<b>確か<b> <br> たしか <br>[sound:k-2510_確か.mp3]
[sound:k-2510_確か.mp3]	certain, sure, definite; if I'm not mistaken, if I remember correctly<br> <b>確か</b> <br> (たしか)
(<b>切っ掛け</b>) その出来事が彼の転職の切っ掛けになった。	[sound:s-2510_その出来事が彼の転職の切っ掛けになった。.mp3] <br> そのできごとがかれのてんしょくのきっかけになった。 <br> That incident became the trigger for his job change.
[sound:s-2500_この書類には日付が記入されていません。.mp3]	(<b>日付</b>) この書類には日付が記入されていません。<br> このしょるいにはひづけがきにゅうされていません。 <br>There is no date written on this document.	
確実	[sound:k-2511_確実.mp3]<br>かくじつ <br> certainty, reliability, soundness
certainty, reliability, soundness	<b>確実<b> <br> かくじつ <br>[sound:k-2511_確実.mp3]
[sound:k-2511_確実.mp3]	certainty, reliability, soundness<br> <b>確実</b> <br> (かくじつ)
(<b>一切</b>) 彼は一切の手助けも受けたくない。	[sound:s-2511_彼は一切の手助けも受けたくない。.mp3] <br> かれはいっさいのてだすけもうけたくない。 <br> He doesn't want any help at all.
[sound:s-2501_この商品には保証付きです。.mp3]	(<b>付き</b>) この商品には保証付きです。<br> このしょうひんにはほしょうつきです。 <br>This product comes with a warranty.	
確保	[sound:k-2512_確保.mp3]<br>かくほ <br> guarantee, maintain, ensure, insure, secure, reservation
guarantee, maintain, ensure, insure, secure, reservation	<b>確保<b> <br> かくほ <br>[sound:k-2512_確保.mp3]
[sound:k-2512_確保.mp3]	guarantee, maintain, ensure, insure, secure, reservation<br> <b>確保</b> <br> (かくほ)
(<b>適切</b>) 適切な処置をとる必要があります。	[sound:s-2512_適切な処置をとる必要があります。.mp3] <br> てきせつなしょちをとるひつようがあります。 <br> It's necessary to take appropriate measures.
[sound:s-2502_失業者に給付金が支給される。.mp3]	(<b>給付</b>) 失業者に給付金が支給される。<br> しつぎょうしゃにきゅうふきんがしきゅうされる。 <br>Unemployed individuals receive unemployment benefits.	
明確	[sound:k-2513_明確.mp3]<br>めいかく <br> clear up, clarify, define
clear up, clarify, define	<b>明確<b> <br> めいかく <br>[sound:k-2513_明確.mp3]
[sound:k-2513_明確.mp3]	clear up, clarify, define<br> <b>明確</b> <br> (めいかく)
(<b>切り</b>) 彼は包丁で野菜を切りました。	[sound:s-2513_彼は包丁で野菜を切りました。.mp3] <br> かれはほうちょうでやさいをきりました。 <br> He cut the vegetables with a knife.
