[sound:s-3089_家族でピクニックに行きます。.mp3]	(<b>家族</b>) 家族でピクニックに行きます。<br> かぞくでピクニックにいきます。 <br>We're going on a picnic with the family.	
[sound:s-3300_彼は委員長としてその委員会を率いています。.mp3]	(<b>委員長</b>) 彼は委員長としてその委員会を率いています。<br> かれはいいんちょうとしてそのいいんかいをひきいています。 <br>He leads the committee as the chairman.	
補助	[sound:k-3311_補助.mp3]<br>ほじょ <br> assistance, support, aid, auxiliary
assistance, support, aid, auxiliary	<b>補助<b> <br> ほじょ <br>[sound:k-3311_補助.mp3]
[sound:k-3311_補助.mp3]	assistance, support, aid, auxiliary<br> <b>補助</b> <br> (ほじょ)
(<b>九州</b>) 九州は日本の南西に位置しています。	[sound:s-3311_九州は日本の南西に位置しています。.mp3] <br> きゅうしゅうはにほんのなんせいにいちしています。 <br> Kyushu is located in the southwest of Japan.
[sound:s-3301_私はそのクラブの会員です。.mp3]	(<b>会員</b>) 私はそのクラブの会員です。<br> わたしはそのくらぶのかいいんです。 <br>I am a member of the club.	
補償	[sound:k-3312_補償.mp3]<br>ほしょう <br> compensation, reparation
compensation, reparation	<b>補償<b> <br> ほしょう <br>[sound:k-3312_補償.mp3]
[sound:k-3312_補償.mp3]	compensation, reparation<br> <b>補償</b> <br> (ほしょう)
(<b>九十</b>) 彼の祖母は九十歳になりました。	[sound:s-3312_彼の祖母は九十歳になりました。.mp3] <br> かれのそぼはぐじゅうさいになりました。 <br> His grandmother turned ninety years old.
[sound:s-3302_彼は市議会の議員です。.mp3]	(<b>議員</b>) 彼は市議会の議員です。<br> かれはしぎかいのぎいんです。 <br>He is a member of the city council.	
立候補	[sound:k-3313_立候補.mp3]<br>りっこうほ <br> announcing candidacy
announcing candidacy	<b>立候補<b> <br> りっこうほ <br>[sound:k-3313_立候補.mp3]
[sound:k-3313_立候補.mp3]	announcing candidacy<br> <b>立候補</b> <br> (りっこうほ)
(<b>九九</b>) 子供たちは九九を覚えるのが大変です。	[sound:s-3313_子供たちは九九を覚えるのが大変です。.mp3] <br> こどもたちはくぐぐをおぼえるのがたいへんです。 <br> Children find it difficult to memorize multiplication tables.
[sound:s-3303_彼女は病院の職員です。.mp3]	(<b>職員</b>) 彼女は病院の職員です。<br> かのじょはびょういんのしょくいんです。 <br>She is a staff member at the hospital.	
補正予算	[sound:k-3314_補正予算.mp3]<br>ほせいよさん <br> revised or supplementary budget
revised or supplementary budget	<b>補正予算<b> <br> ほせいよさん <br>[sound:k-3314_補正予算.mp3]
[sound:k-3314_補正予算.mp3]	revised or supplementary budget<br> <b>補正予算</b> <br> (ほせいよさん)
(<b>九つ</b>) その木には九つの枝があります。	[sound:s-3314_その木には九つの枝があります。.mp3] <br> そのきにはここのつのえだがあります。 <br> There are nine branches on that tree.
[sound:s-3304_彼は国会議員として活動しています。.mp3]	(<b>国会議員</b>) 彼は国会議員として活動しています。<br> かれはこっかいぎいんとしてかつどうしています。 <br>He is active as a member of the national parliament.	
補佐	[sound:k-3315_補佐.mp3]<br>ほさ <br> aid, help, assistance, assistant, counselor, counsellor, adviser, advisor
aid, help, assistance, assistant, counselor, counsellor, adviser, advisor	<b>補佐<b> <br> ほさ <br>[sound:k-3315_補佐.mp3]
[sound:k-3315_補佐.mp3]	aid, help, assistance, assistant, counselor, counsellor, adviser, advisor<br> <b>補佐</b> <br> (ほさ)
(<b>一一九番</b>) この列車は一一九番ホームに停車します。	[sound:s-3315_この列車は一一九番ホームに停車します。.mp3] <br> このれっしゃはいちいちきゅうばんほーむにていしゃします。 <br> This train stops at platform one one nine.
[sound:s-3305_彼はその会社の社員です。.mp3]	(<b>社員</b>) 彼はその会社の社員です。<br> かれはそのかいしゃのしゃいんです。 <br>He is an employee of the company.	
補給	[sound:k-3316_補給.mp3]<br>ほきゅう <br> supply, supplying, replenishment
supply, supplying, replenishment	<b>補給<b> <br> ほきゅう <br>[sound:k-3316_補給.mp3]
[sound:k-3316_補給.mp3]	supply, supplying, replenishment<br> <b>補給</b> <br> (ほきゅう)
(<b>千九百年代</b>) 千九百年代は20世紀の最後の十年です。	[sound:s-3316_千九百年代は20世紀の最後の十年です。.mp3] <br> せんきゅうひゃくねんだいはにせんじゅっせいきのさいごのじゅうねんです。 <br> The 1900s is the last decade of the 20th century.
[sound:s-3306_全員がその計画に賛成しました。.mp3]	(<b>全員</b>) 全員がその計画に賛成しました。<br> ぜんいんがそのけいかくにさんせいしました。 <br>Everyone agreed to the plan.	
補強	[sound:k-3317_補強.mp3]<br>ほきょう <br> compensation, reinforcement
compensation, reinforcement	<b>補強<b> <br> ほきょう <br>[sound:k-3317_補強.mp3]
[sound:k-3317_補強.mp3]	compensation, reinforcement<br> <b>補強</b> <br> (ほきょう)
(<b>九重</b>) 九重の塔は古代の建築物です。	[sound:s-3317_九重の塔は古代の建築物です。.mp3] <br> ここのえのとうはこだいのけんちくぶつです。 <br> The Nine-Storied Pagoda is an ancient architectural structure.
[sound:s-3307_彼はその会社の役員です。.mp3]	(<b>役員</b>) 彼はその会社の役員です。<br> かれはそのかいしゃのやくいんです。 <br>He is an officer of the company.	
補正	[sound:k-3318_補正.mp3]<br>ほせい <br> correction
correction	<b>補正<b> <br> ほせい <br>[sound:k-3318_補正.mp3]
[sound:k-3318_補正.mp3]	correction<br> <b>補正</b> <br> (ほせい)
(<b>入り</b>) 入り口はこちらです。	[sound:s-3318_入り口はこちらです。.mp3] <br> いりくちはこちらです。 <br> The entrance is here.
[sound:s-3308_九は数字の中で一番小さい奇数です。.mp3]	(<b>九</b>) 九は数字の中で一番小さい奇数です。<br> きゅうはすうじのなかでいちばんちいさいきすうです。 <br>Nine is the smallest odd number among the digits.	
補欠	[sound:k-3319_補欠.mp3]<br>ほけつ <br> filling a vacancy, supplementation; substitute, deputy, alternate, spare
filling a vacancy, supplementation; substitute, deputy, alternate, spare	<b>補欠<b> <br> ほけつ <br>[sound:k-3319_補欠.mp3]
[sound:k-3319_補欠.mp3]	filling a vacancy, supplementation; substitute, deputy, alternate, spare<br> <b>補欠</b> <br> (ほけつ)
(<b>輸入</b>) その製品は外国から輸入されました。	[sound:s-3319_その製品は外国から輸入されました。.mp3] <br> そのせいひんはがいこくからゆにゅうされました。 <br> The product was imported from abroad.
[sound:s-3309_私の誕生日は九月にあります。.mp3]	(<b>九月</b>) 私の誕生日は九月にあります。<br> わたしのたんじょうびはぐがつにあります。 <br>My birthday is in September.	
車	[sound:k-3320_車.mp3]<br>くるま <br> car, automobile, vehicle; wheel
car, automobile, vehicle; wheel	<b>車<b> <br> くるま <br>[sound:k-3320_車.mp3]
[sound:k-3320_車.mp3]	car, automobile, vehicle; wheel<br> <b>車</b> <br> (くるま)
(<b>購入</b>) 彼は新しい車を購入しました。	[sound:s-3320_彼は新しい車を購入しました。.mp3] <br> かれはあたらしいくるまをこうにゅうしました。 <br> He bought a new car.
[sound:s-3310_彼女は今年で十九歳になります。.mp3]	(<b>十九</b>) 彼女は今年で十九歳になります。<br> かのじょはことしでじゅうきゅうさいになります。 <br>She will be nineteen years old this year.	
自動車	[sound:k-3321_自動車.mp3]<br>じどうしゃ <br> automobile
automobile	<b>自動車<b> <br> じどうしゃ <br>[sound:k-3321_自動車.mp3]
[sound:k-3321_自動車.mp3]	automobile<br> <b>自動車</b> <br> (じどうしゃ)
(<b>収入</b>) 彼の収入は安定しています。	[sound:s-3321_彼の収入は安定しています。.mp3] <br> かれのしゅうにゅうはあんていしています。 <br> His income is stable.
[sound:s-3311_九州は日本の南西に位置しています。.mp3]	(<b>九州</b>) 九州は日本の南西に位置しています。<br> きゅうしゅうはにほんのなんせいにいちしています。 <br>Kyushu is located in the southwest of Japan.	
下車	[sound:k-3322_下車.mp3]<br>げしゃ <br> alighting (from train, bus, etc.), getting off
alighting (from train, bus, etc.), getting off	<b>下車<b> <br> げしゃ <br>[sound:k-3322_下車.mp3]
[sound:k-3322_下車.mp3]	alighting<br> <b>from train, bus, etc.), getting off (下車</b> <br> (げしゃ)
(<b>導入</b>) 新しいシステムの導入が計画されています。	[sound:s-3322_新しいシステムの導入が計画されています。.mp3] <br> あたらしいしすてむのどうにゅうがけいかくされています。 <br> The introduction of a new system is being planned.
[sound:s-3312_彼の祖母は九十歳になりました。.mp3]	(<b>九十</b>) 彼の祖母は九十歳になりました。<br> かれのそぼはぐじゅうさいになりました。 <br>His grandmother turned ninety years old.	
乗用車	[sound:k-3323_乗用車.mp3]<br>じょうようしゃ <br> passenger vehicle, automobile
passenger vehicle, automobile	<b>乗用車<b> <br> じょうようしゃ <br>[sound:k-3323_乗用車.mp3]
[sound:k-3323_乗用車.mp3]	passenger vehicle, automobile<br> <b>乗用車</b> <br> (じょうようしゃ)
(<b>介入</b>) 外国の政府が内政に介入することは許されません。	[sound:s-3323_外国の政府が内政に介入することは許されません。.mp3] <br> がいこくのせいふがないせいにかいにゅうすることはゆるされません。 <br> Foreign governments are not allowed to intervene in domestic affairs.
[sound:s-3313_子供たちは九九を覚えるのが大変です。.mp3]	(<b>九九</b>) 子供たちは九九を覚えるのが大変です。<br> こどもたちはくぐぐをおぼえるのがたいへんです。 <br>Children find it difficult to memorize multiplication tables.	
自転車	[sound:k-3324_自転車.mp3]<br>じてんしゃ, じでんしゃ <br> bicycle
bicycle	<b>自転車<b> <br> じてんしゃ, じでんしゃ <br>[sound:k-3324_自転車.mp3]
[sound:k-3324_自転車.mp3]	bicycle<br> <b>自転車</b> <br> (じてんしゃ, じでんしゃ)
(<b>受け入れ</b>) 彼は私の提案を受け入れました。	[sound:s-3324_彼は私の提案を受け入れました。.mp3] <br> かれはわたしのていあんをうけいれました。 <br> He accepted my proposal.
[sound:s-3314_その木には九つの枝があります。.mp3]	(<b>九つ</b>) その木には九つの枝があります。<br> そのきにはここのつのえだがあります。 <br>There are nine branches on that tree.	
車両	[sound:k-3325_車両.mp3]<br>しゃりょう <br> rolling stock, railroad cars, vehicles
rolling stock, railroad cars, vehicles	<b>車両<b> <br> しゃりょう <br>[sound:k-3325_車両.mp3]
[sound:k-3325_車両.mp3]	rolling stock, railroad cars, vehicles<br> <b>車両</b> <br> (しゃりょう)
(<b>入札</b>) 建設会社は新しいプロジェクトに入札しました。	[sound:s-3325_建設会社は新しいプロジェクトに入札しました。.mp3] <br> けんせつかいしゃはあたらしいぷろじぇくとににゅうさつしました。 <br> The construction company bid for the new project.
[sound:s-3315_この列車は一一九番ホームに停車します。.mp3]	(<b>一一九番</b>) この列車は一一九番ホームに停車します。<br> このれっしゃはいちいちきゅうばんほーむにていしゃします。 <br>This train stops at platform one one nine.	
電車	[sound:k-3326_電車.mp3]<br>でんしゃ <br> (electric) train
(electric) train	<b>電車<b> <br> でんしゃ <br>[sound:k-3326_電車.mp3]
[sound:k-3326_電車.mp3]	(electric) train<br> <b>電車</b> <br> (でんしゃ)
(<b>加入</b>) 彼はクラブに加入しました。	[sound:s-3326_彼はクラブに加入しました。.mp3] <br> かれはくらぶにかにゅうしました。 <br> He joined the club.
[sound:s-3316_千九百年代は20世紀の最後の十年です。.mp3]	(<b>千九百年代</b>) 千九百年代は20世紀の最後の十年です。<br> せんきゅうひゃくねんだいはにせんじゅっせいきのさいごのじゅうねんです。 <br>The 1900s is the last decade of the 20th century.	
列車	[sound:k-3327_列車.mp3]<br>れっしゃ <br> train (ordinary)
train (ordinary)	<b>列車<b> <br> れっしゃ <br>[sound:k-3327_列車.mp3]
[sound:k-3327_列車.mp3]	train<br> <b>ordinary) (列車</b> <br> (れっしゃ)
(<b>参入</b>) その企業は新しい市場への参入を計画しています。	[sound:s-3327_その企業は新しい市場への参入を計画しています。.mp3] <br> そのききょうはあたらしいしじょうへのさんにゅうをけいかくしています。 <br> The company is planning to enter the new market.
[sound:s-3317_九重の塔は古代の建築物です。.mp3]	(<b>九重</b>) 九重の塔は古代の建築物です。<br> ここのえのとうはこだいのけんちくぶつです。 <br>The Nine-Storied Pagoda is an ancient architectural structure.	
駐車場	[sound:k-3328_駐車場.mp3]<br>ちゅうしゃじょう <br> parking lot, parking place
parking lot, parking place	<b>駐車場<b> <br> ちゅうしゃじょう <br>[sound:k-3328_駐車場.mp3]
[sound:k-3328_駐車場.mp3]	parking lot, parking place<br> <b>駐車場</b> <br> (ちゅうしゃじょう)
(<b>選</b>) 彼は大統領選に出馬します。	[sound:s-3328_彼は大統領選に出馬します。.mp3] <br> かれはたいとうりょうせんにしゅつばします。 <br> He will run for president.
[sound:s-3318_入り口はこちらです。.mp3]	(<b>入り</b>) 入り口はこちらです。<br> いりくちはこちらです。 <br>The entrance is here.	
戦車	[sound:k-3329_戦車.mp3]<br>せんしゃ <br> tank (military vehicle)
tank (military vehicle)	<b>戦車<b> <br> せんしゃ <br>[sound:k-3329_戦車.mp3]
[sound:k-3329_戦車.mp3]	tank<br> <b>military vehicle) (戦車</b> <br> (せんしゃ)
(<b>選ぶ</b>) 彼は自分の将来のキャリアを選ぶのが難しいです。	[sound:s-3329_彼は自分の将来のキャリアを選ぶのが難しいです。.mp3] <br> かれはじぶんのしょうらいのきゃりあをえらぶのがむずかしいです。 <br> It's difficult for him to choose his future career.
[sound:s-3319_その製品は外国から輸入されました。.mp3]	(<b>輸入</b>) その製品は外国から輸入されました。<br> そのせいひんはがいこくからゆにゅうされました。 <br>The product was imported from abroad.	
優勝	[sound:k-3330_優勝.mp3]<br>ゆうしょう <br> overall victory, championship
overall victory, championship	<b>優勝<b> <br> ゆうしょう <br>[sound:k-3330_優勝.mp3]
[sound:k-3330_優勝.mp3]	overall victory, championship<br> <b>優勝</b> <br> (ゆうしょう)
(<b>選挙</b>) 来月、地方選挙が行われます。	[sound:s-3330_来月、地方選挙が行われます。.mp3] <br> らいげつ、ちほうせんきょがおこなわれます。 <br> Local elections will be held next month.
[sound:s-3320_彼は新しい車を購入しました。.mp3]	(<b>購入</b>) 彼は新しい車を購入しました。<br> かれはあたらしいくるまをこうにゅうしました。 <br>He bought a new car.	
俳優	[sound:k-3331_俳優.mp3]<br>はいゆう <br> actor, actress, player, performer
actor, actress, player, performer	<b>俳優<b> <br> はいゆう <br>[sound:k-3331_俳優.mp3]
[sound:k-3331_俳優.mp3]	actor, actress, player, performer<br> <b>俳優</b> <br> (はいゆう)
(<b>選手</b>) 彼は優れた選手です。	[sound:s-3331_彼は優れた選手です。.mp3] <br> かれはすぐれたせんしゅです。 <br> He is an excellent athlete.
[sound:s-3321_彼の収入は安定しています。.mp3]	(<b>収入</b>) 彼の収入は安定しています。<br> かれのしゅうにゅうはあんていしています。 <br>His income is stable.	
優先	[sound:k-3332_優先.mp3]<br>ゆうせん <br> preference, priority, precedence
preference, priority, precedence	<b>優先<b> <br> ゆうせん <br>[sound:k-3332_優先.mp3]
[sound:k-3332_優先.mp3]	preference, priority, precedence<br> <b>優先</b> <br> (ゆうせん)
(<b>選手権</b>) そのチームは全国大会で優勝しました。	[sound:s-3332_そのチームは全国大会で優勝しました。.mp3] <br> そのちーむはぜんこくたいかいでゆうしょうしました。 <br> The team won the national championship.
[sound:s-3322_新しいシステムの導入が計画されています。.mp3]	(<b>導入</b>) 新しいシステムの導入が計画されています。<br> あたらしいしすてむのどうにゅうがけいかくされています。 <br>The introduction of a new system is being planned.	
女優	[sound:k-3333_女優.mp3]<br>じょゆう <br> actress
actress	<b>女優<b> <br> じょゆう <br>[sound:k-3333_女優.mp3]
[sound:k-3333_女優.mp3]	actress<br> <b>女優</b> <br> (じょゆう)
(<b>総選挙</b>) 総選挙では新しい政府が選出されます。	[sound:s-3333_総選挙では新しい政府が選出されます。.mp3] <br> そうせんきょではあたらしいせいふがせんしゅつされます。 <br> A new government will be elected in the general election.
[sound:s-3323_外国の政府が内政に介入することは許されません。.mp3]	(<b>介入</b>) 外国の政府が内政に介入することは許されません。<br> がいこくのせいふがないせいにかいにゅうすることはゆるされません。 <br>Foreign governments are not allowed to intervene in domestic affairs.	
優秀	[sound:k-3334_優秀.mp3]<br>ゆうしゅう <br> superiority, excellence
superiority, excellence	<b>優秀<b> <br> ゆうしゅう <br>[sound:k-3334_優秀.mp3]
[sound:k-3334_優秀.mp3]	superiority, excellence<br> <b>優秀</b> <br> (ゆうしゅう)
(<b>当選</b>) 彼は市長に当選しました。	[sound:s-3334_彼は市長に当選しました。.mp3] <br> かれはしちょうにとうせんしました。 <br> He was elected as the mayor.
[sound:s-3324_彼は私の提案を受け入れました。.mp3]	(<b>受け入れ</b>) 彼は私の提案を受け入れました。<br> かれはわたしのていあんをうけいれました。 <br>He accepted my proposal.	
優遇	[sound:k-3335_優遇.mp3]<br>ゆうぐう <br> favorable treatment, favourable treatment, hospitality, warm reception, good treatment, hearty welcome
favorable treatment, favourable treatment, hospitality, warm reception, good treatment, hearty welcome	<b>優遇<b> <br> ゆうぐう <br>[sound:k-3335_優遇.mp3]
[sound:k-3335_優遇.mp3]	favorable treatment, favourable treatment, hospitality, warm reception, good treatment, hearty welcome<br> <b>優遇</b> <br> (ゆうぐう)
(<b>予選</b>) ワールドカップの予選が始まりました。	[sound:s-3335_ワールドカップの予選が始まりました。.mp3] <br> わーるどかっぷのよせんがはじまりました。 <br> The World Cup qualifiers have started.
[sound:s-3325_建設会社は新しいプロジェクトに入札しました。.mp3]	(<b>入札</b>) 建設会社は新しいプロジェクトに入札しました。<br> けんせつかいしゃはあたらしいぷろじぇくとににゅうさつしました。 <br>The construction company bid for the new project.	
優しい	[sound:k-3336_優しい.mp3]<br>やさしい <br> tender, kind, gentle, graceful, affectionate, amiable, suave
tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい<b> <br> やさしい <br>[sound:k-3336_優しい.mp3]
[sound:k-3336_優しい.mp3]	tender, kind, gentle, graceful, affectionate, amiable, suave<br> <b>優しい</b> <br> (やさしい)
(<b>小選挙区</b>) 小選挙区での選挙は激しい競争が予想されます。	[sound:s-3336_小選挙区での選挙は激しい競争が予想されます。.mp3] <br> しょうせんきょくでのせんきょははげしいきょうそうがよそうされます。 <br> Fierce competition is expected in the single-member constituency.
[sound:s-3326_彼はクラブに加入しました。.mp3]	(<b>加入</b>) 彼はクラブに加入しました。<br> かれはくらぶにかにゅうしました。 <br>He joined the club.	
優位	[sound:k-3337_優位.mp3]<br>ゆうい <br> predominance, ascendancy, superiority
predominance, ascendancy, superiority	<b>優位<b> <br> ゆうい <br>[sound:k-3337_優位.mp3]
[sound:k-3337_優位.mp3]	predominance, ascendancy, superiority<br> <b>優位</b> <br> (ゆうい)
(<b>選考</b>) 採用の選考が厳しいです。	[sound:s-3337_採用の選考が厳しいです。.mp3] <br> さいようのせんこうがきびしいです。 <br> The selection process for recruitment is rigorous.
[sound:s-3327_その企業は新しい市場への参入を計画しています。.mp3]	(<b>参入</b>) その企業は新しい市場への参入を計画しています。<br> そのききょうはあたらしいしじょうへのさんにゅうをけいかくしています。 <br>The company is planning to enter the new market.	
優良	[sound:k-3338_優良.mp3]<br>ゆうりょう <br> superior, excellent, fine
superior, excellent, fine	<b>優良<b> <br> ゆうりょう <br>[sound:k-3338_優良.mp3]
[sound:k-3338_優良.mp3]	superior, excellent, fine<br> <b>優良</b> <br> (ゆうりょう)
(<b>立場</b>) 彼女はその問題に対して明確な立場を持っています。	[sound:s-3338_彼女はその問題に対して明確な立場を持っています。.mp3] <br> かのじょはそのもんだいにたいしてめいかくなたちばしょをもっています。 <br> She has a clear stance on the issue.
[sound:s-3328_彼は大統領選に出馬します。.mp3]	(<b>選</b>) 彼は大統領選に出馬します。<br> かれはたいとうりょうせんにしゅつばします。 <br>He will run for president.	
優勢	[sound:k-3339_優勢.mp3]<br>ゆうせい <br> superiority, superior power, predominance, preponderance
superiority, superior power, predominance, preponderance	<b>優勢<b> <br> ゆうせい <br>[sound:k-3339_優勢.mp3]
[sound:k-3339_優勢.mp3]	superiority, superior power, predominance, preponderance<br> <b>優勢</b> <br> (ゆうせい)
(<b>連立</b>) 二つの政党が連立政権を形成しました。	[sound:s-3339_二つの政党が連立政権を形成しました。.mp3] <br> ふたつのせいとうがれんりつせいけんをけいせいしました。 <br> Two political parties formed a coalition government.
[sound:s-3329_彼は自分の将来のキャリアを選ぶのが難しいです。.mp3]	(<b>選ぶ</b>) 彼は自分の将来のキャリアを選ぶのが難しいです。<br> かれはじぶんのしょうらいのきゃりあをえらぶのがむずかしいです。 <br>It's difficult for him to choose his future career.	
夫	[sound:k-3340_夫.mp3]<br>おっと <br> husband
husband	<b>夫<b> <br> おっと <br>[sound:k-3340_夫.mp3]
[sound:k-3340_夫.mp3]	husband<br> <b>夫</b> <br> (おっと)
(<b>国立</b>) この大学は国立の研究機関と提携しています。	[sound:s-3340_この大学は国立の研究機関と提携しています。.mp3] <br> このだいがくはこくりつのけんきゅうきかんとていけいしています。 <br> This university collaborates with national research institutions.
[sound:s-3330_来月、地方選挙が行われます。.mp3]	(<b>選挙</b>) 来月、地方選挙が行われます。<br> らいげつ、ちほうせんきょがおこなわれます。 <br>Local elections will be held next month.	
夫人	[sound:k-3341_夫人.mp3]<br>ふじん, ぶにん, はしかし <br> wife, Mrs, madam; wife of a nobleman (aristocrat, etc.); consort of the emperor
wife, Mrs, madam; wife of a nobleman (aristocrat, etc.); consort of the emperor	<b>夫人<b> <br> ふじん, ぶにん, はしかし <br>[sound:k-3341_夫人.mp3]
[sound:k-3341_夫人.mp3]	wife, Mrs, madam; wife of a nobleman<br> <b>aristocrat, etc.); consort of the emperor (夫人</b> <br> (ふじん, ぶにん, はしかし)
(<b>成立</b>) 新しい法律が成立しました。	[sound:s-3341_新しい法律が成立しました。.mp3] <br> あたらしいほうりつがせいりつしました。 <br> The new law has been enacted.
[sound:s-3331_彼は優れた選手です。.mp3]	(<b>選手</b>) 彼は優れた選手です。<br> かれはすぐれたせんしゅです。 <br>He is an excellent athlete.	
夫婦	[sound:k-3342_夫婦.mp3]<br>ふうふ, めおと, みょうと <br> married couple, spouses, husband and wife, couple, pair
married couple, spouses, husband and wife, couple, pair	<b>夫婦<b> <br> ふうふ, めおと, みょうと <br>[sound:k-3342_夫婦.mp3]
[sound:k-3342_夫婦.mp3]	married couple, spouses, husband and wife, couple, pair<br> <b>夫婦</b> <br> (ふうふ, めおと, みょうと)
(<b>対立</b>) 両者の間で意見の対立があります。	[sound:s-3342_両者の間で意見の対立があります。.mp3] <br> りょうしゃのあいだでいけんのたいりつがあります。 <br> There is a disagreement between both parties.
[sound:s-3332_そのチームは全国大会で優勝しました。.mp3]	(<b>選手権</b>) そのチームは全国大会で優勝しました。<br> そのちーむはぜんこくたいかいでゆうしょうしました。 <br>The team won the national championship.	
夫妻	[sound:k-3343_夫妻.mp3]<br>ふさい <br> man and wife, married couple
man and wife, married couple	<b>夫妻<b> <br> ふさい <br>[sound:k-3343_夫妻.mp3]
[sound:k-3343_夫妻.mp3]	man and wife, married couple<br> <b>夫妻</b> <br> (ふさい)
(<b>独立</b>) この国は独立国です。	[sound:s-3343_この国は独立国です。.mp3] <br> このくにはどくりつこくです。 <br> This country is an independent nation.
[sound:s-3333_総選挙では新しい政府が選出されます。.mp3]	(<b>総選挙</b>) 総選挙では新しい政府が選出されます。<br> そうせんきょではあたらしいせいふがせんしゅつされます。 <br>A new government will be elected in the general election.	
工夫	[sound:k-3344_工夫.mp3]<br>くふう <br> scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously; dedication to spiritual improvement (esp. through Zen meditation)
scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously; dedication to spiritual improvement (esp. through Zen meditation)	<b>工夫<b> <br> くふう <br>[sound:k-3344_工夫.mp3]
[sound:k-3344_工夫.mp3]	scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously; dedication to spiritual improvement<br> <b>esp. through Zen meditation) (工夫</b> <br> (くふう)
(<b>私立</b>) 彼は私立大学で勉強しています。	[sound:s-3344_彼は私立大学で勉強しています。.mp3] <br> かれはしりつだいがくでべんきょうしています。 <br> He is studying at a private university.
[sound:s-3334_彼は市長に当選しました。.mp3]	(<b>当選</b>) 彼は市長に当選しました。<br> かれはしちょうにとうせんしました。 <br>He was elected as the mayor.	
大丈夫	[sound:k-3345_大丈夫.mp3]<br>だいじょうぶ <br> safe, all right, OK, okay
safe, all right, OK, okay	<b>大丈夫<b> <br> だいじょうぶ <br>[sound:k-3345_大丈夫.mp3]
[sound:k-3345_大丈夫.mp3]	safe, all right, OK, okay<br> <b>大丈夫</b> <br> (だいじょうぶ)
(<b>設立</b>) その会社は昨年設立されました。	[sound:s-3345_その会社は昨年設立されました。.mp3] <br> そのかいしゃはさくねんせつりつされました。 <br> The company was established last year.
[sound:s-3335_ワールドカップの予選が始まりました。.mp3]	(<b>予選</b>) ワールドカップの予選が始まりました。<br> わーるどかっぷのよせんがはじまりました。 <br>The World Cup qualifiers have started.	
丈夫	[sound:k-3346_丈夫.mp3]<br>じょうぶ <br> healthy, robust, strong, solid, durable
healthy, robust, strong, solid, durable	<b>丈夫<b> <br> じょうぶ <br>[sound:k-3346_丈夫.mp3]
[sound:k-3346_丈夫.mp3]	healthy, robust, strong, solid, durable<br> <b>丈夫</b> <br> (じょうぶ)
(<b>並立</b>) この地域には公立と私立の学校が並立しています。	[sound:s-3346_この地域には公立と私立の学校が並立しています。.mp3] <br> このちいきにはこうりつとしりつのがっこうがへいりつしています。 <br> In this area, public and private schools coexist.
[sound:s-3336_小選挙区での選挙は激しい競争が予想されます。.mp3]	(<b>小選挙区</b>) 小選挙区での選挙は激しい競争が予想されます。<br> しょうせんきょくでのせんきょははげしいきょうそうがよそうされます。 <br>Fierce competition is expected in the single-member constituency.	
義太夫	[sound:k-3347_義太夫.mp3]<br>ぎだゆう <br> gidayuu (form of ballad drama)
gidayuu (form of ballad drama)	<b>義太夫<b> <br> ぎだゆう <br>[sound:k-3347_義太夫.mp3]
[sound:k-3347_義太夫.mp3]	gidayuu<br> <b>form of ballad drama) (義太夫</b> <br> (ぎだゆう)
(<b>確立</b>) その組織は良好な関係を確立しました。	[sound:s-3347_その組織は良好な関係を確立しました。.mp3] <br> そのそしきはりょうこうなかんけいをかくりつしました。 <br> The organization established good relations.
[sound:s-3337_採用の選考が厳しいです。.mp3]	(<b>選考</b>) 採用の選考が厳しいです。<br> さいようのせんこうがきびしいです。 <br>The selection process for recruitment is rigorous.	
老夫婦	[sound:k-3348_老夫婦.mp3]<br>ろうふうふ <br> an old couple
an old couple	<b>老夫婦<b> <br> ろうふうふ <br>[sound:k-3348_老夫婦.mp3]
[sound:k-3348_老夫婦.mp3]	an old couple<br> <b>老夫婦</b> <br> (ろうふうふ)
(<b>開発</b>) 新製品の開発が進行中です。	[sound:s-3348_新製品の開発が進行中です。.mp3] <br> しんせいひんのかいはつがしんこうちゅうです。 <br> Development of the new product is underway.
[sound:s-3338_彼女はその問題に対して明確な立場を持っています。.mp3]	(<b>立場</b>) 彼女はその問題に対して明確な立場を持っています。<br> かのじょはそのもんだいにたいしてめいかくなたちばしょをもっています。 <br>She has a clear stance on the issue.	
亡夫	[sound:k-3349_亡夫.mp3]<br>ぼうふ <br> my deceased husband, my late husband
my deceased husband, my late husband	<b>亡夫<b> <br> ぼうふ <br>[sound:k-3349_亡夫.mp3]
[sound:k-3349_亡夫.mp3]	my deceased husband, my late husband<br> <b>亡夫</b> <br> (ぼうふ)
(<b>開催</b>) そのイベントは来週開催されます。	[sound:s-3349_そのイベントは来週開催されます。.mp3] <br> そのいべんとはらいしゅうかいさいされます。 <br> The event will be held next week.
[sound:s-3339_二つの政党が連立政権を形成しました。.mp3]	(<b>連立</b>) 二つの政党が連立政権を形成しました。<br> ふたつのせいとうがれんりつせいけんをけいせいしました。 <br>Two political parties formed a coalition government.	
研究	[sound:k-3350_研究.mp3]<br>けんきゅう <br> study, research, investigation
