[sound:k-3663_宮殿.mp3]	palace<br> <b>宮殿</b> <br> (きゅうでん)
(<b>明治</b>) 明治時代に日本は急速に近代化しました。	[sound:s-3853_明治時代に日本は急速に近代化しました。.mp3] <br> めいじじだいににほんはきゅうそくにきんだいかしました。 <br> Japan modernized rapidly during the Meiji era.
[sound:s-3843_彼は強制労働をしている。.mp3]	(<b>強制</b>) 彼は強制労働をしている。<br> かれはきょうせいろうどうをしている。 <br>He is doing forced labor.	
州政府	[sound:k-3854_州政府.mp3]<br>しゅうせいふ <br> state government
state government	<b>州政府<b> <br> しゅうせいふ <br>[sound:k-3854_州政府.mp3]
[sound:k-3854_州政府.mp3]	state government<br> <b>州政府</b> <br> (しゅうせいふ)
(<b>治安</b>) この地域は治安が良いです。	[sound:s-3854_この地域は治安が良いです。.mp3] <br> このちいきはちあんがいいです。 <br> This area has good public safety.
[sound:s-3844_速度制限を守ってください。.mp3]	(<b>制限</b>) 速度制限を守ってください。<br> そくどせいげんをまもってください。 <br>Please observe the speed limit.	
広州	[sound:k-3855_広州.mp3]<br>こうしゅう <br> Guangzhou (China), Canton
Guangzhou (China), Canton	<b>広州<b> <br> こうしゅう <br>[sound:k-3855_広州.mp3]
[sound:k-3855_広州.mp3]	Guangzhou<br> <b>China), Canton (広州</b> <br> (こうしゅう)
(<b>統治</b>) 彼はその国の王として統治しています。	[sound:s-3855_彼はその国の王として統治しています。.mp3] <br> かれはそのくにのおうとしてとうちしています。 <br> He rules as the king of that country.
[sound:s-3845_その映画の制作が完了しました。.mp3]	(<b>制作</b>) その映画の制作が完了しました。<br> そのえいがのせいさくがかんりょうしました。 <br>The production of the movie has been completed.	
沿海州	[sound:k-3856_沿海州.mp3]<br>えんかいしゅう <br> (Russian) maritime provinces
(Russian) maritime provinces	<b>沿海州<b> <br> えんかいしゅう <br>[sound:k-3856_沿海州.mp3]
[sound:k-3856_沿海州.mp3]	(Russian) maritime provinces<br> <b>沿海州</b> <br> (えんかいしゅう)
(<b>自治省</b>) 自治省は地方自治体の政策をサポートします。	[sound:s-3856_自治省は地方自治体の政策をサポートします。.mp3] <br> じちしょうはちほうじちたいのせいさくをさぽーとします。 <br> The Ministry of Home Affairs supports the policies of local governments.
[sound:s-3846_新しい法律が制定されました。.mp3]	(<b>制定</b>) 新しい法律が制定されました。<br> あたらしいほうりつがせいていされました。 <br>A new law has been enacted.	
州	[sound:k-3857_州.mp3]<br>す <br> sandbank, sandbar
sandbank, sandbar	<b>州<b> <br> す <br>[sound:k-3857_州.mp3]
[sound:k-3857_州.mp3]	sandbank, sandbar<br> <b>州</b> <br> (す)
(<b>制度</b>) その制度は改善が必要です。	[sound:s-3857_その制度は改善が必要です。.mp3] <br> そのせいどはかいぜんがひつようです。 <br> This system needs improvement.
[sound:s-3847_彼の家族は政治に関わっています。.mp3]	(<b>政治</b>) 彼の家族は政治に関わっています。<br> かれのかぞくはせいじにかかわっています。 <br>His family is involved in politics.	
大洋州	[sound:k-3858_大洋州.mp3]<br>たいようしゅう <br> Oceania, Pacific Ocean countries
Oceania, Pacific Ocean countries	<b>大洋州<b> <br> たいようしゅう <br>[sound:k-3858_大洋州.mp3]
[sound:k-3858_大洋州.mp3]	Oceania, Pacific Ocean countries<br> <b>大洋州</b> <br> (たいようしゅう)
(<b>程度</b>) 彼の技術は高度な程度です。	[sound:s-3858_彼の技術は高度な程度です。.mp3] <br> かれのぎじゅつはこうどなていどです。 <br> His skills are at an advanced level.
[sound:s-3848_彼は将来政治家になりたいと考えています。.mp3]	(<b>政治家</b>) 彼は将来政治家になりたいと考えています。<br> かれはしょうらいせいじかになりたいとかんがえています。 <br>He wants to become a politician in the future.	
加州	[sound:k-3859_加州.mp3]<br>かしゅう <br> State of California
State of California	<b>加州<b> <br> かしゅう <br>[sound:k-3859_加州.mp3]
[sound:k-3859_加州.mp3]	State of California<br> <b>加州</b> <br> (かしゅう)
(<b>今度</b>) 今度の会議には出席できません。	[sound:s-3859_今度の会議には出席できません。.mp3] <br> こんどのかいぎにはしゅっせきできません。 <br> I cannot attend the meeting this time.
[sound:s-3849_彼の治療は成功しました。.mp3]	(<b>治療</b>) 彼の治療は成功しました。<br> かれのちりょうはせいこうしました。 <br>His treatment was successful.	
武器	[sound:k-3860_武器.mp3]<br>ぶき <br> weapon, arms, ordinance
weapon, arms, ordinance	<b>武器<b> <br> ぶき <br>[sound:k-3860_武器.mp3]
[sound:k-3860_武器.mp3]	weapon, arms, ordinance<br> <b>武器</b> <br> (ぶき)
(<b>態度</b>) 彼の態度は常に礼儀正しいです。	[sound:s-3860_彼の態度は常に礼儀正しいです。.mp3] <br> かれのたいどはつねにれいぎただしいです。 <br> His attitude is always polite.
[sound:s-3850_その地域は自治体によって管理されています。.mp3]	(<b>自治</b>) その地域は自治体によって管理されています。<br> そのちいきはじちたいによってかんりされています。 <br>The region is managed by local government.	
武装	[sound:k-3861_武装.mp3]<br>ぶそう <br> arms, armament, armed
arms, armament, armed	<b>武装<b> <br> ぶそう <br>[sound:k-3861_武装.mp3]
[sound:k-3861_武装.mp3]	arms, armament, armed<br> <b>武装</b> <br> (ぶそう)
(<b>何度</b>) 彼女に何度も謝りました。	[sound:s-3861_彼女に何度も謝りました。.mp3] <br> かのじょになんどもあやまりました。 <br> I apologized to her many times.
[sound:s-3851_彼は自治体の議員です。.mp3]	(<b>自治体</b>) 彼は自治体の議員です。<br> かれはじちたいのぎいんです。 <br>He is a member of the local government.	
武力	[sound:k-3862_武力.mp3]<br>ぶりょく <br> armed might, military power, the sword, force
armed might, military power, the sword, force	<b>武力<b> <br> ぶりょく <br>[sound:k-3862_武力.mp3]
[sound:k-3862_武力.mp3]	armed might, military power, the sword, force<br> <b>武力</b> <br> (ぶりょく)
(<b>前年度</b>) 前年度の売り上げよりも増えました。	[sound:s-3862_前年度の売り上げよりも増えました。.mp3] <br> ぜんねんどのうりあげよりもふえました。 <br> It increased compared to the previous year's sales.
[sound:s-3852_その問題は政治的なものです。.mp3]	(<b>政治的</b>) その問題は政治的なものです。<br> そのもんだいはせいじてきなものです。 <br>The issue is political.	
武道	[sound:k-3863_武道.mp3]<br>ぶどう <br> martial arts, military arts, Bushido
martial arts, military arts, Bushido	<b>武道<b> <br> ぶどう <br>[sound:k-3863_武道.mp3]
[sound:k-3863_武道.mp3]	martial arts, military arts, Bushido<br> <b>武道</b> <br> (ぶどう)
(<b>年度</b>) 	その計画は次の年度に予定されています。 <br> 	そのけいかくはつぎのねんどによていされています。 <br> The plan is scheduled for the next fiscal year.
[sound:s-3853_明治時代に日本は急速に近代化しました。.mp3]	(<b>明治</b>) 明治時代に日本は急速に近代化しました。<br> めいじじだいににほんはきゅうそくにきんだいかしました。 <br>Japan modernized rapidly during the Meiji era.	
武士	[sound:k-3864_武士.mp3]<br>ぶし, ぶふ, もののふ <br> warrior, samurai
warrior, samurai	<b>武士<b> <br> ぶし, ぶふ, もののふ <br>[sound:k-3864_武士.mp3]
[sound:k-3864_武士.mp3]	warrior, samurai<br> <b>武士</b> <br> (ぶし, ぶふ, もののふ)
[sound:s-3854_この地域は治安が良いです。.mp3]	(<b>治安</b>) この地域は治安が良いです。<br> このちいきはちあんがいいです。 <br>This area has good public safety.	
核武装	[sound:k-3865_核武装.mp3]<br>かくぶそう <br> nuclear arms
nuclear arms	<b>核武装<b> <br> かくぶそう <br>[sound:k-3865_核武装.mp3]
[sound:k-3865_核武装.mp3]	nuclear arms<br> <b>核武装</b> <br> (かくぶそう)
[sound:s-3855_彼はその国の王として統治しています。.mp3]	(<b>統治</b>) 彼はその国の王として統治しています。<br> かれはそのくにのおうとしてとうちしています。 <br>He rules as the king of that country.	
武者	[sound:k-3866_武者.mp3]<br>むしゃ <br> warrior
warrior	<b>武者<b> <br> むしゃ <br>[sound:k-3866_武者.mp3]
[sound:k-3866_武者.mp3]	warrior<br> <b>武者</b> <br> (むしゃ)
[sound:s-3856_自治省は地方自治体の政策をサポートします。.mp3]	(<b>自治省</b>) 自治省は地方自治体の政策をサポートします。<br> じちしょうはちほうじちたいのせいさくをさぽーとします。 <br>The Ministry of Home Affairs supports the policies of local governments.	
武将	[sound:k-3867_武将.mp3]<br>ぶしょう <br> military commander
military commander	<b>武将<b> <br> ぶしょう <br>[sound:k-3867_武将.mp3]
[sound:k-3867_武将.mp3]	military commander<br> <b>武将</b> <br> (ぶしょう)
[sound:s-3857_その制度は改善が必要です。.mp3]	(<b>制度</b>) その制度は改善が必要です。<br> そのせいどはかいぜんがひつようです。 <br>This system needs improvement.	
武家	[sound:k-3868_武家.mp3]<br>ぶけ <br> samurai, warrior, military family
samurai, warrior, military family	<b>武家<b> <br> ぶけ <br>[sound:k-3868_武家.mp3]
[sound:k-3868_武家.mp3]	samurai, warrior, military family<br> <b>武家</b> <br> (ぶけ)
[sound:s-3858_彼の技術は高度な程度です。.mp3]	(<b>程度</b>) 彼の技術は高度な程度です。<br> かれのぎじゅつはこうどなていどです。 <br>His skills are at an advanced level.	
文武	[sound:k-3869_文武.mp3]<br>ぶんぶ <br> literary and military arts, the pen and the sword
literary and military arts, the pen and the sword	<b>文武<b> <br> ぶんぶ <br>[sound:k-3869_文武.mp3]
[sound:k-3869_文武.mp3]	literary and military arts, the pen and the sword<br> <b>文武</b> <br> (ぶんぶ)
[sound:s-3859_今度の会議には出席できません。.mp3]	(<b>今度</b>) 今度の会議には出席できません。<br> こんどのかいぎにはしゅっせきできません。 <br>I cannot attend the meeting this time.	
声	[sound:k-3870_声.mp3]<br>こえ <br> voice
voice	<b>声<b> <br> こえ <br>[sound:k-3870_声.mp3]
[sound:k-3870_声.mp3]	voice<br> <b>声</b> <br> (こえ)
[sound:s-3860_彼の態度は常に礼儀正しいです。.mp3]	(<b>態度</b>) 彼の態度は常に礼儀正しいです。<br> かれのたいどはつねにれいぎただしいです。 <br>His attitude is always polite.	
声明	[sound:k-3871_声明.mp3]<br>せいめい <br> declaration, statement, proclamation
declaration, statement, proclamation	<b>声明<b> <br> せいめい <br>[sound:k-3871_声明.mp3]
[sound:k-3871_声明.mp3]	declaration, statement, proclamation<br> <b>声明</b> <br> (せいめい)
[sound:s-3861_彼女に何度も謝りました。.mp3]	(<b>何度</b>) 彼女に何度も謝りました。<br> かのじょになんどもあやまりました。 <br>I apologized to her many times.	
音声	[sound:k-3872_音声.mp3]<br>おんせい, おんじょう <br> voice, (the concept of) sound
voice, (the concept of) sound	<b>音声<b> <br> おんせい, おんじょう <br>[sound:k-3872_音声.mp3]
[sound:k-3872_音声.mp3]	voice,<br> <b>the concept of) sound (音声</b> <br> (おんせい, おんじょう)
[sound:s-3862_前年度の売り上げよりも増えました。.mp3]	(<b>前年度</b>) 前年度の売り上げよりも増えました。<br> ぜんねんどのうりあげよりもふえました。 <br>It increased compared to the previous year's sales.	
歓声	[sound:k-3873_歓声.mp3]<br>かんせい <br> cheer, shout of joy
cheer, shout of joy	<b>歓声<b> <br> かんせい <br>[sound:k-3873_歓声.mp3]
[sound:k-3873_歓声.mp3]	cheer, shout of joy<br> <b>歓声</b> <br> (かんせい)
声援	[sound:k-3874_声援.mp3]<br>せいえん <br> encouragement, cheering, support
encouragement, cheering, support	<b>声援<b> <br> せいえん <br>[sound:k-3874_声援.mp3]
[sound:k-3874_声援.mp3]	encouragement, cheering, support<br> <b>声援</b> <br> (せいえん)
声楽	[sound:k-3875_声楽.mp3]<br>せいがく <br> vocal music
vocal music	<b>声楽<b> <br> せいがく <br>[sound:k-3875_声楽.mp3]
[sound:k-3875_声楽.mp3]	vocal music<br> <b>声楽</b> <br> (せいがく)
第一声	[sound:k-3876_第一声.mp3]<br>だいいっせい <br> first tone, first speech
first tone, first speech	<b>第一声<b> <br> だいいっせい <br>[sound:k-3876_第一声.mp3]
[sound:k-3876_第一声.mp3]	first tone, first speech<br> <b>第一声</b> <br> (だいいっせい)
掛け声	[sound:k-3877_掛け声.mp3]<br>かけごえ <br> yell used to time or encourage activity (e.g. "Heave ho!", "On three ... One, two, three!" in English), enthusiastic shout from the audience (e.g. in kabuki), shouting (in concerts)
yell used to time or encourage activity (e.g. "Heave ho!", "On three ... One, two, three!" in English), enthusiastic shout from the audience (e.g. in kabuki), shouting (in concerts)	<b>掛け声<b> <br> かけごえ <br>[sound:k-3877_掛け声.mp3]
[sound:k-3877_掛け声.mp3]	yell used to time or encourage activity<br> <b>e.g. "Heave ho!", "On three ... One, two, three!" in English), enthusiastic shout from the audience (e.g. in kabuki), shouting (in concerts) (掛け声</b> <br> (かけごえ)
歌声	[sound:k-3878_歌声.mp3]<br>うたごえ <br> singing voice
singing voice	<b>歌声<b> <br> うたごえ <br>[sound:k-3878_歌声.mp3]
[sound:k-3878_歌声.mp3]	singing voice<br> <b>歌声</b> <br> (うたごえ)
声高	[sound:k-3879_声高.mp3]<br>こわだか <br> with a loud voice
with a loud voice	<b>声高<b> <br> こわだか <br>[sound:k-3879_声高.mp3]
[sound:k-3879_声高.mp3]	with a loud voice<br> <b>声高</b> <br> (こわだか)
質	[sound:k-3880_質.mp3]<br>しつ <br> quality
quality	<b>質<b> <br> しつ <br>[sound:k-3880_質.mp3]
[sound:k-3880_質.mp3]	quality<br> <b>質</b> <br> (しつ)
質問	[sound:k-3881_質問.mp3]<br>しつもん <br> question, inquiry, enquiry
question, inquiry, enquiry	<b>質問<b> <br> しつもん <br>[sound:k-3881_質問.mp3]
[sound:k-3881_質問.mp3]	question, inquiry, enquiry<br> <b>質問</b> <br> (しつもん)
実質	[sound:k-3882_実質.mp3]<br>じっしつ <br> substance, essence
substance, essence	<b>実質<b> <br> じっしつ <br>[sound:k-3882_実質.mp3]
[sound:k-3882_実質.mp3]	substance, essence<br> <b>実質</b> <br> (じっしつ)
物質	[sound:k-3883_物質.mp3]<br>ぶっしつ <br> material, substance
material, substance	<b>物質<b> <br> ぶっしつ <br>[sound:k-3883_物質.mp3]
[sound:k-3883_物質.mp3]	material, substance<br> <b>物質</b> <br> (ぶっしつ)
実質的	[sound:k-3884_実質的.mp3]<br>じっしつてき <br> substantial
substantial	<b>実質的<b> <br> じっしつてき <br>[sound:k-3884_実質的.mp3]
[sound:k-3884_実質的.mp3]	substantial<br> <b>実質的</b> <br> (じっしつてき)
体質	[sound:k-3885_体質.mp3]<br>たいしつ <br> constitution (physical), genetic make-up, predisposition (to disease)
constitution (physical), genetic make-up, predisposition (to disease)	<b>体質<b> <br> たいしつ <br>[sound:k-3885_体質.mp3]
[sound:k-3885_体質.mp3]	constitution<br> <b>physical), genetic make-up, predisposition (to disease) (体質</b> <br> (たいしつ)
質疑	[sound:k-3886_質疑.mp3]<br>しつぎ <br> question; interpellation
question; interpellation	<b>質疑<b> <br> しつぎ <br>[sound:k-3886_質疑.mp3]
[sound:k-3886_質疑.mp3]	question; interpellation<br> <b>質疑</b> <br> (しつぎ)
本質	[sound:k-3887_本質.mp3]<br>ほんしつ <br> essence, true nature, substance, reality
essence, true nature, substance, reality	<b>本質<b> <br> ほんしつ <br>[sound:k-3887_本質.mp3]
[sound:k-3887_本質.mp3]	essence, true nature, substance, reality<br> <b>本質</b> <br> (ほんしつ)
人質	[sound:k-3888_人質.mp3]<br>ひとじち <br> hostage, prisoner
hostage, prisoner	<b>人質<b> <br> ひとじち <br>[sound:k-3888_人質.mp3]
[sound:k-3888_人質.mp3]	hostage, prisoner<br> <b>人質</b> <br> (ひとじち)
品質	[sound:k-3889_品質.mp3]<br>ひんしつ <br> (material) quality
(material) quality	<b>品質<b> <br> ひんしつ <br>[sound:k-3889_品質.mp3]
[sound:k-3889_品質.mp3]	(material) quality<br> <b>品質</b> <br> (ひんしつ)
念	[sound:k-3890_念.mp3]<br>ねん <br> sense, idea, thought, feeling, desire, concern, attention, care
sense, idea, thought, feeling, desire, concern, attention, care	<b>念<b> <br> ねん <br>[sound:k-3890_念.mp3]
[sound:k-3890_念.mp3]	sense, idea, thought, feeling, desire, concern, attention, care<br> <b>念</b> <br> (ねん)
記念	[sound:k-3891_記念.mp3]<br>きねん <br> commemoration, memory
commemoration, memory	<b>記念<b> <br> きねん <br>[sound:k-3891_記念.mp3]
[sound:k-3891_記念.mp3]	commemoration, memory<br> <b>記念</b> <br> (きねん)
懸念	[sound:k-3892_懸念.mp3]<br>けねん <br> worry, fear, anxiety, concern
worry, fear, anxiety, concern	<b>懸念<b> <br> けねん <br>[sound:k-3892_懸念.mp3]
[sound:k-3892_懸念.mp3]	worry, fear, anxiety, concern<br> <b>懸念</b> <br> (けねん)
残念	[sound:k-3893_残念.mp3]<br>ざんねん <br> deplorable, bad luck, regret, disappointment
deplorable, bad luck, regret, disappointment	<b>残念<b> <br> ざんねん <br>[sound:k-3893_残念.mp3]
[sound:k-3893_残念.mp3]	deplorable, bad luck, regret, disappointment<br> <b>残念</b> <br> (ざんねん)
理念	[sound:k-3894_理念.mp3]<br>りねん <br> idea
idea	<b>理念<b> <br> りねん <br>[sound:k-3894_理念.mp3]
[sound:k-3894_理念.mp3]	idea<br> <b>理念</b> <br> (りねん)
念頭	[sound:k-3895_念頭.mp3]<br>ねんとう <br> mind
mind	<b>念頭<b> <br> ねんとう <br>[sound:k-3895_念頭.mp3]
[sound:k-3895_念頭.mp3]	mind<br> <b>念頭</b> <br> (ねんとう)
概念	[sound:k-3896_概念.mp3]<br>がいねん <br> general idea, concept, notion
general idea, concept, notion	<b>概念<b> <br> がいねん <br>[sound:k-3896_概念.mp3]
[sound:k-3896_概念.mp3]	general idea, concept, notion<br> <b>概念</b> <br> (がいねん)
記念日	[sound:k-3897_記念日.mp3]<br>きねんび <br> holiday, anniversary, memorial day
holiday, anniversary, memorial day	<b>記念日<b> <br> きねんび <br>[sound:k-3897_記念日.mp3]
[sound:k-3897_記念日.mp3]	holiday, anniversary, memorial day<br> <b>記念日</b> <br> (きねんび)
信念	[sound:k-3898_信念.mp3]<br>しんねん <br> belief, faith, conviction
belief, faith, conviction	<b>信念<b> <br> しんねん <br>[sound:k-3898_信念.mp3]
[sound:k-3898_信念.mp3]	belief, faith, conviction<br> <b>信念</b> <br> (しんねん)
断念	[sound:k-3899_断念.mp3]<br>だんねん <br> abandoning (hope, plans), giving up
abandoning (hope, plans), giving up	<b>断念<b> <br> だんねん <br>[sound:k-3899_断念.mp3]
[sound:k-3899_断念.mp3]	abandoning<br> <b>hope, plans), giving up (断念</b> <br> (だんねん)
期待	[sound:k-3900_期待.mp3]<br>きたい <br> expectation, anticipation, hope
expectation, anticipation, hope	<b>期待<b> <br> きたい <br>[sound:k-3900_期待.mp3]
[sound:k-3900_期待.mp3]	expectation, anticipation, hope<br> <b>期待</b> <br> (きたい)
招待	[sound:k-3901_招待.mp3]<br>しょうたい <br> invitation
invitation	<b>招待<b> <br> しょうたい <br>[sound:k-3901_招待.mp3]
[sound:k-3901_招待.mp3]	invitation<br> <b>招待</b> <br> (しょうたい)
待遇	[sound:k-3902_待遇.mp3]<br>たいぐう <br> treatment, reception
treatment, reception	<b>待遇<b> <br> たいぐう <br>[sound:k-3902_待遇.mp3]
[sound:k-3902_待遇.mp3]	treatment, reception<br> <b>待遇</b> <br> (たいぐう)
待ち	[sound:k-3903_待ち.mp3]<br>まち <br> waiting, waiting time
waiting, waiting time	<b>待ち<b> <br> まち <br>[sound:k-3903_待ち.mp3]
[sound:k-3903_待ち.mp3]	waiting, waiting time<br> <b>待ち</b> <br> (まち)
接待	[sound:k-3904_接待.mp3]<br>せったい <br> reception, welcome, serving (food); business entertainment
reception, welcome, serving (food); business entertainment	<b>接待<b> <br> せったい <br>[sound:k-3904_接待.mp3]
[sound:k-3904_接待.mp3]	reception, welcome, serving<br> <b>food); business entertainment (接待</b> <br> (せったい)
期待感	[sound:k-3905_期待感.mp3]<br>きたいかん <br> feeling of expectation
feeling of expectation	<b>期待感<b> <br> きたいかん <br>[sound:k-3905_期待感.mp3]
[sound:k-3905_期待感.mp3]	feeling of expectation<br> <b>期待感</b> <br> (きたいかん)
虐待	[sound:k-3906_虐待.mp3]<br>ぎゃくたい <br> ill-treatment, oppression
ill-treatment, oppression	<b>虐待<b> <br> ぎゃくたい <br>[sound:k-3906_虐待.mp3]
[sound:k-3906_虐待.mp3]	ill-treatment, oppression<br> <b>虐待</b> <br> (ぎゃくたい)
待つ	[sound:k-3907_待つ.mp3]<br>まつ <br> to wait; to await, to look forward to, to anticipate; (usu. in negative form) to depend on, to need
to wait; to await, to look forward to, to anticipate; (usu. in negative form) to depend on, to need	<b>待つ<b> <br> まつ <br>[sound:k-3907_待つ.mp3]
[sound:k-3907_待つ.mp3]	to wait; to await, to look forward to, to anticipate;<br> <b>usu. in negative form) to depend on, to need (待つ</b> <br> (まつ)
待機	[sound:k-3908_待機.mp3]<br>たいき <br> alert, standby, await an opportunity, wait for orders
alert, standby, await an opportunity, wait for orders	<b>待機<b> <br> たいき <br>[sound:k-3908_待機.mp3]
[sound:k-3908_待機.mp3]	alert, standby, await an opportunity, wait for orders<br> <b>待機</b> <br> (たいき)
待望	[sound:k-3909_待望.mp3]<br>たいぼう <br> expectant waiting; long-awaited
expectant waiting; long-awaited	<b>待望<b> <br> たいぼう <br>[sound:k-3909_待望.mp3]
[sound:k-3909_待望.mp3]	expectant waiting; long-awaited<br> <b>待望</b> <br> (たいぼう)
試み	[sound:k-3910_試み.mp3]<br>こころみ <br> trial, experiment
trial, experiment	<b>試み<b> <br> こころみ <br>[sound:k-3910_試み.mp3]
[sound:k-3910_試み.mp3]	trial, experiment<br> <b>試み</b> <br> (こころみ)
試合	[sound:k-3911_試合.mp3]<br>しあい <br> match, game, bout, contest
match, game, bout, contest	<b>試合<b> <br> しあい <br>[sound:k-3911_試合.mp3]
[sound:k-3911_試合.mp3]	match, game, bout, contest<br> <b>試合</b> <br> (しあい)
試験	[sound:k-3912_試験.mp3]<br>しけん <br> examination, test, study, trial
examination, test, study, trial	<b>試験<b> <br> しけん <br>[sound:k-3912_試験.mp3]
[sound:k-3912_試験.mp3]	examination, test, study, trial<br> <b>試験</b> <br> (しけん)
入試	[sound:k-3913_入試.mp3]<br>にゅうし <br> entrance examination
entrance examination	<b>入試<b> <br> にゅうし <br>[sound:k-3913_入試.mp3]
[sound:k-3913_入試.mp3]	entrance examination<br> <b>入試</b> <br> (にゅうし)
試算	[sound:k-3914_試算.mp3]<br>しさん <br> trial calculation, preliminary calculation
trial calculation, preliminary calculation	<b>試算<b> <br> しさん <br>[sound:k-3914_試算.mp3]
[sound:k-3914_試算.mp3]	trial calculation, preliminary calculation<br> <b>試算</b> <br> (しさん)
試案	[sound:k-3915_試案.mp3]<br>しあん <br> tentative
tentative	<b>試案<b> <br> しあん <br>[sound:k-3915_試案.mp3]
[sound:k-3915_試案.mp3]	tentative<br> <b>試案</b> <br> (しあん)
試練	[sound:k-3916_試練.mp3]<br>しれん <br> test, trial, probation, ordeal, tribulation
test, trial, probation, ordeal, tribulation	<b>試練<b> <br> しれん <br>[sound:k-3916_試練.mp3]
[sound:k-3916_試練.mp3]	test, trial, probation, ordeal, tribulation<br> <b>試練</b> <br> (しれん)
試す	[sound:k-3917_試す.mp3]<br>ためす <br> to attempt, to test
to attempt, to test	<b>試す<b> <br> ためす <br>[sound:k-3917_試す.mp3]
[sound:k-3917_試す.mp3]	to attempt, to test<br> <b>試す</b> <br> (ためす)
試作	[sound:k-3918_試作.mp3]<br>しさく <br> trial manufacture, experiment, test piece, prototype
trial manufacture, experiment, test piece, prototype	<b>試作<b> <br> しさく <br>[sound:k-3918_試作.mp3]
[sound:k-3918_試作.mp3]	trial manufacture, experiment, test piece, prototype<br> <b>試作</b> <br> (しさく)
試金石	[sound:k-3919_試金石.mp3]<br>しきんせき <br> touchstone, test case
touchstone, test case	<b>試金石<b> <br> しきんせき <br>[sound:k-3919_試金石.mp3]
[sound:k-3919_試金石.mp3]	touchstone, test case<br> <b>試金石</b> <br> (しきんせき)
家族	[sound:k-3920_家族.mp3]<br>かぞく <br> family, members of a family
family, members of a family	<b>家族<b> <br> かぞく <br>[sound:k-3920_家族.mp3]
[sound:k-3920_家族.mp3]	family, members of a family<br> <b>家族</b> <br> (かぞく)
族	[sound:k-3921_族.mp3]<br>ぞく <br> tribe, clan, band; (taxonomical) tribe; group (of the periodic table)
tribe, clan, band; (taxonomical) tribe; group (of the periodic table)	<b>族<b> <br> ぞく <br>[sound:k-3921_族.mp3]
[sound:k-3921_族.mp3]	tribe, clan, band;<br> <b>taxonomical) tribe; group (of the periodic table) (族</b> <br> (ぞく)
民族	[sound:k-3922_民族.mp3]<br>みんぞく <br> people, race, nation
people, race, nation	<b>民族<b> <br> みんぞく <br>[sound:k-3922_民族.mp3]
[sound:k-3922_民族.mp3]	people, race, nation<br> <b>民族</b> <br> (みんぞく)
遺族	[sound:k-3923_遺族.mp3]<br>いぞく <br> bereaved family
bereaved family	<b>遺族<b> <br> いぞく <br>[sound:k-3923_遺族.mp3]
[sound:k-3923_遺族.mp3]	bereaved family<br> <b>遺族</b> <br> (いぞく)
民族主義	[sound:k-3924_民族主義.mp3]<br>みんぞくしゅぎ <br> nationalism
nationalism	<b>民族主義<b> <br> みんぞくしゅぎ <br>[sound:k-3924_民族主義.mp3]
[sound:k-3924_民族主義.mp3]	nationalism<br> <b>民族主義</b> <br> (みんぞくしゅぎ)
親族	[sound:k-3925_親族.mp3]<br>しんぞく <br> relatives
relatives	<b>親族<b> <br> しんぞく <br>[sound:k-3925_親族.mp3]
[sound:k-3925_親族.mp3]	relatives<br> <b>親族</b> <br> (しんぞく)
一族	[sound:k-3926_一族.mp3]<br>いちぞく <br> family, relatives, dependents; household
family, relatives, dependents; household	<b>一族<b> <br> いちぞく <br>[sound:k-3926_一族.mp3]
[sound:k-3926_一族.mp3]	family, relatives, dependents; household<br> <b>一族</b> <br> (いちぞく)
部族	[sound:k-3927_部族.mp3]<br>ぶぞく <br> tribe, clan, house
tribe, clan, house	<b>部族<b> <br> ぶぞく <br>[sound:k-3927_部族.mp3]
[sound:k-3927_部族.mp3]	tribe, clan, house<br> <b>部族</b> <br> (ぶぞく)
家族計画	[sound:k-3928_家族計画.mp3]<br>かぞくけいかく <br> family planning
family planning	<b>家族計画<b> <br> かぞくけいかく <br>[sound:k-3928_家族計画.mp3]
[sound:k-3928_家族計画.mp3]	family planning<br> <b>家族計画</b> <br> (かぞくけいかく)
貴族	[sound:k-3929_貴族.mp3]<br>きぞく <br> noble, aristocrat
noble, aristocrat	<b>貴族<b> <br> きぞく <br>[sound:k-3929_貴族.mp3]
[sound:k-3929_貴族.mp3]	noble, aristocrat<br> <b>貴族</b> <br> (きぞく)
対象	[sound:k-3930_対象.mp3]<br>たいしょう <br> target, object (of worship, study, etc.), subject (of taxation, etc.)
target, object (of worship, study, etc.), subject (of taxation, etc.)	<b>対象<b> <br> たいしょう <br>[sound:k-3930_対象.mp3]
[sound:k-3930_対象.mp3]	target, object<br> <b>of worship, study, etc.), subject (of taxation, etc.) (対象</b> <br> (たいしょう)
印象	[sound:k-3931_印象.mp3]<br>いんしょう <br> impression
impression	<b>印象<b> <br> いんしょう <br>[sound:k-3931_印象.mp3]
[sound:k-3931_印象.mp3]	impression<br> <b>印象</b> <br> (いんしょう)
現象	[sound:k-3932_現象.mp3]<br>げんしょう <br> phenomenon
phenomenon	<b>現象<b> <br> げんしょう <br>[sound:k-3932_現象.mp3]
[sound:k-3932_現象.mp3]	phenomenon<br> <b>現象</b> <br> (げんしょう)
象	[sound:k-3933_象.mp3]<br>しょう <br> phenomenon
phenomenon	<b>象<b> <br> しょう <br>[sound:k-3933_象.mp3]
[sound:k-3933_象.mp3]	phenomenon<br> <b>象</b> <br> (しょう)
気象庁	[sound:k-3934_気象庁.mp3]<br>きしょうちょう <br> Meteorological Agency
