[sound:s-0281_彼は私の前に立っています。.mp3]	<b>前</b> <br> 彼は私の前に立っています。<br> かれはわたしのまえにたっています <br>He is standing in front of me.
[sound:k-0505_新しい.mp3]	new<br> <b>新しい</b> <br> (あたらしい)
<b>確保</b> <br> 資料の安全を確保するためにセキュリティを強化しました。	[sound:s-0505_資料の安全を確保するためにセキュリティを強化しました。.mp3] <br> しりょうのあんぜんをかくほするためにせきゅりてぃをきょうかしました。 <br>Security has been strengthened to ensure the safety of the documents.
[sound:s-0505_資料の安全を確保するためにセキュリティを強化しました。.mp3]	<b>確保</b> <br> 資料の安全を確保するためにセキュリティを強化しました。<br> しりょうのあんぜんをかくほするためにせきゅりてぃをきょうかしました <br>Security has been strengthened to ensure the safety of the documents.
新幹線	[sound:k-0506_新幹線.mp3]<br>しんかんせん <br> bullet train (very high speed), Shinkansen
bullet train (very high speed), Shinkansen	<b>新幹線<b> <br> しんかんせん <br>[sound:k-0506_新幹線.mp3]
[sound:k-0506_新幹線.mp3]	bullet train<br> <b>very high speed), Shinkansen (新幹線</b> <br> (しんかんせん)
<b>保険</b> <br> 保険に加入することは重要です。	[sound:s-0506_保険に加入することは重要です。.mp3] <br> ほけんにかにゅうすることはじゅうようです。 <br>It is important to enroll in insurance.
[sound:s-0506_保険に加入することは重要です。.mp3]	<b>保険</b> <br> 保険に加入することは重要です。<br> ほけんにかにゅうすることはじゅうようです <br>It is important to enroll in insurance.
革新	[sound:k-0507_革新.mp3]<br>かくしん <br> reform, innovation
reform, innovation	<b>革新<b> <br> かくしん <br>[sound:k-0507_革新.mp3]
[sound:k-0507_革新.mp3]	reform, innovation<br> <b>革新</b> <br> (かくしん)
<b>保守</b> <br> 彼は保守的な考え方を持っています。	[sound:s-0507_彼は保守的な考え方を持っています。.mp3] <br> かれはほしゅてきなかんがえかたをもっています。 <br>He has conservative views.
[sound:s-0507_彼は保守的な考え方を持っています。.mp3]	<b>保守</b> <br> 彼は保守的な考え方を持っています。<br> かれはほしゅてきなかんがえかたをもっています <br>He has conservative views.
最新	[sound:k-0508_最新.mp3]<br>さいしん <br> latest, newest, late-breaking (news)
latest, newest, late-breaking (news)	<b>最新<b> <br> さいしん <br>[sound:k-0508_最新.mp3]
[sound:k-0508_最新.mp3]	latest, newest, late-breaking<br> <b>news) (最新</b> <br> (さいしん)
<b>保全</b> <br> その動物園は絶滅危惧種の保全活動を行っています。	[sound:s-0508_その動物園は絶滅危惧種の保全活動を行っています。.mp3] <br> そのどうぶつえんはぜつめつきぐしゅのほぜんかつどうをおこなっています。 <br>The zoo is engaged in conservation efforts for endangered species.
[sound:s-0508_その動物園は絶滅危惧種の保全活動を行っています。.mp3]	<b>保全</b> <br> その動物園は絶滅危惧種の保全活動を行っています。<br> そのどうぶつえんはぜつめつきぐしゅのほぜんかつどうをおこなっています <br>The zoo is engaged in conservation efforts for endangered species.
新規	[sound:k-0509_新規.mp3]<br>しんき <br> new, fresh; new customer; new rules or regulations
new, fresh; new customer; new rules or regulations	<b>新規<b> <br> しんき <br>[sound:k-0509_新規.mp3]
[sound:k-0509_新規.mp3]	new, fresh; new customer; new rules or regulations<br> <b>新規</b> <br> (しんき)
<b>保証</b> <br> 購入者に製品の品質を保証します。	[sound:s-0509_購入者に製品の品質を保証します。.mp3] <br> こうにゅうしゃにせいひんのひんしつをほしょうします。 <br>The quality of the product is guaranteed to the buyer.
[sound:s-0509_購入者に製品の品質を保証します。.mp3]	<b>保証</b> <br> 購入者に製品の品質を保証します。<br> こうにゅうしゃにせいひんのひんしつをほしょうします <br>The quality of the product is guaranteed to the buyer.
現場	[sound:k-0510_現場.mp3]<br>げんば, げんじょう <br> actual spot, scene, scene of the crime
actual spot, scene, scene of the crime	<b>現場<b> <br> げんば, げんじょう <br>[sound:k-0510_現場.mp3]
[sound:k-0510_現場.mp3]	actual spot, scene, scene of the crime<br> <b>現場</b> <br> (げんば, げんじょう)
<b>担保</b> <br> 彼はローンのために家を担保にしました。	[sound:s-0510_彼はローンのために家を担保にしました。.mp3] <br> かれはろーんのためにいえをたんぽにしました。 <br>He used his house as collateral for the loan.
[sound:s-0510_彼はローンのために家を担保にしました。.mp3]	<b>担保</b> <br> 彼はローンのために家を担保にしました。<br> かれはろーんのためにいえをたんぽにしました <br>He used his house as collateral for the loan.
市場	[sound:k-0511_市場.mp3]<br>いちば <br> (town) market; (the) marketplace
(town) market; (the) marketplace	<b>市場<b> <br> いちば <br>[sound:k-0511_市場.mp3]
[sound:k-0511_市場.mp3]	(town) market;<br> <b>the) marketplace (市場</b> <br> (いちば)
<b>改革</b> <br> その政府は教育制度の改革を進めています。	[sound:s-0511_その政府は教育制度の改革を進めています。.mp3] <br> そのせいふはきょういくせいどのかいかくをすすめています。 <br>The government is pushing forward with education system reforms.
[sound:s-0511_その政府は教育制度の改革を進めています。.mp3]	<b>改革</b> <br> その政府は教育制度の改革を進めています。<br> そのせいふはきょういくせいどのかいかくをすすめています <br>The government is pushing forward with education system reforms.
場所	[sound:k-0512_場所.mp3]<br>ばしょ <br> place, location
place, location	<b>場所<b> <br> ばしょ <br>[sound:k-0512_場所.mp3]
[sound:k-0512_場所.mp3]	place, location<br> <b>場所</b> <br> (ばしょ)
<b>改正</b> <br> 法律が改正されました。	[sound:s-0512_法律が改正されました。.mp3] <br> ほうりつがかいせいされました。 <br>The law has been amended.
[sound:s-0512_法律が改正されました。.mp3]	<b>改正</b> <br> 法律が改正されました。<br> ほうりつがかいせいされました <br>The law has been amended.
立場	[sound:k-0513_立場.mp3]<br>たちば <br> standpoint, position, situation
standpoint, position, situation	<b>立場<b> <br> たちば <br>[sound:k-0513_立場.mp3]
[sound:k-0513_立場.mp3]	standpoint, position, situation<br> <b>立場</b> <br> (たちば)
<b>改善</b> <br> 彼はサービスの改善に取り組んでいます。	[sound:s-0513_彼はサービスの改善に取り組んでいます。.mp3] <br> かれはさーびすのかいぜんにとりくんでいます。 <br>He is working on improving the service.
[sound:s-0513_彼はサービスの改善に取り組んでいます。.mp3]	<b>改善</b> <br> 彼はサービスの改善に取り組んでいます。<br> かれはさーびすのかいぜんにとりくんでいます <br>He is working on improving the service.
工場	[sound:k-0514_工場.mp3]<br>こうじょう, こうば <br> factory, plant, mill, workshop
factory, plant, mill, workshop	<b>工場<b> <br> こうじょう, こうば <br>[sound:k-0514_工場.mp3]
[sound:k-0514_工場.mp3]	factory, plant, mill, workshop<br> <b>工場</b> <br> (こうじょう, こうば)
<b>改造</b> <br> 彼は古い家を改造してホテルにした。	[sound:s-0514_彼は古い家を改造してホテルにした。.mp3] <br> かれはふるいいえをかいぞうしてほてるにした。 <br>He converted an old house into a hotel.
[sound:s-0514_彼は古い家を改造してホテルにした。.mp3]	<b>改造</b> <br> 彼は古い家を改造してホテルにした。<br> かれはふるいいえをかいぞうしてほてるにした <br>He converted an old house into a hotel.
会場	[sound:k-0515_会場.mp3]<br>かいじょう <br> assembly hall, meeting place, the grounds
assembly hall, meeting place, the grounds	<b>会場<b> <br> かいじょう <br>[sound:k-0515_会場.mp3]
[sound:k-0515_会場.mp3]	assembly hall, meeting place, the grounds<br> <b>会場</b> <br> (かいじょう)
<b>改める</b> <br> 彼は態度を改めました。	[sound:s-0515_彼は態度を改めました。.mp3] <br> かれはたいどをあらためました。 <br>He changed his attitude.
[sound:s-0515_彼は態度を改めました。.mp3]	<b>改める</b> <br> 彼は態度を改めました。<br> かれはたいどをあらためました <br>He changed his attitude.
劇場	[sound:k-0516_劇場.mp3]<br>げきじょう <br> theatre, theater, playhouse
theatre, theater, playhouse	<b>劇場<b> <br> げきじょう <br>[sound:k-0516_劇場.mp3]
[sound:k-0516_劇場.mp3]	theatre, theater, playhouse<br> <b>劇場</b> <br> (げきじょう)
<b>改定</b> <br> その計画は改定されました。	[sound:s-0516_その計画は改定されました。.mp3] <br> そのけいかくはかいていされました。 <br>The plan has been revised.
[sound:s-0516_その計画は改定されました。.mp3]	<b>改定</b> <br> その計画は改定されました。<br> そのけいかくはかいていされました <br>The plan has been revised.
出場	[sound:k-0517_出場.mp3]<br>しゅつじょう <br> (stage) appearance, participation, performance
(stage) appearance, participation, performance	<b>出場<b> <br> しゅつじょう <br>[sound:k-0517_出場.mp3]
[sound:k-0517_出場.mp3]	(stage) appearance, participation, performance<br> <b>出場</b> <br> (しゅつじょう)
<b>改憲</b> <br> 政府は憲法の改憲を検討しています。	[sound:s-0517_政府は憲法の改憲を検討しています。.mp3] <br> せいふはけんぽうのかいけんをけんとうしています。 <br>The government is considering an amendment to the constitution.
[sound:s-0517_政府は憲法の改憲を検討しています。.mp3]	<b>改憲</b> <br> 政府は憲法の改憲を検討しています。<br> せいふはけんぽうのかいけんをけんとうしています <br>The government is considering an amendment to the constitution.
場面	[sound:k-0518_場面.mp3]<br>ばめん <br> scene, setting (e.g. of novel)
scene, setting (e.g. of novel)	<b>場面<b> <br> ばめん <br>[sound:k-0518_場面.mp3]
[sound:k-0518_場面.mp3]	scene, setting<br> <b>e.g. of novel) (場面</b> <br> (ばめん)
<b>改良</b> <br> 彼は製品を改良して市場に出しました。	[sound:s-0518_彼は製品を改良して市場に出しました。.mp3] <br> かれはせいひんをかいりょうしてしじょうにだしました。 <br>He improved the product and released it to the market.
[sound:s-0518_彼は製品を改良して市場に出しました。.mp3]	<b>改良</b> <br> 彼は製品を改良して市場に出しました。<br> かれはせいひんをかいりょうしてしじょうにだしました <br>He improved the product and released it to the market.
職場	[sound:k-0519_職場.mp3]<br>しょくば <br> one's post, place of work, workplace
one's post, place of work, workplace	<b>職場<b> <br> しょくば <br>[sound:k-0519_職場.mp3]
[sound:k-0519_職場.mp3]	one's post, place of work, workplace<br> <b>職場</b> <br> (しょくば)
<b>改選</b> <br> その地域では新しい議員の改選が行われました。	[sound:s-0519_その地域では新しい議員の改選が行われました。.mp3] <br> そのちいきではあたらしいぎいんのかいせんがおこなわれました。 <br>The area conducted a new election for the members of parliament.
[sound:s-0519_その地域では新しい議員の改選が行われました。.mp3]	<b>改選</b> <br> その地域では新しい議員の改選が行われました。<br> そのちいきではあたらしいぎいんのかいせんがおこなわれました <br>The area conducted a new election for the members of parliament.
お金	[sound:k-0520_お金.mp3]<br>おかね <br> money
money	<b>お金<b> <br> おかね <br>[sound:k-0520_お金.mp3]
[sound:k-0520_お金.mp3]	money<br> <b>お金</b> <br> (おかね)
<b>改修</b> <br> この建物は改修工事中です。	[sound:s-0520_この建物は改修工事中です。.mp3] <br> このたてものはかいしゅうこうじちゅうです。 <br>This building is undergoing renovation.
[sound:s-0520_この建物は改修工事中です。.mp3]	<b>改修</b> <br> この建物は改修工事中です。<br> このたてものはかいしゅうこうじちゅうです <br>This building is undergoing renovation.
金融	[sound:k-0521_金融.mp3]<br>きんゆう <br> financing, credit transacting, loaning of money, circulation of money
financing, credit transacting, loaning of money, circulation of money	<b>金融<b> <br> きんゆう <br>[sound:k-0521_金融.mp3]
[sound:k-0521_金融.mp3]	financing, credit transacting, loaning of money, circulation of money<br> <b>金融</b> <br> (きんゆう)
<b>数</b> <br> 数が足りません。	[sound:s-0521_数が足りません。.mp3] <br> かずがたりません。 <br>There are not enough numbers.
[sound:s-0521_数が足りません。.mp3]	<b>数</b> <br> 数が足りません。<br> かずがたりません <br>There are not enough numbers.
金利	[sound:k-0522_金利.mp3]<br>きんり <br> interest rates
interest rates	<b>金利<b> <br> きんり <br>[sound:k-0522_金利.mp3]
[sound:k-0522_金利.mp3]	interest rates<br> <b>金利</b> <br> (きんり)
<b>数字</b> <br> 彼は数字の計算が得意です。	[sound:s-0522_彼は数字の計算が得意です。.mp3] <br> かれはすうじのけいさんがとくいです。 <br>He is good at calculating numbers.
[sound:s-0522_彼は数字の計算が得意です。.mp3]	<b>数字</b> <br> 彼は数字の計算が得意です。<br> かれはすうじのけいさんがとくいです <br>He is good at calculating numbers.
献金	[sound:k-0523_献金.mp3]<br>けんきん <br> donation, contribution, offering
donation, contribution, offering	<b>献金<b> <br> けんきん <br>[sound:k-0523_献金.mp3]
[sound:k-0523_献金.mp3]	donation, contribution, offering<br> <b>献金</b> <br> (けんきん)
<b>多数</b> <br> 多数の人々がその提案に賛成しました。	[sound:s-0523_多数の人々がその提案に賛成しました。.mp3] <br> たすうのひとびとがそのていあんにさんせいしました。 <br>A majority of people supported the proposal.
[sound:s-0523_多数の人々がその提案に賛成しました。.mp3]	<b>多数</b> <br> 多数の人々がその提案に賛成しました。<br> たすうのひとびとがそのていあんにさんせいしました <br>A majority of people supported the proposal.
資金	[sound:k-0524_資金.mp3]<br>しきん <br> funds, capital
funds, capital	<b>資金<b> <br> しきん <br>[sound:k-0524_資金.mp3]
[sound:k-0524_資金.mp3]	funds, capital<br> <b>資金</b> <br> (しきん)
<b>定数</b> <br> その部屋の定数は10人です。	[sound:s-0524_その部屋の定数は10人です。.mp3] <br> そのへやのていすうは10にんです。 <br>The capacity of the room is 10 people.
[sound:s-0524_その部屋の定数は10人です。.mp3]	<b>定数</b> <br> その部屋の定数は10人です。<br> そのへやのていすうは10にんです <br>The capacity of the room is 10 people.
基金	[sound:k-0525_基金.mp3]<br>ききん <br> fund, foundation
fund, foundation	<b>基金<b> <br> ききん <br>[sound:k-0525_基金.mp3]
[sound:k-0525_基金.mp3]	fund, foundation<br> <b>基金</b> <br> (ききん)
<b>少数</b> <br> 少数の人々がその意見に反対しました。	[sound:s-0525_少数の人々がその意見に反対しました。.mp3] <br> しょうすうのひとびとがそのいけんにはんたいしました。 <br>A minority of people opposed the opinion.
[sound:s-0525_少数の人々がその意見に反対しました。.mp3]	<b>少数</b> <br> 少数の人々がその意見に反対しました。<br> しょうすうのひとびとがそのいけんにはんたいしました <br>A minority of people opposed the opinion.
年金	[sound:k-0526_年金.mp3]<br>ねんきん <br> annuity, pension
annuity, pension	<b>年金<b> <br> ねんきん <br>[sound:k-0526_年金.mp3]
[sound:k-0526_年金.mp3]	annuity, pension<br> <b>年金</b> <br> (ねんきん)
<b>複数</b> <br> 複数の選択肢があります。	[sound:s-0526_複数の選択肢があります。.mp3] <br> ふくすうのせんたくしゃがあります。 <br>There are multiple choices.
[sound:s-0526_複数の選択肢があります。.mp3]	<b>複数</b> <br> 複数の選択肢があります。<br> ふくすうのせんたくしゃがあります <br>There are multiple choices.
料金	[sound:k-0527_料金.mp3]<br>りょうきん <br> fee, charge, fare
fee, charge, fare	<b>料金<b> <br> りょうきん <br>[sound:k-0527_料金.mp3]
[sound:k-0527_料金.mp3]	fee, charge, fare<br> <b>料金</b> <br> (りょうきん)
<b>過半数</b> <br> この案を通すためには過半数の賛成が必要です。	[sound:s-0527_この案を通すためには過半数の賛成が必要です。.mp3] <br> このあんをとおすためにはかはんすうのさんせいがひつようです。 <br>A majority vote is needed to pass this proposal.
[sound:s-0527_この案を通すためには過半数の賛成が必要です。.mp3]	<b>過半数</b> <br> この案を通すためには過半数の賛成が必要です。<br> このあんをとおすためにはかはんすうのさんせいがひつようです <br>A majority vote is needed to pass this proposal.
金額	[sound:k-0528_金額.mp3]<br>きんがく <br> amount of money
amount of money	<b>金額<b> <br> きんがく <br>[sound:k-0528_金額.mp3]
[sound:k-0528_金額.mp3]	amount of money<br> <b>金額</b> <br> (きんがく)
<b>半数</b> <br> 半数以上の票を獲得する必要があります。	[sound:s-0528_半数以上の票を獲得する必要があります。.mp3] <br> はんすういじょうのひょうをかくとくするひつようがあります。 <br>You need to win more than half the votes.
[sound:s-0528_半数以上の票を獲得する必要があります。.mp3]	<b>半数</b> <br> 半数以上の票を獲得する必要があります。<br> はんすういじょうのひょうをかくとくするひつようがあります <br>You need to win more than half the votes.
金融機関	[sound:k-0529_金融機関.mp3]<br>きんゆうきかん <br> financial institutions, banking facilities
financial institutions, banking facilities	<b>金融機関<b> <br> きんゆうきかん <br>[sound:k-0529_金融機関.mp3]
[sound:k-0529_金融機関.mp3]	financial institutions, banking facilities<br> <b>金融機関</b> <br> (きんゆうきかん)
(回数) 会議は毎週一回行われます。	かいぎはまいしゅういっかいおこなわれます。	s-0529_かいぎはまいしゅういっかいおこなわれます。.mp3
[sound:s-0529_かいぎはまいしゅういっかいおこなわれます。.mp3]	(回数) 会議は毎週一回行われます。かいぎはまいしゅういっかいおこなわれます。The meeting is held once a week.	
委員	[sound:k-0530_委員.mp3]<br>いいん <br> committee member
committee member	<b>委員<b> <br> いいん <br>[sound:k-0530_委員.mp3]
[sound:k-0530_委員.mp3]	committee member<br> <b>委員</b> <br> (いいん)
<b>指数</b> <br> その指数は急速に上昇しています。	[sound:s-0530_その指数は急速に上昇しています。.mp3] <br> そのしすうはきゅうそくにじょうしょうしています。 <br>The index is rising rapidly.
[sound:s-0530_その指数は急速に上昇しています。.mp3]	<b>指数</b> <br> その指数は急速に上昇しています。<br> そのしすうはきゅうそくにじょうしょうしています <br>The index is rising rapidly.
委員会	[sound:k-0531_委員会.mp3]<br>いいんかい <br> committee, commission, board, panel, committee meeting
committee, commission, board, panel, committee meeting	<b>委員会<b> <br> いいんかい <br>[sound:k-0531_委員会.mp3]
[sound:k-0531_委員会.mp3]	committee, commission, board, panel, committee meeting<br> <b>委員会</b> <br> (いいんかい)
<b>記事</b> <br> 彼の新しい記事が雑誌に掲載されました。	[sound:s-0531_彼の新しい記事が雑誌に掲載されました。.mp3] <br> かれのあたらしいきじがざっしにけいさいされました。 <br>His new article was published in the magazine.
[sound:s-0531_彼の新しい記事が雑誌に掲載されました。.mp3]	<b>記事</b> <br> 彼の新しい記事が雑誌に掲載されました。<br> かれのあたらしいきじがざっしにけいさいされました <br>His new article was published in the magazine.
委員長	[sound:k-0532_委員長.mp3]<br>いいんちょう <br> committee chairman
committee chairman	<b>委員長<b> <br> いいんちょう <br>[sound:k-0532_委員長.mp3]
[sound:k-0532_委員長.mp3]	committee chairman<br> <b>委員長</b> <br> (いいんちょう)
<b>記者</b> <br> 彼女は地元の新聞社の記者です。	[sound:s-0532_彼女は地元の新聞社の記者です。.mp3] <br> かのじょはじもとのしんぶんしゃのきしゃです。 <br>She is a reporter for the local newspaper.
[sound:s-0532_彼女は地元の新聞社の記者です。.mp3]	<b>記者</b> <br> 彼女は地元の新聞社の記者です。<br> かのじょはじもとのしんぶんしゃのきしゃです <br>She is a reporter for the local newspaper.
会員	[sound:k-0533_会員.mp3]<br>かいいん <br> member, the membership
member, the membership	<b>会員<b> <br> かいいん <br>[sound:k-0533_会員.mp3]
[sound:k-0533_会員.mp3]	member, the membership<br> <b>会員</b> <br> (かいいん)
<b>記録</b> <br> 彼は新記録を樹立しました。	[sound:s-0533_彼は新記録を樹立しました。.mp3] <br> かれはしんきろくをじゅりつしました。 <br>He set a new record.
[sound:s-0533_彼は新記録を樹立しました。.mp3]	<b>記録</b> <br> 彼は新記録を樹立しました。<br> かれはしんきろくをじゅりつしました <br>He set a new record.
議員	[sound:k-0534_議員.mp3]<br>ぎいん <br> member of the Diet, congress or parliament
member of the Diet, congress or parliament	<b>議員<b> <br> ぎいん <br>[sound:k-0534_議員.mp3]
[sound:k-0534_議員.mp3]	member of the Diet, congress or parliament<br> <b>議員</b> <br> (ぎいん)
<b>書記</b> <br> 彼は会議の書記を務めています。	[sound:s-0534_彼は会議の書記を務めています。.mp3] <br> かれはかいぎのしょきをつとめています。 <br>He is serving as the secretary of the meeting.
[sound:s-0534_彼は会議の書記を務めています。.mp3]	<b>書記</b> <br> 彼は会議の書記を務めています。<br> かれはかいぎのしょきをつとめています <br>He is serving as the secretary of the meeting.
職員	[sound:k-0535_職員.mp3]<br>しょくいん <br> staff member, personnel
staff member, personnel	<b>職員<b> <br> しょくいん <br>[sound:k-0535_職員.mp3]
[sound:k-0535_職員.mp3]	staff member, personnel<br> <b>職員</b> <br> (しょくいん)
<b>記念</b> <br> その記念碑は市民によって建てられました。	[sound:s-0535_その記念碑は市民によって建てられました。.mp3] <br> そのきねんひはしみんによってたてられました。 <br>The monument was erected by the citizens.
[sound:s-0535_その記念碑は市民によって建てられました。.mp3]	<b>記念</b> <br> その記念碑は市民によって建てられました。<br> そのきねんひはしみんによってたてられました <br>The monument was erected by the citizens.
国会議員	[sound:k-0536_国会議員.mp3]<br>こっかいぎいん <br> member of National Diet, Diet member
member of National Diet, Diet member	<b>国会議員<b> <br> こっかいぎいん <br>[sound:k-0536_国会議員.mp3]
[sound:k-0536_国会議員.mp3]	member of National Diet, Diet member<br> <b>国会議員</b> <br> (こっかいぎいん)
<b>記憶</b> <br> 彼はその日の出来事をよく記憶しています。	[sound:s-0536_彼はその日の出来事をよく記憶しています。.mp3] <br> かれはそのひのできごとをよくきおくしています。 <br>He remembers the events of that day well.
[sound:s-0536_彼はその日の出来事をよく記憶しています。.mp3]	<b>記憶</b> <br> 彼はその日の出来事をよく記憶しています。<br> かれはそのひのできごとをよくきおくしています <br>He remembers the events of that day well.
社員	[sound:k-0537_社員.mp3]<br>しゃいん <br> company employee; company stockholders (esp. in legal contexts), members of a corporation
company employee; company stockholders (esp. in legal contexts), members of a corporation	<b>社員<b> <br> しゃいん <br>[sound:k-0537_社員.mp3]
[sound:k-0537_社員.mp3]	company employee; company stockholders<br> <b>esp. in legal contexts), members of a corporation (社員</b> <br> (しゃいん)
<b>記す</b> <br> その出来事を日記に記しました。	[sound:s-0537_その出来事を日記に記しました。.mp3] <br> そのできごとをにっきにしるしました。 <br>I recorded the event in my diary.
[sound:s-0537_その出来事を日記に記しました。.mp3]	<b>記す</b> <br> その出来事を日記に記しました。<br> そのできごとをにっきにしるしました <br>I recorded the event in my diary.
全員	[sound:k-0538_全員.mp3]<br>ぜんいん <br> all members (unanimity), all hands, the whole crew, everyone, everybody
all members (unanimity), all hands, the whole crew, everyone, everybody	<b>全員<b> <br> ぜんいん <br>[sound:k-0538_全員.mp3]
[sound:k-0538_全員.mp3]	all members<br> <b>unanimity), all hands, the whole crew, everyone, everybody (全員</b> <br> (ぜんいん)
<b>記述</b> <br> 彼の論文は詳細に記述されています。	[sound:s-0538_彼の論文は詳細に記述されています。.mp3] <br> かれのろんぶんはしょうさいにきじゅつされています。 <br>His paper is described in detail.
[sound:s-0538_彼の論文は詳細に記述されています。.mp3]	<b>記述</b> <br> 彼の論文は詳細に記述されています。<br> かれのろんぶんはしょうさいにきじゅつされています <br>His paper is described in detail.
役員	[sound:k-0539_役員.mp3]<br>やくいん <br> officer, official, executive, staff
officer, official, executive, staff	<b>役員<b> <br> やくいん <br>[sound:k-0539_役員.mp3]
[sound:k-0539_役員.mp3]	officer, official, executive, staff<br> <b>役員</b> <br> (やくいん)
<b>記念日</b> <br> 彼らは結婚記念日を祝っています。	[sound:s-0539_彼らは結婚記念日を祝っています。.mp3] <br> かれらはけっこんきねんびをいわっています。 <br>They are celebrating their wedding anniversary.
[sound:s-0539_彼らは結婚記念日を祝っています。.mp3]	<b>記念日</b> <br> 彼らは結婚記念日を祝っています。<br> かれらはけっこんきねんびをいわっています <br>They are celebrating their wedding anniversary.
九	[sound:k-0540_九.mp3]<br>きゅう, く, ここの, この, ここ <br> nine
nine	<b>九<b> <br> きゅう, く, ここの, この, ここ <br>[sound:k-0540_九.mp3]
[sound:k-0540_九.mp3]	nine<br> <b>九</b> <br> (きゅう, く, ここの, この, ここ)
<b>日記</b> <br> 彼女は毎日日記をつけています。	[sound:s-0540_彼女は毎日日記をつけています。.mp3] <br> かのじょはまいにちにっきをつけています。 <br>She keeps a diary every day.
[sound:s-0540_彼女は毎日日記をつけています。.mp3]	<b>日記</b> <br> 彼女は毎日日記をつけています。<br> かのじょはまいにちにっきをつけています <br>She keeps a diary every day.
九月	[sound:k-0541_九月.mp3]<br>くがつ <br> September
September	<b>九月<b> <br> くがつ <br>[sound:k-0541_九月.mp3]
[sound:k-0541_九月.mp3]	September<br> <b>九月</b> <br> (くがつ)
<b>参院</b> <br> 参院選挙は来月行われます。	[sound:s-0541_参院選挙は来月行われます。.mp3] <br> さんいんせんきょはらいげつおこなわれます。 <br>The Upper House election will be held next month.
[sound:s-0541_参院選挙は来月行われます。.mp3]	<b>参院</b> <br> 参院選挙は来月行われます。<br> さんいんせんきょはらいげつおこなわれます <br>The Upper House election will be held next month.
十九	[sound:k-0542_十九.mp3]<br>じゅうきゅう <br> 19, nineteen
19, nineteen	<b>十九<b> <br> じゅうきゅう <br>[sound:k-0542_十九.mp3]
[sound:k-0542_十九.mp3]	19, nineteen<br> <b>十九</b> <br> (じゅうきゅう)
<b>衆院</b> <br> 衆院選挙の投票日が決まりました。	[sound:s-0542_衆院選挙の投票日が決まりました。.mp3] <br> しゅういんせんきょのとうひょうびがきまりました。 <br>The voting day for the Lower House election has been decided.
[sound:s-0542_衆院選挙の投票日が決まりました。.mp3]	<b>衆院</b> <br> 衆院選挙の投票日が決まりました。<br> しゅういんせんきょのとうひょうびがきまりました <br>The voting day for the Lower House election has been decided.
九州	[sound:k-0543_九州.mp3]<br>きゅうしゅう <br> Kyushu (southernmost of the four main islands of Japan)
Kyushu (southernmost of the four main islands of Japan)	<b>九州<b> <br> きゅうしゅう <br>[sound:k-0543_九州.mp3]
[sound:k-0543_九州.mp3]	Kyushu<br> <b>southernmost of the four main islands of Japan) (九州</b> <br> (きゅうしゅう)
<b>病院</b> <br> 彼は病院で働いています。	[sound:s-0543_彼は病院で働いています。.mp3] <br> かれはびょういんではたらいています。 <br>He works at the hospital.
[sound:s-0543_彼は病院で働いています。.mp3]	<b>病院</b> <br> 彼は病院で働いています。<br> かれはびょういんではたらいています <br>He works at the hospital.
九十	[sound:k-0544_九十.mp3]<br>きゅうじゅう, くじゅう <br> ninety
ninety	<b>九十<b> <br> きゅうじゅう, くじゅう <br>[sound:k-0544_九十.mp3]
[sound:k-0544_九十.mp3]	ninety<br> <b>九十</b> <br> (きゅうじゅう, くじゅう)
<b>下院</b> <br> 下院は新しい法案を審議しています。	[sound:s-0544_下院は新しい法案を審議しています。.mp3] <br> かいんはあたらしいほうあんをしんぎしています。 <br>The Lower House is deliberating on a new bill.
[sound:s-0544_下院は新しい法案を審議しています。.mp3]	<b>下院</b> <br> 下院は新しい法案を審議しています。<br> かいんはあたらしいほうあんをしんぎしています <br>The Lower House is deliberating on a new bill.
九九	[sound:k-0545_九九.mp3]<br>くく <br> multiplication table, times table
multiplication table, times table	<b>九九<b> <br> くく <br>[sound:k-0545_九九.mp3]
[sound:k-0545_九九.mp3]	multiplication table, times table<br> <b>九九</b> <br> (くく)
<b>上院</b> <br> 上院での議論は熱を帯びています。	[sound:s-0545_上院での議論は熱を帯びています。.mp3] <br> じょういんでのぎろんはあつをおびています。 <br>The debate in the Upper House is heating up.
[sound:s-0545_上院での議論は熱を帯びています。.mp3]	<b>上院</b> <br> 上院での議論は熱を帯びています。<br> じょういんでのぎろんはあつをおびています <br>The debate in the Upper House is heating up.
九つ	[sound:k-0546_九つ.mp3]<br>ここのつ <br> nine
nine	<b>九つ<b> <br> ここのつ <br>[sound:k-0546_九つ.mp3]
[sound:k-0546_九つ.mp3]	nine<br> <b>九つ</b> <br> (ここのつ)
<b>学院</b> <br> 彼は医学院に通っています。	[sound:s-0546_彼は医学院に通っています。.mp3] <br> かれはいがくいんにかよっています。 <br>He attends medical school.
[sound:s-0546_彼は医学院に通っています。.mp3]	<b>学院</b> <br> 彼は医学院に通っています。<br> かれはいがくいんにかよっています <br>He attends medical school.
一一九番	[sound:k-0547_一一九番.mp3]<br>ひゃくじゅうきゅうばん <br> ambulance and fire brigade emergency tel. no. (in Japan)
ambulance and fire brigade emergency tel. no. (in Japan)	<b>一一九番<b> <br> ひゃくじゅうきゅうばん <br>[sound:k-0547_一一九番.mp3]
[sound:k-0547_一一九番.mp3]	ambulance and fire brigade emergency tel. no.<br> <b>in Japan) (一一九番</b> <br> (ひゃくじゅうきゅうばん)
