presenting a case, suing	<b>提訴<b> <br> ていそ <br>[sound:k-2536_提訴.mp3]
superior (rank not class); higher order (e.g. byte); host computer (of connected device)	<b>上位<b> <br> じょうい <br>[sound:k-2750_上位.mp3]
[sound:k-2750_上位.mp3]	superior<br> <b>rank not class); higher order (e.g. byte); host computer (of connected device) (上位</b> <br> (じょうい)
<b>心配</b> <br> 彼の安全が心配です。	[sound:s-2750_彼の安全が心配です。.mp3] <br> かれのあんぜんがしんぱいです。 <br>I'm worried about his safety.
[sound:s-2750_彼の安全が心配です。.mp3]	<b>心配</b> <br> 彼の安全が心配です。<br> かれのあんぜんがしんぱいです <br>I'm worried about his safety.
単位	[sound:k-2751_単位.mp3]<br>たんい <br> unit, denomination; credit (in school)
unit, denomination; credit (in school)	<b>単位<b> <br> たんい <br>[sound:k-2751_単位.mp3]
[sound:k-2751_単位.mp3]	unit, denomination; credit<br> <b>in school) (単位</b> <br> (たんい)
<b>配分</b> <br> 利益は全株主に配分されます。	[sound:s-2751_利益は全株主に配分されます。.mp3] <br> りえきはぜんかぶぬしにはいぶんされます。 <br>Profits are distributed among all shareholders.
[sound:s-2751_利益は全株主に配分されます。.mp3]	<b>配分</b> <br> 利益は全株主に配分されます。<br> りえきはぜんかぶぬしにはいぶんされます <br>Profits are distributed among all shareholders.
地位	[sound:k-2752_地位.mp3]<br>ちい <br> (social) position, status
(social) position, status	<b>地位<b> <br> ちい <br>[sound:k-2752_地位.mp3]
[sound:k-2752_地位.mp3]	(social) position, status<br> <b>地位</b> <br> (ちい)
<b>配慮</b> <br> 彼は他人の感情に配慮することができます。	[sound:s-2752_彼は他人の感情に配慮することができます。.mp3] <br> かれはたにんのかんじょうにはいりょすることができます。 <br>He can consider other people's feelings.
[sound:s-2752_彼は他人の感情に配慮することができます。.mp3]	<b>配慮</b> <br> 彼は他人の感情に配慮することができます。<br> かれはたにんのかんじょうにはいりょすることができます <br>He can consider other people's feelings.
首位	[sound:k-2753_首位.mp3]<br>しゅい <br> first place, head position, leading position
first place, head position, leading position	<b>首位<b> <br> しゅい <br>[sound:k-2753_首位.mp3]
[sound:k-2753_首位.mp3]	first place, head position, leading position<br> <b>首位</b> <br> (しゅい)
<b>配当</b> <br> この株は毎年配当を支払います。	[sound:s-2753_この株は毎年配当を支払います。.mp3] <br> このかぶはまいねんはいとうをしはらいます。 <br>This stock pays dividends every year.
[sound:s-2753_この株は毎年配当を支払います。.mp3]	<b>配当</b> <br> この株は毎年配当を支払います。<br> このかぶはまいねんはいとうをしはらいます <br>This stock pays dividends every year.
一位	[sound:k-2754_一位.mp3]<br>いちい, イチイ <br> first place, first rank, unit's position; Japanese yew (Taxus cuspidata)
first place, first rank, unit's position; Japanese yew (Taxus cuspidata)	<b>一位<b> <br> いちい, イチイ <br>[sound:k-2754_一位.mp3]
[sound:k-2754_一位.mp3]	first place, first rank, unit's position; Japanese yew<br> <b>Taxus cuspidata) (一位</b> <br> (いちい, イチイ)
<b>気配</b> <br> 森の中に獣の気配が漂っている。	[sound:s-2754_森の中に獣の気配が漂っている。.mp3] <br> もりのなかにけもののけはいがただよっている。 <br>There is a scent of animals drifting in the forest.
[sound:s-2754_森の中に獣の気配が漂っている。.mp3]	<b>気配</b> <br> 森の中に獣の気配が漂っている。<br> もりのなかにけもののけはいがただよっている <br>There is a scent of animals drifting in the forest.
位置	[sound:k-2755_位置.mp3]<br>いち <br> place, situation, position, location
place, situation, position, location	<b>位置<b> <br> いち <br>[sound:k-2755_位置.mp3]
[sound:k-2755_位置.mp3]	place, situation, position, location<br> <b>位置</b> <br> (いち)
<b>配置</b> <br> 机と椅子を部屋の中に適切に配置しました。	[sound:s-2755_机と椅子を部屋の中に適切に配置しました。.mp3] <br> つくえといすをへやのなかにてきせつにはいちしました。 <br>I arranged the desk and chair properly in the room.
[sound:s-2755_机と椅子を部屋の中に適切に配置しました。.mp3]	<b>配置</b> <br> 机と椅子を部屋の中に適切に配置しました。<br> つくえといすをへやのなかにてきせつにはいちしました <br>I arranged the desk and chair properly in the room.
順位	[sound:k-2756_順位.mp3]<br>じゅんい <br> order, rank, position (e.g. in a race), precedence
order, rank, position (e.g. in a race), precedence	<b>順位<b> <br> じゅんい <br>[sound:k-2756_順位.mp3]
[sound:k-2756_順位.mp3]	order, rank, position<br> <b>e.g. in a race), precedence (順位</b> <br> (じゅんい)
<b>配る</b> <br> リーダーはタスクをチームメンバーに均等に配ります。	[sound:s-2756_リーダーはタスクをチームメンバーに均等に配ります。.mp3] <br> りーだーはたすくをちーむめんばーにきんとうにくばります。 <br>The leader distributes tasks evenly among team members.
[sound:s-2756_リーダーはタスクをチームメンバーに均等に配ります。.mp3]	<b>配る</b> <br> リーダーはタスクをチームメンバーに均等に配ります。<br> りーだーはたすくをちーむめんばーにきんとうにくばります <br>The leader distributes tasks evenly among team members.
下位	[sound:k-2757_下位.mp3]<br>かい <br> low rank, subordinate, lower order (e.g. byte), low-end
low rank, subordinate, lower order (e.g. byte), low-end	<b>下位<b> <br> かい <br>[sound:k-2757_下位.mp3]
[sound:k-2757_下位.mp3]	low rank, subordinate, lower order<br> <b>e.g. byte), low-end (下位</b> <br> (かい)
<b>配給</b> <br> 災害地域には食料や水が配給されました。	[sound:s-2757_災害地域には食料や水が配給されました。.mp3] <br> さいがいちいきにはしょくりょうやみずがはいきゅうされました。 <br>Food and water were distributed to the disaster area.
[sound:s-2757_災害地域には食料や水が配給されました。.mp3]	<b>配給</b> <br> 災害地域には食料や水が配給されました。<br> さいがいちいきにはしょくりょうやみずがはいきゅうされました <br>Food and water were distributed to the disaster area.
本位	[sound:k-2758_本位.mp3]<br>ほんい <br> standard, basis, principle
standard, basis, principle	<b>本位<b> <br> ほんい <br>[sound:k-2758_本位.mp3]
[sound:k-2758_本位.mp3]	standard, basis, principle<br> <b>本位</b> <br> (ほんい)
<b>宅配</b> <br> インターネット注文した商品が宅配されました。	[sound:s-2758_インターネット注文した商品が宅配されました。.mp3] <br> いんたーねっとちゅうもんしたしょうひんがたくはいされました。 <br>The goods ordered online were delivered to the home.
[sound:s-2758_インターネット注文した商品が宅配されました。.mp3]	<b>宅配</b> <br> インターネット注文した商品が宅配されました。<br> いんたーねっとちゅうもんしたしょうひんがたくはいされました <br>The goods ordered online were delivered to the home.
優位	[sound:k-2759_優位.mp3]<br>ゆうい <br> predominance, ascendancy, superiority
predominance, ascendancy, superiority	<b>優位<b> <br> ゆうい <br>[sound:k-2759_優位.mp3]
[sound:k-2759_優位.mp3]	predominance, ascendancy, superiority<br> <b>優位</b> <br> (ゆうい)
<b>副社長</b> <br> 彼は会社の副社長として重要な役割を果たしています。	[sound:s-2759_彼は会社の副社長として重要な役割を果たしています。.mp3] <br> かれはかいしゃのふくしゃちょうとしてじゅうようなやくわりをはたしています。 <br>He plays an important role as the vice president of the company.
[sound:s-2759_彼は会社の副社長として重要な役割を果たしています。.mp3]	<b>副社長</b> <br> 彼は会社の副社長として重要な役割を果たしています。<br> かれはかいしゃのふくしゃちょうとしてじゅうようなやくわりをはたしています <br>He plays an important role as the vice president of the company.
措置	[sound:k-2760_措置.mp3]<br>そち <br> measure, step
measure, step	<b>措置<b> <br> そち <br>[sound:k-2760_措置.mp3]
[sound:k-2760_措置.mp3]	measure, step<br> <b>措置</b> <br> (そち)
<b>副作用</b> <br> この薬には副作用があるかもしれません。	[sound:s-2760_この薬には副作用があるかもしれません。.mp3] <br> このくすりにはふくさようがあるかもしれません。 <br>This medicine may have side effects.
[sound:s-2760_この薬には副作用があるかもしれません。.mp3]	<b>副作用</b> <br> この薬には副作用があるかもしれません。<br> このくすりにはふくさようがあるかもしれません <br>This medicine may have side effects.
設置	[sound:k-2761_設置.mp3]<br>せっち <br> establishment, institution
establishment, institution	<b>設置<b> <br> せっち <br>[sound:k-2761_設置.mp3]
[sound:k-2761_設置.mp3]	establishment, institution<br> <b>設置</b> <br> (せっち)
<b>副知事</b> <br> 市の副知事は市長の補佐をします。	[sound:s-2761_市の副知事は市長の補佐をします。.mp3] <br> しのふくちじはしちょうのほさをします。 <br>The deputy mayor assists the mayor.
[sound:s-2761_市の副知事は市長の補佐をします。.mp3]	<b>副知事</b> <br> 市の副知事は市長の補佐をします。<br> しのふくちじはしちょうのほさをします <br>The deputy mayor assists the mayor.
装置	[sound:k-2762_装置.mp3]<br>そうち <br> equipment, installation, apparatus, device
equipment, installation, apparatus, device	<b>装置<b> <br> そうち <br>[sound:k-2762_装置.mp3]
[sound:k-2762_装置.mp3]	equipment, installation, apparatus, device<br> <b>装置</b> <br> (そうち)
<b>副賞</b> <br> 彼女は映画祭で最優秀女優賞を受賞しました。	[sound:s-2762_彼女は映画祭で最優秀女優賞を受賞しました。.mp3] <br> かのじょはえいがさいでさいゆうしゅうじょゆうしょうをじゅしょうしました。 <br>She won the Best Actress Award at the film festival.
[sound:s-2762_彼女は映画祭で最優秀女優賞を受賞しました。.mp3]	<b>副賞</b> <br> 彼女は映画祭で最優秀女優賞を受賞しました。<br> かのじょはえいがさいでさいゆうしゅうじょゆうしょうをじゅしょうしました <br>She won the Best Actress Award at the film festival.
位置	[sound:k-2763_位置.mp3]<br>いち <br> place, situation, position, location
place, situation, position, location	<b>位置<b> <br> いち <br>[sound:k-2763_位置.mp3]
[sound:k-2763_位置.mp3]	place, situation, position, location<br> <b>位置</b> <br> (いち)
<b>副題</b> <br> この本の副題は「夢の探求」です。	[sound:s-2763_この本の副題は「夢の探求」です。.mp3] <br> このほんのふくだいは「ゆめのたんきゅう」です。 <br>"The subtitle of this book is ""The Pursuit of Dreams."""
[sound:s-2763_この本の副題は「夢の探求」です。.mp3]	<b>副題</b> <br> この本の副題は「夢の探求」です。<br> このほんのふくだいは「ゆめのたんきゅう」です <br>The subtitle of this book is "The Pursuit of Dreams."
配置	[sound:k-2764_配置.mp3]<br>はいち <br> arrangement (of resources), deployment, stationing, posting, disposition
arrangement (of resources), deployment, stationing, posting, disposition	<b>配置<b> <br> はいち <br>[sound:k-2764_配置.mp3]
[sound:k-2764_配置.mp3]	arrangement<br> <b>of resources), deployment, stationing, posting, disposition (配置</b> <br> (はいち)
<b>副産物</b> <br> 工場の生産過程で副産物が発生します。	[sound:s-2764_工場の生産過程で副産物が発生します。.mp3] <br> こうじょうのせいさんかていでふくさんぶつがはっせいします。 <br>Byproducts are generated during the manufacturing process in the factory.
[sound:s-2764_工場の生産過程で副産物が発生します。.mp3]	<b>副産物</b> <br> 工場の生産過程で副産物が発生します。<br> こうじょうのせいさんかていでふくさんぶつがはっせいします <br>Byproducts are generated during the manufacturing process in the factory.
拘置	[sound:k-2765_拘置.mp3]<br>こうち <br> detention, confinement, arrest
detention, confinement, arrest	<b>拘置<b> <br> こうち <br>[sound:k-2765_拘置.mp3]
[sound:k-2765_拘置.mp3]	detention, confinement, arrest<br> <b>拘置</b> <br> (こうち)
<b>副葬品</b> <br> 古代エジプトの墓には副葬品が多く納められていました。	[sound:s-2765_古代エジプトの墓には副葬品が多く納められていました。.mp3] <br> こだいえじぷとのはかにはふくそうひんがおおくおさめられていました。 <br>Many burial goods were placed in the tombs of ancient Egypt.
[sound:s-2765_古代エジプトの墓には副葬品が多く納められていました。.mp3]	<b>副葬品</b> <br> 古代エジプトの墓には副葬品が多く納められていました。<br> こだいえじぷとのはかにはふくそうひんがおおくおさめられていました <br>Many burial goods were placed in the tombs of ancient Egypt.
処置	[sound:k-2766_処置.mp3]<br>しょち <br> treatment, measure, step
treatment, measure, step	<b>処置<b> <br> しょち <br>[sound:k-2766_処置.mp3]
[sound:k-2766_処置.mp3]	treatment, measure, step<br> <b>処置</b> <br> (しょち)
<b>副業</b> <br> 彼は週末に副業で追加の収入を得ています。	[sound:s-2766_彼は週末に副業で追加の収入を得ています。.mp3] <br> かれはしゅうまつにふくぎょうでついかのしゅうにゅうをえています。 <br>He earns additional income from a side job on weekends.
[sound:s-2766_彼は週末に副業で追加の収入を得ています。.mp3]	<b>副業</b> <br> 彼は週末に副業で追加の収入を得ています。<br> かれはしゅうまつにふくぎょうでついかのしゅうにゅうをえています <br>He earns additional income from a side job on weekends.
拘置所	[sound:k-2767_拘置所.mp3]<br>こうちしょ <br> prison, detention house
prison, detention house	<b>拘置所<b> <br> こうちしょ <br>[sound:k-2767_拘置所.mp3]
[sound:k-2767_拘置所.mp3]	prison, detention house<br> <b>拘置所</b> <br> (こうちしょ)
<b>副将</b> <br> 彼は軍で副将の地位に昇進しました。	[sound:s-2767_彼は軍で副将の地位に昇進しました。.mp3] <br> かれはぐんでふくしょうのちいにしょうしんしました。 <br>He was promoted to the rank of vice general in the army.
[sound:s-2767_彼は軍で副将の地位に昇進しました。.mp3]	<b>副将</b> <br> 彼は軍で副将の地位に昇進しました。<br> かれはぐんでふくしょうのちいにしょうしんしました <br>He was promoted to the rank of vice general in the army.
据え置き	[sound:k-2768_据え置き.mp3]<br>すえおき <br> deferment (e.g. of savings), leaving (a thing) as it stands
deferment (e.g. of savings), leaving (a thing) as it stands	<b>据え置き<b> <br> すえおき <br>[sound:k-2768_据え置き.mp3]
[sound:k-2768_据え置き.mp3]	deferment<br> <b>e.g. of savings), leaving (a thing) as it stands (据え置き</b> <br> (すえおき)
<b>副読本</b> <br> その教科書には副読本として付属のCDがあります。	[sound:s-2768_その教科書には副読本として付属のCDがあります。.mp3] <br> そのきょうかほんにはふくどくほんとしてふぞくのCDがあります。 <br>The textbook comes with a supplementary CD as a companion reader.
[sound:s-2768_その教科書には副読本として付属のCDがあります。.mp3]	<b>副読本</b> <br> その教科書には副読本として付属のCDがあります。<br> そのきょうかほんにはふくどくほんとしてふぞくのCDがあります <br>The textbook comes with a supplementary CD as a companion reader.
位置付け	[sound:k-2769_位置付け.mp3]<br>いちづけ, いちつけ <br> placement, fixed position, mapping out, location
placement, fixed position, mapping out, location	<b>位置付け<b> <br> いちづけ, いちつけ <br>[sound:k-2769_位置付け.mp3]
[sound:k-2769_位置付け.mp3]	placement, fixed position, mapping out, location<br> <b>位置付け</b> <br> (いちづけ, いちつけ)
<b>予算</b> <br> 会社の来年の予算はまだ決まっていません。	[sound:s-2769_会社の来年の予算はまだ決まっていません。.mp3] <br> かいしゃのらいねんのよさんはまだきまっていません。 <br>The company's budget for next year has not been decided yet.
[sound:s-2769_会社の来年の予算はまだ決まっていません。.mp3]	<b>予算</b> <br> 会社の来年の予算はまだ決まっていません。<br> かいしゃのらいねんのよさんはまだきまっていません <br>The company's budget for next year has not been decided yet.
企業	[sound:k-2770_企業.mp3]<br>きぎょう <br> enterprise, undertaking, corporation, business
enterprise, undertaking, corporation, business	<b>企業<b> <br> きぎょう <br>[sound:k-2770_企業.mp3]
[sound:k-2770_企業.mp3]	enterprise, undertaking, corporation, business<br> <b>企業</b> <br> (きぎょう)
<b>決算</b> <br> 会社の決算報告書が公開されました。	[sound:s-2770_会社の決算報告書が公開されました。.mp3] <br> かいしゃのけっさんほうこくしょがこうかいされました。 <br>The company's financial statements have been published.
[sound:s-2770_会社の決算報告書が公開されました。.mp3]	<b>決算</b> <br> 会社の決算報告書が公開されました。<br> かいしゃのけっさんほうこくしょがこうかいされました <br>The company's financial statements have been published.
企画	[sound:k-2771_企画.mp3]<br>きかく <br> planning, project, plan, design
planning, project, plan, design	<b>企画<b> <br> きかく <br>[sound:k-2771_企画.mp3]
[sound:k-2771_企画.mp3]	planning, project, plan, design<br> <b>企画</b> <br> (きかく)
<b>通算</b> <br> 彼の通算成績は非常に優れています。	[sound:s-2771_彼の通算成績は非常に優れています。.mp3] <br> かれのつうさんせいせきはひじょうにすぐれています。 <br>His overall performance is exceptionally good.
[sound:s-2771_彼の通算成績は非常に優れています。.mp3]	<b>通算</b> <br> 彼の通算成績は非常に優れています。<br> かれのつうさんせいせきはひじょうにすぐれています <br>His overall performance is exceptionally good.
中小企業	[sound:k-2772_中小企業.mp3]<br>ちゅうしょうきぎょう <br> small to medium enterprises, smaller companies
small to medium enterprises, smaller companies	<b>中小企業<b> <br> ちゅうしょうきぎょう <br>[sound:k-2772_中小企業.mp3]
[sound:k-2772_中小企業.mp3]	small to medium enterprises, smaller companies<br> <b>中小企業</b> <br> (ちゅうしょうきぎょう)
<b>計算</b> <br> 数学の計算問題が難しいです。	[sound:s-2772_数学の計算問題が難しいです。.mp3] <br> すうがくのけいさんもんだいがむずかしいです。 <br>Math calculation problems are difficult.
[sound:s-2772_数学の計算問題が難しいです。.mp3]	<b>計算</b> <br> 数学の計算問題が難しいです。<br> すうがくのけいさんもんだいがむずかしいです <br>Math calculation problems are difficult.
大企業	[sound:k-2773_大企業.mp3]<br>だいきぎょう <br> large company, enterprise
large company, enterprise	<b>大企業<b> <br> だいきぎょう <br>[sound:k-2773_大企業.mp3]
[sound:k-2773_大企業.mp3]	large company, enterprise<br> <b>大企業</b> <br> (だいきぎょう)
<b>補正予算</b> <br> 今年の補正予算案が提出されました。	[sound:s-2773_今年の補正予算案が提出されました。.mp3] <br> ことしのほせいよさんあんがていしゅつされました。 <br>This year's supplementary budget proposal has been submitted.
[sound:s-2773_今年の補正予算案が提出されました。.mp3]	<b>補正予算</b> <br> 今年の補正予算案が提出されました。<br> ことしのほせいよさんあんがていしゅつされました <br>This year's supplementary budget proposal has been submitted.
経企庁	[sound:k-2774_経企庁.mp3]<br>けいきちょう <br> Economic Planning Agency
Economic Planning Agency	<b>経企庁<b> <br> けいきちょう <br>[sound:k-2774_経企庁.mp3]
[sound:k-2774_経企庁.mp3]	Economic Planning Agency<br> <b>経企庁</b> <br> (けいきちょう)
<b>公算</b> <br> 彼の成功は皆が公算していたことではありませんでした。	[sound:s-2774_彼の成功は皆が公算していたことではありませんでした。.mp3] <br> かれのせいこうはみながこうさんしていたことではありませんでした。 <br>His success was not something everyone had anticipated.
[sound:s-2774_彼の成功は皆が公算していたことではありませんでした。.mp3]	<b>公算</b> <br> 彼の成功は皆が公算していたことではありませんでした。<br> かれのせいこうはみながこうさんしていたことではありませんでした <br>His success was not something everyone had anticipated.
経済企画庁	[sound:k-2775_経済企画庁.mp3]<br>けいざいきかくちょう <br> Economic Planning Agency
Economic Planning Agency	<b>経済企画庁<b> <br> けいざいきかくちょう <br>[sound:k-2775_経済企画庁.mp3]
[sound:k-2775_経済企画庁.mp3]	Economic Planning Agency<br> <b>経済企画庁</b> <br> (けいざいきかくちょう)
<b>概算</b> <br> 予算の概算を行った後で、詳細な検討を行います。	[sound:s-2775_予算の概算を行った後で、詳細な検討を行います。.mp3] <br> よさんのがいさんをおこなったあとで、しょうさいなけんとうをおこないます。 <br>"After making a rough estimate of the budget, we will conduct a detailed review."
[sound:s-2775_予算の概算を行った後で、詳細な検討を行います。.mp3]	<b>概算</b> <br> 予算の概算を行った後で、詳細な検討を行います。<br> よさんのがいさんをおこなったあとで、しょうさいなけんとうをおこないます <br>After making a rough estimate of the budget, we will conduct a detailed review.
企業家	[sound:k-2776_企業家.mp3]<br>きぎょうか <br> industrialist, entrepreneur
industrialist, entrepreneur	<b>企業家<b> <br> きぎょうか <br>[sound:k-2776_企業家.mp3]
[sound:k-2776_企業家.mp3]	industrialist, entrepreneur<br> <b>企業家</b> <br> (きぎょうか)
<b>試算</b> <br> 新プロジェクトの収益を試算してみましょう。	[sound:s-2776_新プロジェクトの収益を試算してみましょう。.mp3] <br> しんぷろじぇくとのしゅうえきをしさんしてみましょう。 <br>Let's estimate the revenue of the new project.
[sound:s-2776_新プロジェクトの収益を試算してみましょう。.mp3]	<b>試算</b> <br> 新プロジェクトの収益を試算してみましょう。<br> しんぷろじぇくとのしゅうえきをしさんしてみましょう <br>Let's estimate the revenue of the new project.
企画室	[sound:k-2777_企画室.mp3]<br>きかくしつ <br> planning office
planning office	<b>企画室<b> <br> きかくしつ <br>[sound:k-2777_企画室.mp3]
[sound:k-2777_企画室.mp3]	planning office<br> <b>企画室</b> <br> (きかくしつ)
<b>採算</b> <br> このビジネスが採算が合わない場合、継続することは難しいかもしれません。	[sound:s-2777_このビジネスが採算が合わない場合、継続することは難しいかもしれません。.mp3] <br> このびじねすがさいさんがあわないばあい、けいぞくすることはむずかしいかもしれません。 <br>"If this business doesn't turn a profit, it may be difficult to continue."
[sound:s-2777_このビジネスが採算が合わない場合、継続することは難しいかもしれません。.mp3]	<b>採算</b> <br> このビジネスが採算が合わない場合、継続することは難しいかもしれません。<br> このびじねすがさいさんがあわないばあい、けいぞくすることはむずかしいかもしれません <br>If this business doesn't turn a profit, it may be difficult to continue.
私企業	[sound:k-2778_私企業.mp3]<br>しきぎょう <br> private enterprise
private enterprise	<b>私企業<b> <br> しきぎょう <br>[sound:k-2778_私企業.mp3]
[sound:k-2778_私企業.mp3]	private enterprise<br> <b>私企業</b> <br> (しきぎょう)
<b>清算</b> <br> 会社の清算手続きが完了しました。	[sound:s-2778_会社の清算手続きが完了しました。.mp3] <br> かいしゃのせいさんてつづきがかんりょうしました。 <br>The company's liquidation process has been completed.
[sound:s-2778_会社の清算手続きが完了しました。.mp3]	<b>清算</b> <br> 会社の清算手続きが完了しました。<br> かいしゃのせいさんてつづきがかんりょうしました <br>The company's liquidation process has been completed.
中小企業庁	[sound:k-2779_中小企業庁.mp3]<br>ちゅうしょうきぎょうちょう <br> (Japanese) Small and Medium Enterprise Agency
(Japanese) Small and Medium Enterprise Agency	<b>中小企業庁<b> <br> ちゅうしょうきぎょうちょう <br>[sound:k-2779_中小企業庁.mp3]
[sound:k-2779_中小企業庁.mp3]	(Japanese) Small and Medium Enterprise Agency<br> <b>中小企業庁</b> <br> (ちゅうしょうきぎょうちょう)
<b>監視</b> <br> セキュリティカメラが店内を監視しています。	[sound:s-2779_セキュリティカメラが店内を監視しています。.mp3] <br> せきゅりてぃかめらがてんないをかんししています。 <br>Security cameras are monitoring the store.
[sound:s-2779_セキュリティカメラが店内を監視しています。.mp3]	<b>監視</b> <br> セキュリティカメラが店内を監視しています。<br> せきゅりてぃかめらがてんないをかんししています <br>Security cameras are monitoring the store.
写真	[sound:k-2780_写真.mp3]<br>しゃしん <br> photograph, photo; movie
photograph, photo; movie	<b>写真<b> <br> しゃしん <br>[sound:k-2780_写真.mp3]
[sound:k-2780_写真.mp3]	photograph, photo; movie<br> <b>写真</b> <br> (しゃしん)
<b>警視庁</b> <br> 東京都の警視庁は治安維持に努めています。	[sound:s-2780_東京都の警視庁は治安維持に努めています。.mp3] <br> とうきょうとのけいしちょうはちあんいじにつとめています。 <br>The Tokyo Metropolitan Police Department is working to maintain public order.
[sound:s-2780_東京都の警視庁は治安維持に努めています。.mp3]	<b>警視庁</b> <br> 東京都の警視庁は治安維持に努めています。<br> とうきょうとのけいしちょうはちあんいじにつとめています <br>The Tokyo Metropolitan Police Department is working to maintain public order.
真の	[sound:k-2781_真の.mp3]<br>しんの <br> true, real, genuine, proper, utter
true, real, genuine, proper, utter	<b>真の<b> <br> しんの <br>[sound:k-2781_真の.mp3]
[sound:k-2781_真の.mp3]	true, real, genuine, proper, utter<br> <b>真の</b> <br> (しんの)
<b>視点</b> <br> 問題を別の視点から考えてみましょう。	[sound:s-2781_問題を別の視点から考えてみましょう。.mp3] <br> もんだいをべつのしてんからかんがえてみましょう。 <br>Let's consider the problem from a different perspective.
[sound:s-2781_問題を別の視点から考えてみましょう。.mp3]	<b>視点</b> <br> 問題を別の視点から考えてみましょう。<br> もんだいをべつのしてんからかんがえてみましょう <br>Let's consider the problem from a different perspective.
真相	[sound:k-2782_真相.mp3]<br>しんそう <br> truth, real situation
truth, real situation	<b>真相<b> <br> しんそう <br>[sound:k-2782_真相.mp3]
[sound:k-2782_真相.mp3]	truth, real situation<br> <b>真相</b> <br> (しんそう)
<b>重視</b> <br> この企画では顧客の意見を重視しています。	[sound:s-2782_この企画では顧客の意見を重視しています。.mp3] <br> このきかくではこきゃくのいけんをじゅうししています。 <br>This plan gives importance to the opinions of customers.
[sound:s-2782_この企画では顧客の意見を重視しています。.mp3]	<b>重視</b> <br> この企画では顧客の意見を重視しています。<br> このきかくではこきゃくのいけんをじゅうししています <br>This plan gives importance to the opinions of customers.
真実	[sound:k-2783_真実.mp3]<br>しんじつ, さな, さね <br> truth, reality
truth, reality	<b>真実<b> <br> しんじつ, さな, さね <br>[sound:k-2783_真実.mp3]
[sound:k-2783_真実.mp3]	truth, reality<br> <b>真実</b> <br> (しんじつ, さな, さね)
<b>視聴率</b> <br> その番組は高い視聴率を誇っています。	[sound:s-2783_その番組は高い視聴率を誇っています。.mp3] <br> そのばんぐみはたかいしちょうりつをほこっています。 <br>That program boasts high viewer ratings.
[sound:s-2783_その番組は高い視聴率を誇っています。.mp3]	<b>視聴率</b> <br> その番組は高い視聴率を誇っています。<br> そのばんぐみはたかいしちょうりつをほこっています <br>That program boasts high viewer ratings.
真ん中	[sound:k-2784_真ん中.mp3]<br>まんなか, まなか <br> middle, centre, center, mid-way
middle, centre, center, mid-way	<b>真ん中<b> <br> まんなか, まなか <br>[sound:k-2784_真ん中.mp3]
[sound:k-2784_真ん中.mp3]	middle, centre, center, mid-way<br> <b>真ん中</b> <br> (まんなか, まなか)
<b>視野</b> <br> 彼は将来の展望を広い視野で考えています。	[sound:s-2784_彼は将来の展望を広い視野で考えています。.mp3] <br> かれはしょうらいのてんぼうをひろいしやでかんがえています。 <br>He is considering future prospects with a broad perspective.
[sound:s-2784_彼は将来の展望を広い視野で考えています。.mp3]	<b>視野</b> <br> 彼は将来の展望を広い視野で考えています。<br> かれはしょうらいのてんぼうをひろいしやでかんがえています <br>He is considering future prospects with a broad perspective.
真意	[sound:k-2785_真意.mp3]<br>しんい <br> real intention, true motive, true meaning
real intention, true motive, true meaning	<b>真意<b> <br> しんい <br>[sound:k-2785_真意.mp3]
[sound:k-2785_真意.mp3]	real intention, true motive, true meaning<br> <b>真意</b> <br> (しんい)
<b>視察</b> <br> 経営者が工場を視察しました。	[sound:s-2785_経営者が工場を視察しました。.mp3] <br> けいえいしゃがこうじょうをしさつしました。 <br>The manager inspected the factory.
[sound:s-2785_経営者が工場を視察しました。.mp3]	<b>視察</b> <br> 経営者が工場を視察しました。<br> けいえいしゃがこうじょうをしさつしました <br>The manager inspected the factory.
写真集	[sound:k-2786_写真集.mp3]<br>しゃしんしゅう <br> collection of photographs, photoalbum
collection of photographs, photoalbum	<b>写真集<b> <br> しゃしんしゅう <br>[sound:k-2786_写真集.mp3]
[sound:k-2786_写真集.mp3]	collection of photographs, photoalbum<br> <b>写真集</b> <br> (しゃしんしゅう)
<b>視聴者</b> <br> テレビ番組の視聴者が増えています。	[sound:s-2786_テレビ番組の視聴者が増えています。.mp3] <br> てれびばんぐみのしちょうしゃがふえています。 <br>The viewership of the TV program is increasing.
[sound:s-2786_テレビ番組の視聴者が増えています。.mp3]	<b>視聴者</b> <br> テレビ番組の視聴者が増えています。<br> てれびばんぐみのしちょうしゃがふえています <br>The viewership of the TV program is increasing.
真理	[sound:k-2787_真理.mp3]<br>しんり <br> truth
truth	<b>真理<b> <br> しんり <br>[sound:k-2787_真理.mp3]
[sound:k-2787_真理.mp3]	truth<br> <b>真理</b> <br> (しんり)
<b>視線</b> <br> 彼の視線が私に向けられている。	[sound:s-2787_彼の視線が私に向けられている。.mp3] <br> かれのしせんがわたしにむけられている。 <br>His gaze is directed towards me.
[sound:s-2787_彼の視線が私に向けられている。.mp3]	<b>視線</b> <br> 彼の視線が私に向けられている。<br> かれのしせんがわたしにむけられている <br>His gaze is directed towards me.
真っ暗	[sound:k-2788_真っ暗.mp3]<br>まっくら <br> total darkness, pitch dark; bleak future, poor prospects
total darkness, pitch dark; bleak future, poor prospects	<b>真っ暗<b> <br> まっくら <br>[sound:k-2788_真っ暗.mp3]
[sound:k-2788_真っ暗.mp3]	total darkness, pitch dark; bleak future, poor prospects<br> <b>真っ暗</b> <br> (まっくら)
