There is a meeting on the same day.	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> [sound:4c-s-同日に会議があります。.mp3]
He is a very kind person.	<b>彼はとても優しい人です。</b> <br> かれはとてもやさしいひとです。 <br><br> (優しい) <br> [sound:4c-s-彼はとても優しい人です。.mp3]
The couple went on a trip together.	<b>夫妻は一緒に旅行に行きました。</b> <br> ふさいはいっしょにりょこうにいきました。 <br><br> (夫妻) <br> [sound:4c-s-夫妻は一緒に旅行に行きました。.mp3]
He came up with creative solutions to solve the problem.	<b>彼は問題を解決するために工夫を凝らしました。</b> <br> かれはもんだいをかいけつするためにくふうをこらしました。 <br><br> (工夫) <br> [sound:4c-s-彼は問題を解決するために工夫を凝らしました。.mp3]
It's okay, don't worry.	<b>大丈夫ですよ、心配しないでください。</b> <br> だいじょうぶですよ、しんぱいしないでください。 <br><br> (大丈夫) <br> [sound:4c-s-大丈夫ですよ、心配しないでください。.mp3]
These shoes are very durable.	<b>この靴は非常に丈夫です。</b> <br> このくつはひじょうにじょうぶです。 <br><br> (丈夫) <br> [sound:4c-s-この靴は非常に丈夫です。.mp3]
The researcher is developing new technology.	<b>その研究者は新しい技術を開発しています。</b> <br> そのけんきゅうしゃはあたらしいぎじゅつをかいはつしています。 <br><br> (研究者) <br> [sound:4c-s-その研究者は新しい技術を開発しています。.mp3]
The researcher made a new discovery.	<b>研究員は新しい発見をしました。</b> <br> けんきゅういんはあたらしいはっけんをしました。 <br><br> (研究員) <br> [sound:4c-s-研究員は新しい発見をしました。.mp3]
His laboratory is on the top floor of the university.	<b>彼の研究室は大学の最上階にあります。</b> <br> かれのけんきゅうしつはだいがくのさいじょうかいにあります。 <br><br> (研究室) <br> [sound:4c-s-彼の研究室は大学の最上階にあります。.mp3]
This scholar has published many books on history.	<b>この研究家は歴史に関する書籍を多数出版しています。</b> <br> このけんきゅうかはれきしにかんするしょせきをたすうしゅっぱんしています。 <br><br> (研究家) <br> [sound:4c-s-この研究家は歴史に関する書籍を多数出版しています。.mp3]
This year's earnings exceeded expectations.	<b>今年の収益は予想を上回りました。</b> <br> ことしのしゅうえきはよそうをうわまわりました。 <br><br> (収益) <br> [sound:4c-s-今年の収益は予想を上回りました。.mp3]
He was arrested for bribery.	<b>彼は収賄で逮捕されました。</b> <br> かれはしゅうわいでたいほされました。 <br><br> (収賄) <br> [sound:4c-s-彼は収賄で逮捕されました。.mp3]
Tax revenue has reached the budget target.	<b>税収は予算の目標を達成しました。</b> <br> ぜいしゅうはよさんのもくひょうをたっせいしました。 <br><br> (税収) <br> [sound:4c-s-税収は予算の目標を達成しました。.mp3]
The company acquired another company.	<b>その企業は他の会社を買収しました。</b> <br> そのきぎょうはほかのかいしゃをばいしゅうしました。 <br><br> (買収) <br> [sound:4c-s-その企業は他の会社を買収しました。.mp3]
The doctor made a diagnosis of the illness.	<b>医者は病気の診断を下しました。</b> <br> いしゃはびょうきのしんだんをくだしました。 <br><br> (診断) <br> [sound:4c-s-医者は病気の診断を下しました。.mp3]
He declined my request.	<b>彼は私のお願いを断りました。</b> <br> かれはわたしのおねがいをことわりました。 <br><br> (断る) <br> [sound:4c-s-彼は私のお願いを断りました。.mp3]
He helps without refusal in any situation.	<b>彼はどんな状況でも断らずに手伝ってくれます。</b> <br> かれはどんなじょうきょうでもことわらずにてつだってくれます。 <br><br> (断らず) <br> [sound:4c-s-彼はどんな状況でも断らずに手伝ってくれます。.mp3]
He decided to give up on the plan.	<b>彼は計画を断念することに決めました。</b> <br> かれはけいかくをだんねんすることにきめました。 <br><br> (断念) <br> [sound:4c-s-彼は計画を断念することに決めました。.mp3]
The drilling of the oil well has started.	<b>油井の掘削が始まりました。</b> <br> ゆせいのくっさくがはじまりました。 <br><br> (油井) <br> [sound:4c-s-油井の掘削が始まりました。.mp3]
Tsuttsui-san is the leader of the new project.	<b>筒井さんは新しいプロジェクトのリーダーです。</b> <br> つついさんはあたらしいぷろじぇくとのりーだーです。 <br><br> (筒井) <br> [sound:4c-s-筒井さんは新しいプロジェクトのリーダーです。.mp3]
Well digging was an important part of ancient life.	<b>井戸掘りは昔の生活の重要な部分でした。</b> <br> いどほりはむかしのせいかつのじゅうようなぶぶんでした。 <br><br> (井戸掘り) <br> [sound:4c-s-井戸掘りは昔の生活の重要な部分でした。.mp3]
Idutsu is one of Japan's traditional well structures.	<b>井筒は日本の伝統的な井戸の形式の一つです。</b> <br> いづつはにほんのでんとうてきないどのけいしきのひとつです。 <br><br> (井筒) <br> [sound:4c-s-井筒は日本の伝統的な井戸の形式の一つです。.mp3]
We have to somehow solve this problem.	<b>何とかこの問題を解決しなければなりません。</b> <br> なんとかこのもんだいをかいけつしなければなりません。 <br><br> (何とか) <br> [sound:4c-s-何とかこの問題を解決しなければなりません。.mp3]
Health is more important than anything else.	<b>何の用事ですか？ なんのようじですか？ What is it about?</b> <br> なによりもけんこうがたいせつです。 <br><br> (何の) <br> [sound:4c-s-何の用事ですか？ なんのようじですか？ What is it about?.mp3]
He seems to know everything.	<b>何よりも健康が大切です。</b> <br> かれはなんでもしっているようにみえます。 <br><br> (何より) <br> [sound:4c-s-何よりも健康が大切です。.mp3]
Southeast Asia has many different cultures.	<b>彼は何でも知っているように見えます。</b> <br> とうなんあじあにはおおくのいぶんかがあります。 <br><br> (何でも) <br> [sound:4c-s-彼は何でも知っているように見えます。.mp3]
There is a beautiful park in the southern part of the city.	<b>東南アジアには多くの異文化があります。</b> <br> そのとしのなんぶにはうつくしいこうえんがあります。 <br><br> (東南) <br> [sound:4c-s-東南アジアには多くの異文化があります。.mp3]
The area is located southwest.	<b>その都市の南部には美しい公園があります。</b> <br> そのちいきはなんせいほうこうにいちしています。 <br><br> (南部) <br> [sound:4c-s-その都市の南部には美しい公園があります。.mp3]
Culture in Central and South America is very diverse.	<b>その地域は南西方向に位置しています。</b> <br> ちゅうなんべいのぶんかはひじょうにたようです。 <br><br> (南西) <br> [sound:4c-s-その地域は南西方向に位置しています。.mp3]
Coal was once an important energy source.	<b>中南米の文化は非常に多様です。</b> <br> せきたんはいちじき、じゅうようなえねるぎーげんでした。 <br><br> (中南米) <br> [sound:4c-s-中南米の文化は非常に多様です。.mp3]
Stone bridges are known to be extremely solid.	<b>石炭は一時期、重要なエネルギー源でした。</b> <br> いしばしはひじょうにけんごなはしとしてしられています。 <br><br> (石炭) <br> [sound:4c-s-石炭は一時期、重要なエネルギー源でした。.mp3]
She has beautiful jewels.	<b>石橋は非常に堅固な橋として知られています。</b> <br> かのじょはうつくしいほうせきをもっています。 <br><br> (石橋) <br> [sound:4c-s-石橋は非常に堅固な橋として知られています。.mp3]
This castle has old stone walls.	<b>彼女は美しい宝石を持っています。</b> <br> このしろにはふるいいしがきがのこっています。 <br><br> (宝石) <br> [sound:4c-s-彼女は美しい宝石を持っています。.mp3]
He is satisfied with the result.	<b>この城には古い石垣が残っています。</b> <br> かれはそのけっかにまんぞくしています。 <br><br> (石垣) <br> [sound:4c-s-この城には古い石垣が残っています。.mp3]
It’s important to move forward together as a team.	<b>彼はその結果に満足しています。</b> <br> ちーむのあしなみをそろえてすすむことがたいせつです。 <br><br> (満足) <br> [sound:4c-s-彼はその結果に満足しています。.mp3]
Please watch your step as you walk.	<b>チームの足並みを揃えて進むことが大切です。</b> <br> あしもとにきをつけてあるいてください。 <br><br> (足並み) <br> [sound:4c-s-チームの足並みを揃えて進むことが大切です。.mp3]
This problem can be solved by using hands and feet.	<b>足元に気を付けて歩いてください。</b> <br> そのもんだいはてあしをつかってかいけつすることができます。 <br><br> (足元) <br> [sound:4c-s-足元に気を付けて歩いてください。.mp3]
That action is illegal.	<b>その問題は手足を使って解決することができます。</b> <br> そのこういはいほうです。 <br><br> (手足) <br> [sound:4c-s-その問題は手足を使って解決することができます。.mp3]
This was a big mistake.	<b>その行為は違法です。</b> <br> これはおおきなまちがいでした。 <br><br> (違法) <br> [sound:4c-s-その行為は違法です。.mp3]
There was a difference of opinion.	<b>これは大きな間違いでした。</b> <br> いけんにそういがありました。 <br><br> (間違い) <br> [sound:4c-s-これは大きな間違いでした。.mp3]
I felt something out of place in that location.	<b>意見に相違がありました。</b> <br> そのばしょにはなにかいわかんをかんじました。 <br><br> (相違) <br> [sound:4c-s-意見に相違がありました。.mp3]
I exercise to relieve stress.	<b>その場所には何か違和感を感じました。</b> <br> すとれすをかいしょうするためにうんどうをしています。 <br><br> (違和感) <br> [sound:4c-s-その場所には何か違和感を感じました。.mp3]
He is taking a passive attitude.	<b>ストレスを解消するために運動をしています。</b> <br> かれはしょうきょくてきなたいどをとっています。 <br><br> (解消) <br> [sound:4c-s-ストレスを解消するために運動をしています。.mp3]
The fire brigade is heading to the fire scene.	<b>彼は消極的な態度を取っています。</b> <br> しょうぼうたいはかじのげんばにむかっています。 <br><br> (消極的) <br> [sound:4c-s-彼は消極的な態度を取っています。.mp3]
I erased the pencil-written text with an eraser.	<b>消防隊は火事の現場に向かっています。</b> <br> えんぴつでかいたもじをけしごむでけしました。 <br><br> (消防) <br> [sound:4c-s-消防隊は火事の現場に向かっています。.mp3]
The Environmental Agency announced new environmental policies.	<b>鉛筆で書いた文字を消しゴムで消しました。</b> <br> かんきょうちょうはあたらしいかんきょうせいさくをはっぴょうしました。 <br><br> (消しゴム) <br> [sound:4c-s-鉛筆で書いた文字を消しゴムで消しました。.mp3]
She is currently in a complex emotional state.	<b>環境庁は新しい環境政策を発表しました。</b> <br> かのじょはげんざい、ふくざつなしんきょうにあります。 <br><br> (環境庁) <br> [sound:4c-s-環境庁は新しい環境政策を発表しました。.mp3]
There is a clear boundary between countries.	<b>彼女は現在、複雑な心境にあります。</b> <br> くにとくにのあいだにめいかくなきょうかいがあります。 <br><br> (心境) <br> [sound:4c-s-彼女は現在、複雑な心境にあります。.mp3]
We are facing a difficult economic situation.	<b>国と国の間に明確な境界があります。</b> <br> けいざいてきなくきょうにちょくめんしています。 <br><br> (境界) <br> [sound:4c-s-国と国の間に明確な境界があります。.mp3]
He has a nervous personality.	<b>経済的な苦境に直面しています。</b> <br> かれはしんけいしつなせいかくです。 <br><br> (苦境) <br> [sound:4c-s-経済的な苦境に直面しています。.mp3]
This shrine is a very historical site.	<b>彼は神経質な性格です。</b> <br> そのじんじゃはとてもれきしてきなばしょです。 <br><br> (神経) <br> [sound:4c-s-彼は神経質な性格です。.mp3]
Mental support is necessary.	<b>その神社はとても歴史的な場所です。</b> <br> せいしんてきなさぽーとがひつようです。 <br><br> (神社) <br> [sound:4c-s-その神社はとても歴史的な場所です。.mp3]
Ise Jingu is one of the most famous shrines in Japan.	<b>精神的なサポートが必要です。</b> <br> いせじんぐうはにほんで最もゆうめいなじんじゃのひとつです。 <br><br> (精神的) <br> [sound:4c-s-精神的なサポートが必要です。.mp3]
Today is the real match.	<b>伊勢神宮は日本で最も有名な神社の一つです。</b> <br> きょうはほんばんのしあいです。 <br><br> (神宮) <br> [sound:4c-s-伊勢神宮は日本で最も有名な神社の一つです。.mp3]
He is next in line.	<b>今日は本番の試合です。</b> <br> つぎのばんてはかれです。 <br><br> (本番) <br> [sound:4c-s-今日は本番の試合です。.mp3]
Next is your turn.	<b>次の番手は彼です。</b> <br> つぎはあなたの出ばんです。 <br><br> (番手) <br> [sound:4c-s-次の番手は彼です。.mp3]
I always choose number two.	<b>次はあなたの出番です。</b> <br> わたしはいつもにばんをえらびます。 <br><br> (出番) <br> [sound:4c-s-次はあなたの出番です。.mp3]
The project is on a large scale.	<b>私はいつも二番を選びます。</b> <br> そのぷろじぇくとはだいきぼなものです。 <br><br> (二番) <br> [sound:4c-s-私はいつも二番を選びます。.mp3]
The number of new customers is increasing.	<b>そのプロジェクトは大規模なものです。</b> <br> しんきのこきゃくがふえています。 <br><br> (大規模) <br> [sound:4c-s-そのプロジェクトは大規模なものです。.mp3]
This school has strict rules.	<b>新規の顧客が増えています。</b> <br> このがっこうにはきびしいきそくがあります。 <br><br> (新規) <br> [sound:4c-s-新規の顧客が増えています。.mp3]
This product meets international standards.	<b>この学校には厳しい規則があります。</b> <br> このせいひんはこくさいきかくにじゅんきょしています。 <br><br> (規則) <br> [sound:4c-s-この学校には厳しい規則があります。.mp3]
The surgery went smoothly.	<b>この製品は国際規格に準拠しています。</b> <br> しゅじゅつはぶじにおわりました。 <br><br> (規格) <br> [sound:4c-s-この製品は国際規格に準拠しています。.mp3]
The art museum has many wonderful paintings.	<b>手術は無事に終わりました。</b> <br> びじゅつかんにはおおくのすばらしいかいががあります。 <br><br> (手術) <br> [sound:4c-s-手術は無事に終わりました。.mp3]
His tactics are very effective.	<b>美術館には多くの素晴らしい絵画があります。</b> <br> かれのせんじゅつはひじょうにこうかてきです。 <br><br> (美術館) <br> [sound:4c-s-美術館には多くの素晴らしい絵画があります。.mp3]
The engineer is well-versed in the latest technology.	<b>彼の戦術は非常に効果的です。</b> <br> そのぎじゅつしゃはさいしんのてくのろじーにせいつうしています。 <br><br> (戦術) <br> [sound:4c-s-彼の戦術は非常に効果的です。.mp3]
I work at a nursing home.	<b>その技術者は最新のテクノロジーに精通しています。</b> <br> かいごしせつではたらいています。 <br><br> (技術者) <br> [sound:4c-s-その技術者は最新のテクノロジーに精通しています。.mp3]
The nurse is carefully watching over the patient.	<b>介護施設で働いています。</b> <br> かんごしはかんじゃをていねいにみまもっています。 <br><br> (介護) <br> [sound:4c-s-介護施設で働いています。.mp3]
He stood in court as the defense attorney.	<b>看護師は患者を丁寧に見守っています。</b> <br> かれはべんごにんとしてほうていにたちました。 <br><br> (看護) <br> [sound:4c-s-看護師は患者を丁寧に見守っています。.mp3]
He is participating in constitutional protection activities.	<b>彼は弁護人として法廷に立ちました。</b> <br> かれはごけんかつどうにさんかしています。 <br><br> (弁護) <br> [sound:4c-s-彼は弁護人として法廷に立ちました。.mp3]
An exhibition of art pieces is being held at the museum.	<b>彼は護憲活動に参加しています。</b> <br> はくぶつかんでびじゅつひんのてんじがおこなわれています。 <br><br> (護憲) <br> [sound:4c-s-彼は護憲活動に参加しています。.mp3]
The view from the mountaintop is magnificent.	<b>博物館で美術品の展示が行われています。</b> <br> さんちょうからのてんぼうはすばらしいです。 <br><br> (展示) <br> [sound:4c-s-博物館で美術品の展示が行われています。.mp3]
The artist's exhibition was a huge success.	<b>山頂からの展望は素晴らしいです。</b> <br> そのがかのてんらんかいはだいせいきょうでした。 <br><br> (展望) <br> [sound:4c-s-山頂からの展望は素晴らしいです。.mp3]
He will hold a solo exhibition next month.	<b>その画家の展覧会は大盛況でした。</b> <br> かれはらいげつ、こてんをひらきます。 <br><br> (展覧会) <br> [sound:4c-s-その画家の展覧会は大盛況でした。.mp3]
She is taking a very proactive attitude.	<b>彼は来月、個展を開きます。</b> <br> かのじょはひじょうにせっきょくてきなたいどをとっています。 <br><br> (個展) <br> [sound:4c-s-彼は来月、個展を開きます。.mp3]
The manner was very elegant.	<b>彼女は非常に積極的な態度を取っています。</b> <br> そのたいはとてもじょうひんでした。 <br><br> (態度) <br> [sound:4c-s-彼女は非常に積極的な態度を取っています。.mp3]
The organization underwent changes to adapt to the new structure.	<b>その態はとても上品でした。</b> <br> あたらしいたいせいにたいおうするために、そしきはへんかくをおこないました。 <br><br> (態) <br> [sound:4c-s-その態はとても上品でした。.mp3]
This product is sold in various forms.	<b>新しい態勢に対応するために、組織は変革を行いました。</b> <br> このしょうひんはたようなけいたいではんばいされています。 <br><br> (態勢) <br> [sound:4c-s-新しい態勢に対応するために、組織は変革を行いました。.mp3]
Semiconductor technology is indispensable for modern electronics.	<b>この商品は多様な形態で販売されています。</b> <br> はんどうたいぎじゅつはげんだいのでんしききにかかせません。 <br><br> (形態) <br> [sound:4c-s-この商品は多様な形態で販売されています。.mp3]
He has control over the leadership of the project.	<b>半導体技術は現代の電子機器に欠かせません。</b> <br> かれはぷろじぇくとのしゅどうけんをにぎっています。 <br><br> (半導体) <br> [sound:4c-s-半導体技術は現代の電子機器に欠かせません。.mp3]
The sign directs visitors to the venue.	<b>彼はプロジェクトの主導権を握っています。</b> <br> そのかんばんはほうもんしゃをかいじょうへゆうどうします。 <br><br> (主導権) <br> [sound:4c-s-彼はプロジェクトの主導権を握っています。.mp3]
Superconducting technology may revolutionize future power supply.	<b>その看板は訪問者を会場へ誘導します。</b> <br> ちょうでんどうぎじゅつはしょうらいのでんりょくきょうきゅうにかくめいをもたらすかもしれません。 <br><br> (誘導) <br> [sound:4c-s-その看板は訪問者を会場へ誘導します。.mp3]
The Democratic People's Republic of Korea is located in Northeast Asia.	<b>超電導技術は将来の電力供給に革命をもたらすかもしれません。</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこくは、ほくとうアジアにいちしています。 <br><br> (超電導) <br> [sound:4c-s-超電導技術は将来の電力供給に革命をもたらすかもしれません。.mp3]
The Korean Peninsula lies between China and Japan.	<b>朝鮮民主主義人民共和国は、北東アジアに位置しています。</b> <br> ちょうせんはんとうは、ちゅうごくとにほんのあいだにあります。 <br><br> (朝鮮民主主義人民共和国) <br> [sound:4c-s-朝鮮民主主義人民共和国は、北東アジアに位置しています。.mp3]
His memory is vivid.	<b>朝鮮半島は中国と日本の間にあります。</b> <br> かれのきおくはせんめいです。 <br><br> (朝鮮半島) <br> [sound:4c-s-朝鮮半島は中国と日本の間にあります。.mp3]
I ate fresh fish.	<b>彼の記憶は鮮明です。</b> <br> しんせんなさかなをたべました。 <br><br> (鮮明) <br> [sound:4c-s-彼の記憶は鮮明です。.mp3]
I prepared emergency food in preparation for an earthquake.	<b>新鮮な魚を食べました。</b> <br> じしんにそなえてひじょうしょくをじゅんびしました。 <br><br> (新鮮) <br> [sound:4c-s-新鮮な魚を食べました。.mp3]
The security guard is patrolling around the building.	<b>地震に備えて非常食を準備しました。</b> <br> けいびいんはたてもののまわりをじゅんかいしています。 <br><br> (備える) <br> [sound:4c-s-地震に備えて非常食を準備しました。.mp3]
The defensive player stopped the ball well.	<b>警備員は建物の周りを巡回しています。</b> <br> しゅびのせんしゅはよくぼーるをとめました。 <br><br> (警備) <br> [sound:4c-s-警備員は建物の周りを巡回しています。.mp3]
I put spare batteries in my bag.	<b>守備の選手はよくボールを止めました。</b> <br> よびのでんちをかばんにいれておきました。 <br><br> (守備) <br> [sound:4c-s-守備の選手はよくボールを止めました。.mp3]
I’m working from home today.	<b>予備の電池をカバンに入れておきました。</b> <br> きょうはざいたくきんむをしています。 <br><br> (予備) <br> [sound:4c-s-予備の電池をカバンに入れておきました。.mp3]
A home search was conducted.	<b>今日は在宅勤務をしています。</b> <br> かたくそうさくがおこなわれました。 <br><br> (在宅) <br> [sound:4c-s-今日は在宅勤務をしています。.mp3]
This area is a quiet residential neighborhood.	<b>家宅捜索が行われました。</b> <br> このちいきはしずかなじゅうたくちです。 <br><br> (家宅) <br> [sound:4c-s-家宅捜索が行われました。.mp3]
New housing lots are being developed.	<b>この地域は静かな住宅地です。</b> <br> あたらしいたくちがかいはつされています。 <br><br> (住宅地) <br> [sound:4c-s-この地域は静かな住宅地です。.mp3]
Damage occurred due to the accident.	<b>新しい宅地が開発されています。</b> <br> じこによってそんがいがはっせいしました。 <br><br> (宅地) <br> [sound:4c-s-新しい宅地が開発されています。.mp3]
Facilities for people with disabilities are increasing.	<b>事故によって損害が発生しました。</b> <br> しょうがいしゃのためのしせつがふえています。 <br><br> (損害) <br> [sound:4c-s-事故によって損害が発生しました。.mp3]
Pollution is affecting the urban environment.	<b>障害者のための施設が増えています。</b> <br> こうがいがとしのかんきょうにえいきょうをあたえています。 <br><br> (障害者) <br> [sound:4c-s-障害者のための施設が増えています。.mp3]
The victims of the accident were taken to the hospital.	<b>公害が都市の環境に影響を与えています。</b> <br> そのじこのひがいしゃはびょういんにはこばれました。 <br><br> (公害) <br> [sound:4c-s-公害が都市の環境に影響を与えています。.mp3]
He showed consideration for my opinion.	<b>その事故の被害者は病院に運ばれました。</b> <br> かれはわたしのいけんにはいりょしてくれました。 <br><br> (被害者) <br> [sound:4c-s-その事故の被害者は病院に運ばれました。.mp3]
This year’s dividend from stocks was higher than expected.	<b>彼は私の意見に配慮してくれました。</b> <br> ことしのかぶのはいとうはよそうよりたかかったです。 <br><br> (配慮) <br> [sound:4c-s-彼は私の意見に配慮してくれました。.mp3]
I sensed his presence.	<b>今年の株の配当は予想より高かったです。</b> <br> かれのけはいをかんじました。 <br><br> (配当) <br> [sound:4c-s-今年の株の配当は予想より高かったです。.mp3]
I arranged the furniture appropriately in the room.	<b>彼の気配を感じました。</b> <br> かぐをへやにてきせつにはいちしました。 <br><br> (気配) <br> [sound:4c-s-彼の気配を感じました。.mp3]
The winner of the tournament will receive a secondary prize.	<b>家具を部屋に適切に配置しました。</b> <br> たいかいのゆうしょうしゃにはふくしょうがじゅよされます。 <br><br> (配置) <br> [sound:4c-s-家具を部屋に適切に配置しました。.mp3]
This movie has a subtitle.	<b>大会の優勝者には副賞が授与されます。</b> <br> このえいがにはふくだいがあります。 <br><br> (副賞) <br> [sound:4c-s-大会の優勝者には副賞が授与されます。.mp3]
A gas was produced as a byproduct of the chemical reaction.	<b>この映画には副題があります。</b> <br> かがくはんのうのふくさんぶつとしてガスがはっせいしました。 <br><br> (副題) <br> [sound:4c-s-この映画には副題があります。.mp3]
Ancient burial items were excavated.	<b>化学反応の副産物としてガスが発生しました。</b> <br> こだいのふくそうひんがはっくつされました。 <br><br> (副産物) <br> [sound:4c-s-化学反応の副産物としてガスが発生しました。.mp3]
Please calculate and solve this problem.	<b>古代の副葬品が発掘されました。</b> <br> このもんだいをけいさんしてといてください。 <br><br> (副葬品) <br> [sound:4c-s-古代の副葬品が発掘されました。.mp3]
The government announced a supplementary budget.	<b>この問題を計算して解いてください。</b> <br> せいふはほせいよさんをはっぴょうしました。 <br><br> (計算) <br> [sound:4c-s-この問題を計算して解いてください。.mp3]
The probability of success is high.	<b>政府は補正予算を発表しました。</b> <br> せいこうするこうさんはたかいです。 <br><br> (補正予算) <br> [sound:4c-s-政府は補正予算を発表しました。.mp3]
The cost was estimated roughly.	<b>成功する公算は高いです。</b> <br> そのひようはがいさんでけいさんされました。 <br><br> (公算) <br> [sound:4c-s-成功する公算は高いです。.mp3]
We should place importance on environmental issues.	<b>その費用は概算で計算されました。</b> <br> かんきょうもんだいをじゅうしするべきです。 <br><br> (概算) <br> [sound:4c-s-その費用は概算で計算されました。.mp3]
The TV show had high viewership ratings.	<b>環境問題を重視するべきです。</b> <br> そのてれびばんぐみのしちょうりつはたかかったです。 <br><br> (重視) <br> [sound:4c-s-環境問題を重視するべきです。.mp3]
It is important to broaden your perspective.	<b>そのテレビ番組の視聴率は高かったです。</b> <br> しやをひろげることがたいせつです。 <br><br> (視聴率) <br> [sound:4c-s-そのテレビ番組の視聴率は高かったです。.mp3]
A site inspection of the new facility was conducted.	<b>視野を広げることが大切です。</b> <br> あたらしいしせつのしさつがおこなわれました。 <br><br> (視野) <br> [sound:4c-s-視野を広げることが大切です。.mp3]
There is a law prohibiting smoking in this area.	<b>新しい施設の視察が行われました。</b> <br> このちいきではきつえんをきんしするじょうれいがあります。 <br><br> (視察) <br> [sound:4c-s-新しい施設の視察が行われました。.mp3]
Approval was granted with conditions.	<b>この地域では喫煙を禁止する条例があります。</b> <br> じょうけんつきでしょうにんがえられました。 <br><br> (条例) <br> [sound:4c-s-この地域では喫煙を禁止する条例があります。.mp3]
The contract was signed unconditionally.	<b>条件付きで承認が得られました。</b> <br> むじょうけんでけいやくがむすばれました。 <br><br> (条件付き) <br> [sound:4c-s-条件付きで承認が得られました。.mp3]
Improvement in labor conditions is being demanded.	<b>無条件で契約が結ばれました。</b> <br> ろうどうじょうけんのかいぜんがもとめられています。 <br><br> (無条件) <br> [sound:4c-s-無条件で契約が結ばれました。.mp3]
The Shinkansen connects Tokyo and Osaka.	<b>労働条件の改善が求められています。</b> <br> しんかんせんはとうきょうとおおさかをむすんでいます。 <br><br> (労働条件) <br> [sound:4c-s-労働条件の改善が求められています。.mp3]
This issue is related to the core of the organization.	<b>新幹線は東京と大阪を結んでいます。</b> <br> このもんだいはそしきのこんかんにかかわります。 <br><br> (新幹線) <br> [sound:4c-s-新幹線は東京と大阪を結んでいます。.mp3]
Main roads are key points in transportation.	<b>この問題は組織の根幹に関わります。</b> <br> かんせんどうろはこうつうのようしょです。 <br><br> (根幹) <br> [sound:4c-s-この問題は組織の根幹に関わります。.mp3]
The head of the department is leading the meeting.	<b>幹線道路は交通の要所です。</b> <br> しゅかんがかいぎをしんこうしています。 <br><br> (幹線) <br> [sound:4c-s-幹線道路は交通の要所です。.mp3]
His unique style catches the eye.	<b>主幹が会議を進行しています。</b> <br> かれのどくとくなすたいるがめをひきます。 <br><br> (主幹) <br> [sound:4c-s-主幹が会議を進行しています。.mp3]
That country is recognized as an independent nation.	<b>彼の独特なスタイルが目を引きます。</b> <br> そのくにはどくりつこくとしてみとめられています。 <br><br> (独特) <br> [sound:4c-s-彼の独特なスタイルが目を引きます。.mp3]
East Germany was part of Germany during the Cold War.	<b>その国は独立国として認められています。</b> <br> とうどくはれいせんじだいのどいつのいちぶでした。 <br><br> (独立国) <br> [sound:4c-s-その国は独立国として認められています。.mp3]
The dictator continues to hold power.	<b>東独は冷戦時代のドイツの一部でした。</b> <br> どくさいしゃはけんりょくをもちつづけています。 <br><br> (東独) <br> [sound:4c-s-東独は冷戦時代のドイツの一部でした。.mp3]
Neglecting vigilance is dangerous.	<b>独裁者は権力を持ち続けています。</b> <br> けいかいをおこたることはきけんです。 <br><br> (独裁) <br> [sound:4c-s-独裁者は権力を持ち続けています。.mp3]
The National Police Agency is responsible for maintaining public order.	<b>警戒を怠ることは危険です。</b> <br> けいさつちょうはちあんをまもるせきにんがあります。 <br><br> (警戒) <br> [sound:4c-s-警戒を怠ることは危険です。.mp3]
Security guards are conducting checks at the entrance.	<b>警察庁は治安を守る責任があります。</b> <br> けいびいんがいりぐちでちぇっくをおこなっています。 <br><br> (警察庁) <br> [sound:4c-s-警察庁は治安を守る責任があります。.mp3]
The police officer is directing traffic.	<b>警備員が入り口でチェックを行っています。</b> <br> けいかんがこうつうのしどうをおこなっています。 <br><br> (警備) <br> [sound:4c-s-警備員が入り口でチェックを行っています。.mp3]
The royal family lives in the palace.	<b>警官が交通の指導を行っています。</b> <br> おうぞくはきゅうでんにすんでいます。 <br><br> (警官) <br> [sound:4c-s-警官が交通の指導を行っています。.mp3]
The uterus is part of the female reproductive system.	<b>王族は宮殿に住んでいます。</b> <br> しきゅうはじょせいのせいしょくきのいちぶです。 <br><br> (宮殿) <br> [sound:4c-s-王族は宮殿に住んでいます。.mp3]
A grand ceremony was held in the imperial court.	<b>子宮は女性の生殖器の一部です。</b> <br> きゅうちゅうでおおきなぎしきがおこなわれました。 <br><br> (子宮) <br> [sound:4c-s-子宮は女性の生殖器の一部です。.mp3]
The Crown Prince's residence is in the Eastern Palace.	<b>宮中で大きな儀式が行われました。</b> <br> とうぐうはこうたいしのきょじゅうちです。 <br><br> (宮中) <br> [sound:4c-s-宮中で大きな儀式が行われました。.mp3]
The truth behind the incident is being investigated.	<b>東宮は皇太子の居住地です。</b> <br> じけんのしんそうがきゅうめいされています。 <br><br> (東宮) <br> [sound:4c-s-東宮は皇太子の居住地です。.mp3]
The researcher is conducting a new experiment.	<b>事件の真相が究明されています。</b> <br> けんきゅういんはあたらしいじっけんをおこなっています。 <br><br> (究明) <br> [sound:4c-s-事件の真相が究明されています。.mp3]
I work in the physics lab.	<b>研究員は新しい実験を行っています。</b> <br> わたしはぶつりのけんきゅうしつではたらいています。 <br><br> (研究員) <br> [sound:4c-s-研究員は新しい実験を行っています。.mp3]
