同日に会議があります。 <br><br> (同日)	<b>どうじつにかいぎがあります。</b> <br> There is a meeting on the same day. <br> [sound:4c-s-同日に会議があります。.mp3]
床に新聞紙を広げて掃除をしました。 <br><br> (新聞紙)	<b>ゆかにしんぶんしをひろげてそうじをしました。</b> <br> I spread newspaper on the floor and cleaned it. <br> [sound:4c-s-床に新聞紙を広げて掃除をしました。.mp3]
その事件は前代未聞の出来事でした。 <br><br> (前代未聞)	<b>そのじけんはぜんだいみもんのできごとでした。</b> <br> The incident was an unprecedented event. <br> [sound:4c-s-その事件は前代未聞の出来事でした。.mp3]
昨日、新聞記事でその話を読みました。 <br><br> (新聞記事)	<b>きのう、しんぶんきじでそのはなしをよみました。</b> <br> I read the story in a newspaper article yesterday. <br> [sound:4c-s-昨日、新聞記事でその話を読みました。.mp3]
この箱の中身は何ですか？ <br><br> (中身)	<b>このはこのなかみはなんですか？</b> <br> What is inside this box? <br> [sound:4c-s-この箱の中身は何ですか？.mp3]
彼の身長は180センチメートルです。 <br><br> (身長)	<b>かれのしんちょうは180せんちめーとるです。</b> <br> His height is 180 cm. <br> [sound:4c-s-彼の身長は180センチメートルです。.mp3]
全身を使って運動することが大切です。 <br><br> (全身)	<b>ぜんしんをつかってうんどうすることがたいせつです。</b> <br> It is important to exercise using your whole body. <br> [sound:4c-s-全身を使って運動することが大切です。.mp3]
この町の出身者はとても誇りに思っています。 <br><br> (出身者)	<b>このまちのしゅっしんしゃはとてもほこりにおもっています。</b> <br> The people from this town are very proud. <br> [sound:4c-s-この町の出身者はとても誇りに思っています。.mp3]
このプロジェクトの費用は予算を超えています。 <br><br> (費用)	<b>このぷろじぇくとのひようはよさんをこえています。</b> <br> The cost of this project exceeds the budget. <br> [sound:4c-s-このプロジェクトの費用は予算を超えています。.mp3]
会議の経費は会社が負担します。 <br><br> (経費)	<b>かいぎのけいひはかいしゃがふたんします。</b> <br> The company will bear the costs of the meeting. <br> [sound:4c-s-会議の経費は会社が負担します。.mp3]
人件費が高くなってきている問題があります。 <br><br> (人件費)	<b>じんけんひがたかくなってきているもんだいがあります。</b> <br> There is a problem with rising labor costs. <br> [sound:4c-s-人件費が高くなってきている問題があります。.mp3]
このクラブの会費は月額1000円です。 <br><br> (会費)	<b>このくらぶのかいひはげつがく1000えんです。</b> <br> The club's membership fee is 1000 yen per month. <br> [sound:4c-s-このクラブの会費は月額1000円です。.mp3]
新しいパスポートが交付されました。 <br><br> (交付)	<b>あたらしいぱすぽーとがこうふされました。</b> <br> A new passport has been issued. <br> [sound:4c-s-新しいパスポートが交付されました。.mp3]
仕事の付き合いで、今日はお酒を飲みます。 <br><br> (付き合い)	<b>しごとのつきあいで、きょうはおさけをのみます。</b> <br> I will drink alcohol today due to work relations. <br> [sound:4c-s-仕事の付き合いで、今日はお酒を飲みます。.mp3]
銀行は低金利で貸付を行っています。 <br><br> (貸付)	<b>ぎんこうはていきんりでかしつけをおこなっています。</b> <br> The bank provides loans at low interest rates. <br> [sound:4c-s-銀行は低金利で貸付を行っています。.mp3]
今日の日付は2025年6月8日です。 <br><br> (日付)	<b>きょうのひづけは2025ねん6がつ8にちです。</b> <br> Today's date is June 8, 2025. <br> [sound:4c-s-今日の日付は2025年6月8日です。.mp3]
政府は新しい施策を導入しました。 <br><br> (施策)	<b>せいふはあたらしいしさくをどうにゅうしました。</b> <br> The government has introduced new policies. <br> [sound:4c-s-政府は新しい施策を導入しました。.mp3]
新しい法律は来月から施行されます。 <br><br> (施行)	<b>あたらしいほうりつはらいげつからしこうされます。</b> <br> The new law will be enforced starting next month. <br> [sound:4c-s-新しい法律は来月から施行されます。.mp3]
施政方針を発表するために、会見が開かれました。 <br><br> (施政)	<b>せいせいほうしんをはっぴょうするために、かいけんがひらかれました。</b> <br> A press conference was held to announce the policy direction. <br> [sound:4c-s-施政方針を発表するために、会見が開かれました。.mp3]
この建物の施工は来年に開始されます。 <br><br> (施工)	<b>このたてもののせこうはらいねんにかいしされます。</b> <br> The construction of this building will start next year. <br> [sound:4c-s-この建物の施工は来年に開始されます。.mp3]
適切な対応が必要です。 <br><br> (適切)	<b>てきせつなたいおうがひつようです。</b> <br> Appropriate action is required. <br> [sound:4c-s-適切な対応が必要です。.mp3]
その仕事を切りのいいところで終わらせました。 <br><br> (切り)	<b>そのしごとをきりのいいところでおわらせました。</b> <br> I finished the task at a good stopping point. <br> [sound:4c-s-その仕事を切りのいいところで終わらせました。.mp3]
思い切って新しい仕事に挑戦しました。 <br><br> (思い切って)	<b>おもいきってあたらしいしごとにちょうせんしました。</b> <br> I boldly challenged myself to a new job. <br> [sound:4c-s-思い切って新しい仕事に挑戦しました。.mp3]
今日は牛乳を切らしてしまいました。 <br><br> (切らす)	<b>きょうはぎゅうにゅうをきらしてしまいました。</b> <br> I ran out of milk today. <br> [sound:4c-s-今日は牛乳を切らしてしまいました。.mp3]
この便は東京経由で大阪に行きます。 <br><br> (経由)	<b>このびんはとうきょうけいゆでおおさかにいきます。</b> <br> This flight goes through Tokyo on its way to Osaka. <br> [sound:4c-s-この便は東京経由で大阪に行きます。.mp3]
その町では交通が不自由です。 <br><br> (不自由)	<b>そのまちではこうつうがふじゆうです。</b> <br> Transportation is inconvenient in that town. <br> [sound:4c-s-その町では交通が不自由です。.mp3]
市場の自由化が進んでいます。 <br><br> (自由化)	<b>しじょうのじゆうかがすすんでいます。</b> <br> Market liberalization is progressing. <br> [sound:4c-s-市場の自由化が進んでいます。.mp3]
彼は自由形の泳ぎが得意です。 <br><br> (自由形)	<b>かれはじゆうがたのおよぎがとくいです。</b> <br> He is good at freestyle swimming. <br> [sound:4c-s-彼は自由形の泳ぎが得意です。.mp3]
この本には詳しい解説があります。 <br><br> (解説)	<b>このほんにはくわしいかいせつがあります。</b> <br> This book contains detailed explanations. <br> [sound:4c-s-この本には詳しい解説があります。.mp3]
彼は私を説得して、計画を変更しました。 <br><br> (説得)	<b>かれはわたしをせっとくして、けいかくをへんこうしました。</b> <br> He persuaded me to change the plan. <br> [sound:4c-s-彼は私を説得して、計画を変更しました。.mp3]
その山には古くからの伝説があります。 <br><br> (伝説)	<b>そのやまにはふるくからのでんせつがあります。</b> <br> There are ancient legends about that mountain. <br> [sound:4c-s-その山には古くからの伝説があります。.mp3]
候補者は遊説で全国を回っています。 <br><br> (遊説)	<b>こうほしゃはゆうぜいでぜんこくをまわっています。</b> <br> The candidate is touring the country on a campaign. <br> [sound:4c-s-候補者は遊説で全国を回っています。.mp3]
会社は来月、オフィスを移転します。 <br><br> (移転)	<b>かいしゃはらいげつ、おふぃすをいてんします。</b> <br> The company will relocate its office next month. <br> [sound:4c-s-会社は来月、オフィスを移転します。.mp3]
運転手は私たちを空港まで連れて行きました。 <br><br> (運転手)	<b>うんてんしゅはわたしたちをくうこうまでつれていきました。</b> <br> The driver took us to the airport. <br> [sound:4c-s-運転手は私たちを空港まで連れて行きました。.mp3]
私は毎日、自転車で通勤しています。 <br><br> (自転車)	<b>わたしはまいにち、じてんしゃでつうきんしています。</b> <br> I commute by bicycle every day. <br> [sound:4c-s-私は毎日、自転車で通勤しています。.mp3]
この工場では、毎日製品が回転しています。 <br><br> (回転)	<b>このこうじょうでは、まいにちせいひんがかいてんしています。</b> <br> In this factory, products are produced every day. <br> [sound:4c-s-この工場では、毎日製品が回転しています。.mp3]
食料品の買い物をするためにスーパーに行きました。 <br><br> (食料)	<b>しょくりょうひんのかいものをするためにすーぱーにいきました。</b> <br> I went to the supermarket to buy food. <br> [sound:4c-s-食料品の買い物をするためにスーパーに行きました。.mp3]
食糧の供給が安定しています。 <br><br> (食糧)	<b>しょくりょうのきょうきゅうがあんていしています。</b> <br> The supply of food is stable. <br> [sound:4c-s-食糧の供給が安定しています。.mp3]
今日は昼食に寿司を食べました。 <br><br> (昼食)	<b>きょうはちゅうしょくにすしをたべました。</b> <br> I had sushi for lunch today. <br> [sound:4c-s-今日は昼食に寿司を食べました。.mp3]
このレストランは飲食店として人気があります。 <br><br> (飲食)	<b>このれすとらんはいんしょくてんとしてにんきがあります。</b> <br> This restaurant is popular as a dining establishment. <br> [sound:4c-s-このレストランは飲食店として人気があります。.mp3]
この二つの製品を比較してみました。 <br><br> (比較)	<b>このふたつのせいひんをひかくしてみました。</b> <br> I compared these two products. <br> [sound:4c-s-この二つの製品を比較してみました。.mp3]
この町と他の町を比べると、交通が便利です。 <br><br> (比べ)	<b>このまちとほかのまちをくらべると、こうつうがべんりです。</b> <br> Compared to other towns, transportation here is convenient. <br> [sound:4c-s-この町と他の町を比べると、交通が便利です。.mp3]
この商品の価格は他の商品の半分の比です。 <br><br> (比)	<b>このしょうひんのかかくはほかのしょうひんのはんぶんのひです。</b> <br> The price of this product is half of other products. <br> [sound:4c-s-この商品の価格は他の商品の半分の比です。.mp3]
この物質の比重は水よりも高いです。 <br><br> (比重)	<b>このぶっしつのひじゅうはみずよりもたかいです。</b> <br> The specific gravity of this material is higher than water. <br> [sound:4c-s-この物質の比重は水よりも高いです。.mp3]
その問題を解決するには困難な状況です。 <br><br> (困難)	<b>そのもんだいをかいけつするにはこんなんなじょうきょうです。</b> <br> It is a difficult situation to solve the problem. <br> [sound:4c-s-その問題を解決するには困難な状況です。.mp3]
避難所は学校に設置されています。 <br><br> (避難)	<b>ひなんじょはがっこうにせっちされています。</b> <br> Temporary shelters are set up in schools. <br> [sound:4c-s-避難所は学校に設置されています。.mp3]
彼はその行動を非難されました。 <br><br> (非難)	<b>かれはそのこうどうをひなんされました。</b> <br> He was criticized for his actions. <br> [sound:4c-s-彼はその行動を非難されました。.mp3]
彼はその提案に難色を示しました。 <br><br> (難色)	<b>かれはそのていあんになんしょくをしめしました。</b> <br> He showed hesitation toward the proposal. <br> [sound:4c-s-彼はその提案に難色を示しました。.mp3]
防衛庁は新しい政策を発表しました。 <br><br> (防衛庁)	<b>ぼうえいちょうはあたらしいせいさくをはっぴょうしました。</b> <br> The Ministry of Defense announced a new policy. <br> [sound:4c-s-防衛庁は新しい政策を発表しました。.mp3]
予防接種を受けることが重要です。 <br><br> (予防)	<b>よぼうせっしゅをうけることがじゅうようです。</b> <br> It is important to get vaccinations to prevent diseases. <br> [sound:4c-s-予防接種を受けることが重要です。.mp3]
攻防戦が激しく行われました。 <br><br> (攻防)	<b>こうぼうせんがはげしくおこなわれました。</b> <br> The battle between offense and defense was intense. <br> [sound:4c-s-攻防戦が激しく行われました。.mp3]
消防士は火事の消火活動を行っています。 <br><br> (消防)	<b>しょうぼうしはかじのしょうかかつどうをおこなっています。</b> <br> The firefighters are engaged in firefighting activities. <br> [sound:4c-s-消防士は火事の消火活動を行っています。.mp3]
彼は次の選挙に立候補する予定です。 <br><br> (立候補)	<b>かれはつぎのせんきょにりっこうほするよていです。</b> <br> He plans to run for the next election. <br> [sound:4c-s-彼は次の選挙に立候補する予定です。.mp3]
政府は補正予算を提出しました。 <br><br> (補正予算)	<b>せいふはほせいよさんをていしゅつしました。</b> <br> The government submitted a supplementary budget. <br> [sound:4c-s-政府は補正予算を提出しました。.mp3]
彼はプロジェクトの補佐をしています。 <br><br> (補佐)	<b>かれはぷろじぇくとのほさをしています。</b> <br> He is assisting with the project. <br> [sound:4c-s-彼はプロジェクトの補佐をしています。.mp3]
物資の補給が必要です。 <br><br> (補給)	<b>ぶっしのほきゅうがひつようです。</b> <br> Supply replenishment is necessary. <br> [sound:4c-s-物資の補給が必要です。.mp3]
その道には乗用車がたくさん走っています。 <br><br> (乗用車)	<b>そのみちはじょうようしゃがたくさんはしっています。</b> <br> There are many cars running on that road. <br> [sound:4c-s-その道には乗用車がたくさん走っています。.mp3]
自転車で公園に行くのは楽しいです。 <br><br> (自転車)	<b>じてんしゃでこうえんにいくのはたのしいです。</b> <br> Cycling to the park is fun. <br> [sound:4c-s-自転車で公園に行くのは楽しいです。.mp3]
新しい車両が駅に到着しました。 <br><br> (車両)	<b>あたらしいしゃりょうがえきにとうちゃくしました。</b> <br> New vehicles have arrived at the station. <br> [sound:4c-s-新しい車両が駅に到着しました。.mp3]
電車は定刻通りに到着しました。 <br><br> (電車)	<b>でんしゃはていこくどおりにとうちゃくしました。</b> <br> The train arrived on time. <br> [sound:4c-s-電車は定刻通りに到着しました。.mp3]
彼女は才能ある女優として知られています。 <br><br> (女優)	<b>かのじょはさいのうあるじょゆうとしてしられています。</b> <br> She is known as a talented actress. <br> [sound:4c-s-彼女は才能ある女優として知られています。.mp3]
彼は優秀なエンジニアです。 <br><br> (優秀)	<b>かれはゆうしゅうなえんじにあです。</b> <br> He is an excellent engineer. <br> [sound:4c-s-彼は優秀なエンジニアです。.mp3]
このプログラムでは参加者が優遇されます。 <br><br> (優遇)	<b>このぷろぐらむではさんかしゃがゆうぐうされます。</b> <br> Participants in this program are given preferential treatment. <br> [sound:4c-s-このプログラムでは参加者が優遇されます。.mp3]
彼はとても優しい人です。 <br><br> (優しい)	<b>かれはとてもやさしいひとです。</b> <br> He is a very kind person. <br> [sound:4c-s-彼はとても優しい人です。.mp3]
夫妻は一緒に旅行に行きました。 <br><br> (夫妻)	<b>ふさいはいっしょにりょこうにいきました。</b> <br> The couple went on a trip together. <br> [sound:4c-s-夫妻は一緒に旅行に行きました。.mp3]
彼は問題を解決するために工夫を凝らしました。 <br><br> (工夫)	<b>かれはもんだいをかいけつするためにくふうをこらしました。</b> <br> He came up with creative solutions to solve the problem. <br> [sound:4c-s-彼は問題を解決するために工夫を凝らしました。.mp3]
大丈夫ですよ、心配しないでください。 <br><br> (大丈夫)	<b>だいじょうぶですよ、しんぱいしないでください。</b> <br> It's okay, don't worry. <br> [sound:4c-s-大丈夫ですよ、心配しないでください。.mp3]
この靴は非常に丈夫です。 <br><br> (丈夫)	<b>このくつはひじょうにじょうぶです。</b> <br> These shoes are very durable. <br> [sound:4c-s-この靴は非常に丈夫です。.mp3]
その研究者は新しい技術を開発しています。 <br><br> (研究者)	<b>そのけんきゅうしゃはあたらしいぎじゅつをかいはつしています。</b> <br> The researcher is developing new technology. <br> [sound:4c-s-その研究者は新しい技術を開発しています。.mp3]
研究員は新しい発見をしました。 <br><br> (研究員)	<b>けんきゅういんはあたらしいはっけんをしました。</b> <br> The researcher made a new discovery. <br> [sound:4c-s-研究員は新しい発見をしました。.mp3]
彼の研究室は大学の最上階にあります。 <br><br> (研究室)	<b>かれのけんきゅうしつはだいがくのさいじょうかいにあります。</b> <br> His laboratory is on the top floor of the university. <br> [sound:4c-s-彼の研究室は大学の最上階にあります。.mp3]
この研究家は歴史に関する書籍を多数出版しています。 <br><br> (研究家)	<b>このけんきゅうかはれきしにかんするしょせきをたすうしゅっぱんしています。</b> <br> This scholar has published many books on history. <br> [sound:4c-s-この研究家は歴史に関する書籍を多数出版しています。.mp3]
今年の収益は予想を上回りました。 <br><br> (収益)	<b>ことしのしゅうえきはよそうをうわまわりました。</b> <br> This year's earnings exceeded expectations. <br> [sound:4c-s-今年の収益は予想を上回りました。.mp3]
彼は収賄で逮捕されました。 <br><br> (収賄)	<b>かれはしゅうわいでたいほされました。</b> <br> He was arrested for bribery. <br> [sound:4c-s-彼は収賄で逮捕されました。.mp3]
税収は予算の目標を達成しました。 <br><br> (税収)	<b>ぜいしゅうはよさんのもくひょうをたっせいしました。</b> <br> Tax revenue has reached the budget target. <br> [sound:4c-s-税収は予算の目標を達成しました。.mp3]
その企業は他の会社を買収しました。 <br><br> (買収)	<b>そのきぎょうはほかのかいしゃをばいしゅうしました。</b> <br> The company acquired another company. <br> [sound:4c-s-その企業は他の会社を買収しました。.mp3]
医者は病気の診断を下しました。 <br><br> (診断)	<b>いしゃはびょうきのしんだんをくだしました。</b> <br> The doctor made a diagnosis of the illness. <br> [sound:4c-s-医者は病気の診断を下しました。.mp3]
彼は私のお願いを断りました。 <br><br> (断る)	<b>かれはわたしのおねがいをことわりました。</b> <br> He declined my request. <br> [sound:4c-s-彼は私のお願いを断りました。.mp3]
彼はどんな状況でも断らずに手伝ってくれます。 <br><br> (断らず)	<b>かれはどんなじょうきょうでもことわらずにてつだってくれます。</b> <br> He helps without refusal in any situation. <br> [sound:4c-s-彼はどんな状況でも断らずに手伝ってくれます。.mp3]
彼は計画を断念することに決めました。 <br><br> (断念)	<b>かれはけいかくをだんねんすることにきめました。</b> <br> He decided to give up on the plan. <br> [sound:4c-s-彼は計画を断念することに決めました。.mp3]
油井の掘削が始まりました。 <br><br> (油井)	<b>ゆせいのくっさくがはじまりました。</b> <br> The drilling of the oil well has started. <br> [sound:4c-s-油井の掘削が始まりました。.mp3]
筒井さんは新しいプロジェクトのリーダーです。 <br><br> (筒井)	<b>つついさんはあたらしいぷろじぇくとのりーだーです。</b> <br> Tsuttsui-san is the leader of the new project. <br> [sound:4c-s-筒井さんは新しいプロジェクトのリーダーです。.mp3]
井戸掘りは昔の生活の重要な部分でした。 <br><br> (井戸掘り)	<b>いどほりはむかしのせいかつのじゅうようなぶぶんでした。</b> <br> Well digging was an important part of ancient life. <br> [sound:4c-s-井戸掘りは昔の生活の重要な部分でした。.mp3]
井筒は日本の伝統的な井戸の形式の一つです。 <br><br> (井筒)	<b>いづつはにほんのでんとうてきないどのけいしきのひとつです。</b> <br> Idutsu is one of Japan's traditional well structures. <br> [sound:4c-s-井筒は日本の伝統的な井戸の形式の一つです。.mp3]
何とかこの問題を解決しなければなりません。 <br><br> (何とか)	<b>なんとかこのもんだいをかいけつしなければなりません。</b> <br> We have to somehow solve this problem. <br> [sound:4c-s-何とかこの問題を解決しなければなりません。.mp3]
何の用事ですか？ なんのようじですか？ What is it about? <br><br> (何の)	<b>なによりもけんこうがたいせつです。</b> <br> Health is more important than anything else. <br> [sound:4c-s-何の用事ですか？ なんのようじですか？ What is it about?.mp3]
何よりも健康が大切です。 <br><br> (何より)	<b>かれはなんでもしっているようにみえます。</b> <br> He seems to know everything. <br> [sound:4c-s-何よりも健康が大切です。.mp3]
彼は何でも知っているように見えます。 <br><br> (何でも)	<b>とうなんあじあにはおおくのいぶんかがあります。</b> <br> Southeast Asia has many different cultures. <br> [sound:4c-s-彼は何でも知っているように見えます。.mp3]
東南アジアには多くの異文化があります。 <br><br> (東南)	<b>そのとしのなんぶにはうつくしいこうえんがあります。</b> <br> There is a beautiful park in the southern part of the city. <br> [sound:4c-s-東南アジアには多くの異文化があります。.mp3]
その都市の南部には美しい公園があります。 <br><br> (南部)	<b>そのちいきはなんせいほうこうにいちしています。</b> <br> The area is located southwest. <br> [sound:4c-s-その都市の南部には美しい公園があります。.mp3]
その地域は南西方向に位置しています。 <br><br> (南西)	<b>ちゅうなんべいのぶんかはひじょうにたようです。</b> <br> Culture in Central and South America is very diverse. <br> [sound:4c-s-その地域は南西方向に位置しています。.mp3]
中南米の文化は非常に多様です。 <br><br> (中南米)	<b>せきたんはいちじき、じゅうようなえねるぎーげんでした。</b> <br> Coal was once an important energy source. <br> [sound:4c-s-中南米の文化は非常に多様です。.mp3]
石炭は一時期、重要なエネルギー源でした。 <br><br> (石炭)	<b>いしばしはひじょうにけんごなはしとしてしられています。</b> <br> Stone bridges are known to be extremely solid. <br> [sound:4c-s-石炭は一時期、重要なエネルギー源でした。.mp3]
石橋は非常に堅固な橋として知られています。 <br><br> (石橋)	<b>かのじょはうつくしいほうせきをもっています。</b> <br> She has beautiful jewels. <br> [sound:4c-s-石橋は非常に堅固な橋として知られています。.mp3]
彼女は美しい宝石を持っています。 <br><br> (宝石)	<b>このしろにはふるいいしがきがのこっています。</b> <br> This castle has old stone walls. <br> [sound:4c-s-彼女は美しい宝石を持っています。.mp3]
この城には古い石垣が残っています。 <br><br> (石垣)	<b>かれはそのけっかにまんぞくしています。</b> <br> He is satisfied with the result. <br> [sound:4c-s-この城には古い石垣が残っています。.mp3]
彼はその結果に満足しています。 <br><br> (満足)	<b>ちーむのあしなみをそろえてすすむことがたいせつです。</b> <br> It’s important to move forward together as a team. <br> [sound:4c-s-彼はその結果に満足しています。.mp3]
チームの足並みを揃えて進むことが大切です。 <br><br> (足並み)	<b>あしもとにきをつけてあるいてください。</b> <br> Please watch your step as you walk. <br> [sound:4c-s-チームの足並みを揃えて進むことが大切です。.mp3]
足元に気を付けて歩いてください。 <br><br> (足元)	<b>そのもんだいはてあしをつかってかいけつすることができます。</b> <br> This problem can be solved by using hands and feet. <br> [sound:4c-s-足元に気を付けて歩いてください。.mp3]
その問題は手足を使って解決することができます。 <br><br> (手足)	<b>そのこういはいほうです。</b> <br> That action is illegal. <br> [sound:4c-s-その問題は手足を使って解決することができます。.mp3]
その行為は違法です。 <br><br> (違法)	<b>これはおおきなまちがいでした。</b> <br> This was a big mistake. <br> [sound:4c-s-その行為は違法です。.mp3]
これは大きな間違いでした。 <br><br> (間違い)	<b>いけんにそういがありました。</b> <br> There was a difference of opinion. <br> [sound:4c-s-これは大きな間違いでした。.mp3]
意見に相違がありました。 <br><br> (相違)	<b>そのばしょにはなにかいわかんをかんじました。</b> <br> I felt something out of place in that location. <br> [sound:4c-s-意見に相違がありました。.mp3]
その場所には何か違和感を感じました。 <br><br> (違和感)	<b>すとれすをかいしょうするためにうんどうをしています。</b> <br> I exercise to relieve stress. <br> [sound:4c-s-その場所には何か違和感を感じました。.mp3]
ストレスを解消するために運動をしています。 <br><br> (解消)	<b>かれはしょうきょくてきなたいどをとっています。</b> <br> He is taking a passive attitude. <br> [sound:4c-s-ストレスを解消するために運動をしています。.mp3]
彼は消極的な態度を取っています。 <br><br> (消極的)	<b>しょうぼうたいはかじのげんばにむかっています。</b> <br> The fire brigade is heading to the fire scene. <br> [sound:4c-s-彼は消極的な態度を取っています。.mp3]
消防隊は火事の現場に向かっています。 <br><br> (消防)	<b>えんぴつでかいたもじをけしごむでけしました。</b> <br> I erased the pencil-written text with an eraser. <br> [sound:4c-s-消防隊は火事の現場に向かっています。.mp3]
鉛筆で書いた文字を消しゴムで消しました。 <br><br> (消しゴム)	<b>かんきょうちょうはあたらしいかんきょうせいさくをはっぴょうしました。</b> <br> The Environmental Agency announced new environmental policies. <br> [sound:4c-s-鉛筆で書いた文字を消しゴムで消しました。.mp3]
環境庁は新しい環境政策を発表しました。 <br><br> (環境庁)	<b>かのじょはげんざい、ふくざつなしんきょうにあります。</b> <br> She is currently in a complex emotional state. <br> [sound:4c-s-環境庁は新しい環境政策を発表しました。.mp3]
彼女は現在、複雑な心境にあります。 <br><br> (心境)	<b>くにとくにのあいだにめいかくなきょうかいがあります。</b> <br> There is a clear boundary between countries. <br> [sound:4c-s-彼女は現在、複雑な心境にあります。.mp3]
国と国の間に明確な境界があります。 <br><br> (境界)	<b>けいざいてきなくきょうにちょくめんしています。</b> <br> We are facing a difficult economic situation. <br> [sound:4c-s-国と国の間に明確な境界があります。.mp3]
経済的な苦境に直面しています。 <br><br> (苦境)	<b>かれはしんけいしつなせいかくです。</b> <br> He has a nervous personality. <br> [sound:4c-s-経済的な苦境に直面しています。.mp3]
彼は神経質な性格です。 <br><br> (神経)	<b>そのじんじゃはとてもれきしてきなばしょです。</b> <br> This shrine is a very historical site. <br> [sound:4c-s-彼は神経質な性格です。.mp3]
その神社はとても歴史的な場所です。 <br><br> (神社)	<b>せいしんてきなさぽーとがひつようです。</b> <br> Mental support is necessary. <br> [sound:4c-s-その神社はとても歴史的な場所です。.mp3]
精神的なサポートが必要です。 <br><br> (精神的)	<b>いせじんぐうはにほんで最もゆうめいなじんじゃのひとつです。</b> <br> Ise Jingu is one of the most famous shrines in Japan. <br> [sound:4c-s-精神的なサポートが必要です。.mp3]
伊勢神宮は日本で最も有名な神社の一つです。 <br><br> (神宮)	<b>きょうはほんばんのしあいです。</b> <br> Today is the real match. <br> [sound:4c-s-伊勢神宮は日本で最も有名な神社の一つです。.mp3]
今日は本番の試合です。 <br><br> (本番)	<b>つぎのばんてはかれです。</b> <br> He is next in line. <br> [sound:4c-s-今日は本番の試合です。.mp3]
次の番手は彼です。 <br><br> (番手)	<b>つぎはあなたの出ばんです。</b> <br> Next is your turn. <br> [sound:4c-s-次の番手は彼です。.mp3]
次はあなたの出番です。 <br><br> (出番)	<b>わたしはいつもにばんをえらびます。</b> <br> I always choose number two. <br> [sound:4c-s-次はあなたの出番です。.mp3]
私はいつも二番を選びます。 <br><br> (二番)	<b>そのぷろじぇくとはだいきぼなものです。</b> <br> The project is on a large scale. <br> [sound:4c-s-私はいつも二番を選びます。.mp3]
そのプロジェクトは大規模なものです。 <br><br> (大規模)	<b>しんきのこきゃくがふえています。</b> <br> The number of new customers is increasing. <br> [sound:4c-s-そのプロジェクトは大規模なものです。.mp3]
新規の顧客が増えています。 <br><br> (新規)	<b>このがっこうにはきびしいきそくがあります。</b> <br> This school has strict rules. <br> [sound:4c-s-新規の顧客が増えています。.mp3]
この学校には厳しい規則があります。 <br><br> (規則)	<b>このせいひんはこくさいきかくにじゅんきょしています。</b> <br> This product meets international standards. <br> [sound:4c-s-この学校には厳しい規則があります。.mp3]
この製品は国際規格に準拠しています。 <br><br> (規格)	<b>しゅじゅつはぶじにおわりました。</b> <br> The surgery went smoothly. <br> [sound:4c-s-この製品は国際規格に準拠しています。.mp3]
手術は無事に終わりました。 <br><br> (手術)	<b>びじゅつかんにはおおくのすばらしいかいががあります。</b> <br> The art museum has many wonderful paintings. <br> [sound:4c-s-手術は無事に終わりました。.mp3]
美術館には多くの素晴らしい絵画があります。 <br><br> (美術館)	<b>かれのせんじゅつはひじょうにこうかてきです。</b> <br> His tactics are very effective. <br> [sound:4c-s-美術館には多くの素晴らしい絵画があります。.mp3]
彼の戦術は非常に効果的です。 <br><br> (戦術)	<b>そのぎじゅつしゃはさいしんのてくのろじーにせいつうしています。</b> <br> The engineer is well-versed in the latest technology. <br> [sound:4c-s-彼の戦術は非常に効果的です。.mp3]
その技術者は最新のテクノロジーに精通しています。 <br><br> (技術者)	<b>かいごしせつではたらいています。</b> <br> I work at a nursing home. <br> [sound:4c-s-その技術者は最新のテクノロジーに精通しています。.mp3]
介護施設で働いています。 <br><br> (介護)	<b>かんごしはかんじゃをていねいにみまもっています。</b> <br> The nurse is carefully watching over the patient. <br> [sound:4c-s-介護施設で働いています。.mp3]
看護師は患者を丁寧に見守っています。 <br><br> (看護)	<b>かれはべんごにんとしてほうていにたちました。</b> <br> He stood in court as the defense attorney. <br> [sound:4c-s-看護師は患者を丁寧に見守っています。.mp3]
彼は弁護人として法廷に立ちました。 <br><br> (弁護)	<b>かれはごけんかつどうにさんかしています。</b> <br> He is participating in constitutional protection activities. <br> [sound:4c-s-彼は弁護人として法廷に立ちました。.mp3]
彼は護憲活動に参加しています。 <br><br> (護憲)	<b>はくぶつかんでびじゅつひんのてんじがおこなわれています。</b> <br> An exhibition of art pieces is being held at the museum. <br> [sound:4c-s-彼は護憲活動に参加しています。.mp3]
博物館で美術品の展示が行われています。 <br><br> (展示)	<b>さんちょうからのてんぼうはすばらしいです。</b> <br> The view from the mountaintop is magnificent. <br> [sound:4c-s-博物館で美術品の展示が行われています。.mp3]
山頂からの展望は素晴らしいです。 <br><br> (展望)	<b>そのがかのてんらんかいはだいせいきょうでした。</b> <br> The artist's exhibition was a huge success. <br> [sound:4c-s-山頂からの展望は素晴らしいです。.mp3]
その画家の展覧会は大盛況でした。 <br><br> (展覧会)	<b>かれはらいげつ、こてんをひらきます。</b> <br> He will hold a solo exhibition next month. <br> [sound:4c-s-その画家の展覧会は大盛況でした。.mp3]
彼は来月、個展を開きます。 <br><br> (個展)	<b>かのじょはひじょうにせっきょくてきなたいどをとっています。</b> <br> She is taking a very proactive attitude. <br> [sound:4c-s-彼は来月、個展を開きます。.mp3]
彼女は非常に積極的な態度を取っています。 <br><br> (態度)	<b>そのたいはとてもじょうひんでした。</b> <br> The manner was very elegant. <br> [sound:4c-s-彼女は非常に積極的な態度を取っています。.mp3]
